alt_idx,sheaf_idx,s-t-tuple,weight,path
0,0,inevitable,0,"[(BKAD_121_B-9-1-1-arr-right, BKAD_121_B-9-1-1-dep-right), (BKAD_122_B-9-1-2-arr-right, BKAD_122_B-9-1-2-dep-right), (BKAD_122_B-9-1-2-dep-right, henkel_6_S5_E_BSTN_BWKS_0_S5_EI_BWKS_BHPG_0_S5_EI_BHPG_BWKS_0_S5_E_BWKS_BSTN_0-9-1-21), (henkel_6_S5_E_BSTN_BWKS_0_S5_EI_BWKS_BHPG_0_S5_EI_BHPG_BWKS_0_S5_E_BWKS_BSTN_0-9-1-21, BKAD_121_B-9-1-1-arr-right), (BKAD_122_B-8-1-2-arr-right, BKAD_122_B-8-1-2-dep-right), (BKAD_122_B-8-1-2-dep-right, henkel_4_S5_E_BSTN_BWKS_0_S5_EI_BWKS_BHPG_0_S5_EI_BHPG_BWKS_0_S5_E_BWKS_BSTN_0-8-1-21), (henkel_4_S5_E_BSTN_BWKS_0_S5_EI_BWKS_BHPG_0_S5_EI_BHPG_BWKS_0_S5_E_BWKS_BSTN_0-8-1-21, BKAD_121_B-8-1-1-arr-right), (BKAD_121_B-8-1-1-arr-right, BKAD_121_B-8-1-1-dep-right), (BNPL_682_B-48-1-1-arr-right, BNPL_682_B-48-1-1-dep-right), (BFFO_701_B-48-1-2-arr-right, BFFO_701_B-48-1-2-dep-right), (BFFO_701_B-48-1-2-dep-right, BBKS_391_WA-48-1-2-arr-right), (BBKS_391_WA-48-1-2-arr-right, BBKS_391_WA-48-1-2-dep-right), (BBKS_392_WA-48-1-1-dep-right, BFFO_702_B-48-1-1-arr-right), (BFFO_702_B-48-1-1-arr-right, BFFO_702_B-48-1-1-dep-right), (BOSB_11_B-48-1-1-arr-right, BOSB_11_B-48-1-1-dep-right), (BGSE_352_B-48-1-1-arr-right, BGSE_352_B-48-1-1-dep-right), (BGSE_352_B-48-1-1-dep-right, BSPH_312_B-48-1-1-arr-right), (BSPH_312_B-48-1-1-arr-right, BSPH_312_B-48-1-1-dep-right), (BOSB_8_B-48-1-2-arr-right, BOSB_8_B-48-1-2-dep-right), (BBKS_392_WA-48-1-1-arr-right, BBKS_392_WA-48-1-1-dep-right), (BSPH_311_B-48-1-2-arr-right, BSPH_311_B-48-1-2-dep-right), (BSPH_311_B-48-1-2-dep-right, BGSE_351_B-48-1-2-arr-right), (BHH_352_B-48-1-1-dep-right, BGSE_352_B-48-1-1-arr-right), (BHH_352_B-48-1-1-arr-right, BHH_352_B-48-1-1-dep-right), (BNPL_681_B-48-1-2-arr-right, BNPL_681_B-48-1-2-dep-right), (BGSE_351_B-48-1-2-dep-right, BHH_351_B-48-1-2-arr-right), (BHH_351_B-48-1-2-arr-right, BHH_351_B-48-1-2-dep-right), (BBKS_391_WA-48-1-2-dep-right, BSPH_311_B-48-1-2-arr-right), (BSPH_312_B-48-1-1-dep-right, BBKS_392_WA-48-1-1-arr-right), (BGSE_351_B-48-1-2-arr-right, BGSE_351_B-48-1-2-dep-right), (BFFO_701_B-48-2-2-arr-right, BFFO_701_B-48-2-2-dep-right), (BGSE_351_B-48-2-2-dep-right, BHH_351_B-48-2-2-arr-right), (BHH_351_B-48-2-2-arr-right, BHH_351_B-48-2-2-dep-right), (BBKS_391_WA-48-2-2-arr-right, BBKS_391_WA-48-2-2-dep-right), (BBKS_391_WA-48-2-2-dep-right, BSPH_311_B-48-2-2-arr-right), (BOSB_8_B-48-2-2-arr-right, BOSB_8_B-48-2-2-dep-right), (BFFO_702_B-48-2-1-arr-right, BFFO_702_B-48-2-1-dep-right), (BSPH_312_B-48-2-1-arr-right, BSPH_312_B-48-2-1-dep-right), (BSPH_312_B-48-2-1-dep-right, BBKS_392_WA-48-2-1-arr-right), (BNPL_682_B-48-2-1-arr-right, BNPL_682_B-48-2-1-dep-right), (BGSE_351_B-48-2-2-arr-right, BGSE_351_B-48-2-2-dep-right), (BHH_352_B-48-2-1-arr-right, BHH_352_B-48-2-1-dep-right), (BHH_352_B-48-2-1-dep-right, BGSE_352_B-48-2-1-arr-right), (BOSB_11_B-48-2-1-arr-right, BOSB_11_B-48-2-1-dep-right), (BGSE_352_B-48-2-1-dep-right, BSPH_312_B-48-2-1-arr-right), (BGSE_352_B-48-2-1-arr-right, BGSE_352_B-48-2-1-dep-right), (BNPL_681_B-48-2-2-arr-right, BNPL_681_B-48-2-2-dep-right), (BSPH_311_B-48-2-2-arr-right, BSPH_311_B-48-2-2-dep-right), (BSPH_311_B-48-2-2-dep-right, BGSE_351_B-48-2-2-arr-right), (BFFO_701_B-48-2-2-dep-right, BBKS_391_WA-48-2-2-arr-right), (BBKS_392_WA-48-2-1-arr-right, BBKS_392_WA-48-2-1-dep-right), (BBKS_392_WA-48-2-1-dep-right, BFFO_702_B-48-2-1-arr-right), (BNPL_681_B-18-1-2-arr-right, BNPL_681_B-18-1-2-dep-right), (BNPL_682_B-18-1-1-arr-right, BNPL_682_B-18-1-1-dep-right), (BFFO_702_B-45-1-1-arr-right, BFFO_702_B-45-1-1-dep-right), (BBKS_392_WA-45-1-1-arr-right, BBKS_392_WA-45-1-1-dep-right), (BBKS_392_WA-45-1-1-dep-right, BFFO_702_B-45-1-1-arr-right), (BBKS_391_WA-45-1-2-arr-right, BBKS_391_WA-45-1-2-dep-right), (BBKS_391_WA-45-1-2-dep-right, BSPH_311_B-45-1-2-arr-right), (BOSB_11_B-45-1-1-arr-right, BOSB_11_B-45-1-1-dep-right), (BFFO_701_B-45-1-2-arr-right, BFFO_701_B-45-1-2-dep-right), (BNPL_681_B-45-1-2-arr-right, BNPL_681_B-45-1-2-dep-right), (BSPH_312_B-45-1-1-arr-right, BSPH_312_B-45-1-1-dep-right), (BSPH_312_B-45-1-1-dep-right, BBKS_392_WA-45-1-1-arr-right), (BOSB_8_B-45-1-2-arr-right, BOSB_8_B-45-1-2-dep-right), (BFFO_701_B-45-1-2-dep-right, BBKS_391_WA-45-1-2-arr-right), (BNPL_682_B-45-1-1-arr-right, BNPL_682_B-45-1-1-dep-right), (BSPH_311_B-45-1-2-arr-right, BSPH_311_B-45-1-2-dep-right), (BOSB_8_B-45-2-2-arr-right, BOSB_8_B-45-2-2-dep-right), (BNPL_682_B-45-2-1-arr-right, BNPL_682_B-45-2-1-dep-right), (BSPH_311_B-45-2-2-arr-right, BSPH_311_B-45-2-2-dep-right), (BFFO_701_B-45-2-2-arr-right, BFFO_701_B-45-2-2-dep-right), (BOSB_11_B-45-2-1-arr-right, BOSB_11_B-45-2-1-dep-right), (BNPL_681_B-45-2-2-arr-right, BNPL_681_B-45-2-2-dep-right), (BBKS_392_WA-45-2-1-dep-right, BFFO_702_B-45-2-1-arr-right), (BFFO_702_B-45-2-1-arr-right, BFFO_702_B-45-2-1-dep-right), (BSPH_312_B-45-2-1-arr-right, BSPH_312_B-45-2-1-dep-right), (BSPH_312_B-45-2-1-dep-right, BBKS_392_WA-45-2-1-arr-right), (BFFO_701_B-45-2-2-dep-right, BBKS_391_WA-45-2-2-arr-right), (BBKS_391_WA-45-2-2-arr-right, BBKS_391_WA-45-2-2-dep-right), (BBKS_392_WA-45-2-1-arr-right, BBKS_392_WA-45-2-1-dep-right), (BBKS_391_WA-45-2-2-dep-right, BSPH_311_B-45-2-2-arr-right), (BOSB_8_B-53-1-2-arr-right, BOSB_8_B-53-1-2-dep-right), (BOSB_8_B-53-1-2-dep-right, BWRS_623_B-53-1-2-arr-right), (BWRS_624_B-53-1-1-dep-right, BOSB_11_B-53-1-1-arr-right), (BOSB_11_B-53-1-1-arr-right, BOSB_11_B-53-1-1-dep-right), (BWRS_624_B-53-1-1-arr-right, BWRS_624_B-53-1-1-dep-right), (BWRS_623_B-53-1-2-arr-right, BWRS_623_B-53-1-2-dep-right), (henkel_12_S9_C_BFBB_BSPA_0_S9_C_BSPA_BFBB_0-53-1-21, BWRS_624_B-53-1-1-arr-right), (BWRS_623_B-53-1-2-dep-right, henkel_12_S9_C_BFBB_BSPA_0_S9_C_BSPA_BFBB_0-53-1-21), (BOSB_8_B-25-1-2-arr-right, BOSB_8_B-25-1-2-dep-right), (BOSB_11_B-25-1-1-arr-right, BOSB_11_B-25-1-1-dep-right), (BOKS_653_B-25-1-2-arr-right, BOKS_653_B-25-1-2-dep-right), (BOKS_653_B-24-1-2-arr-right, BOKS_653_B-24-1-2-dep-right)]"
1,1,"(BKAD_121_B-9-1-1-dep-right-out, BKAD_122_B-9-1-2-arr-right-in)",7,"[(BKAD_121_B-9-1-1-dep-right, BWT_111_B-9-1-12-arr-right), (BWT_111_B-9-1-12-arr-right, BWT_111_B-9-1-12-dep-left), (BWT_111_B-9-1-12-dep-left, BKAD_122_B-9-1-2-arr-right)]"
2,1,"(BKAD_121_B-9-1-1-dep-right-out, BKAD_122_B-9-1-2-arr-right-in)",7,"[(BKAD_121_B-9-1-1-dep-right, BWT_112_B-9-1-12-arr-left), (BWT_112_B-9-1-12-arr-left, BWT_112_B-9-1-12-dep-right), (BWT_112_B-9-1-12-dep-right, BKAD_122_B-9-1-2-arr-right)]"
3,2,"(BKAD_121_B-8-1-1-dep-right-out, BKAD_122_B-8-1-2-arr-right-in)",7,"[(BKAD_121_B-8-1-1-dep-right, BWT_111_B-8-1-12-arr-right), (BWT_111_B-8-1-12-arr-right, BWT_111_B-8-1-12-dep-left), (BWT_111_B-8-1-12-dep-left, BKAD_122_B-8-1-2-arr-right)]"
4,2,"(BKAD_121_B-8-1-1-dep-right-out, BKAD_122_B-8-1-2-arr-right-in)",7,"[(BKAD_121_B-8-1-1-dep-right, BWT_112_B-8-1-12-arr-left), (BWT_112_B-8-1-12-arr-left, BWT_112_B-8-1-12-dep-right), (BWT_112_B-8-1-12-dep-right, BKAD_122_B-8-1-2-arr-right)]"
5,3,"(BHH_351_B-48-1-2-dep-right-out, BHH_352_B-48-1-1-arr-right-in)",7,"[(BHH_351_B-48-1-2-dep-right, BWAB_362_B-48-1-21-arr-left), (BWAB_362_B-48-1-21-arr-left, BWAB_362_B-48-1-21-dep-right), (BWAB_362_B-48-1-21-dep-right, BHH_352_B-48-1-1-arr-right)]"
6,3,"(BHH_351_B-48-1-2-dep-right-out, BHH_352_B-48-1-1-arr-right-in)",7,"[(BHH_351_B-48-1-2-dep-right, BWAB_361_B-48-1-21-arr-right), (BWAB_361_B-48-1-21-arr-right, BWAB_361_B-48-1-21-dep-left), (BWAB_361_B-48-1-21-dep-left, BHH_352_B-48-1-1-arr-right)]"
7,4,"(BFFO_702_B-48-1-1-dep-right-out, BNPL_682_B-48-1-1-arr-right-in)",15,"[(BFFO_702_B-48-1-1-dep-right, BLI_691_B-48-1-1-arr-left), (BLI_691_B-48-1-1-arr-left, BLI_691_B-48-1-1-dep-left), (BLI_691_B-48-1-1-dep-left, BNPL_682_B-48-1-1-arr-right)]"
8,4,"(BFFO_702_B-48-1-1-dep-right-out, BNPL_682_B-48-1-1-arr-right-in)",2,"[(BFFO_702_B-48-1-1-dep-right, BLI_692_B-48-1-1-arr-right), (BLI_692_B-48-1-1-arr-right, BLI_692_B-48-1-1-dep-right), (BLI_692_B-48-1-1-dep-right, BNPL_682_B-48-1-1-arr-right)]"
9,5,"(BNPL_682_B-48-1-1-dep-right-out, BOSB_11_B-48-1-1-arr-right-in)",17,"[(BNPL_682_B-48-1-1-dep-right, BOKS_652_B-48-1-1-arr-left), (BOKS_652_B-48-1-1-arr-left, BOKS_652_B-48-1-1-dep-left), (BOKS_652_B-48-1-1-dep-left, BWRS_624_B-48-1-1-arr-right), (BWRS_624_B-48-1-1-arr-right, BWRS_624_B-48-1-1-dep-right), (BWRS_624_B-48-1-1-dep-right, BOSB_11_B-48-1-1-arr-right)]"
