# number of nodes: 361
# number of edges: 467
# number of fixed handles: 13
# 
start,end,type,l,u,w
BKAD_121_B-9-1-1-dep-right,BWT_111_B-9-1-12-arr-right,driving,14,14,2
BKAD_121_B-9-1-1-dep-right,BWT_112_B-9-1-12-arr-left,driving,19,19,2
BWT_111_B-9-1-12-arr-right,BWT_111_B-9-1-12-dep-left,turn,20,180,1
BWT_112_B-9-1-12-arr-left,BWT_112_B-9-1-12-dep-right,turn,20,180,1
BWT_111_B-9-1-12-dep-left,BKAD_122_B-9-1-2-arr-right,driving,18,18,2
BKAD_122_B-9-1-2-arr-right,BKAD_122_B-9-1-2-dep-right,waiting,5,100,2
BWT_112_B-9-1-12-dep-right,BKAD_122_B-9-1-2-arr-right,driving,13,13,2
BKAD_122_B-9-1-2-dep-right,henkel_6_S5_E_BSTN_BWKS_0_S5_EI_BWKS_BHPG_0_S5_EI_BHPG_BWKS_0_S5_E_BWKS_BSTN_0-9-1-21,henkel-to,188,188,2
henkel_6_S5_E_BSTN_BWKS_0_S5_EI_BWKS_BHPG_0_S5_EI_BHPG_BWKS_0_S5_E_BWKS_BSTN_0-9-1-21,BKAD_121_B-9-1-1-arr-right,henkel-from,38,38,2
BKAD_121_B-9-1-1-arr-right,BKAD_121_B-9-1-1-dep-right,waiting,5,100,2
BKAD_121_B-8-1-1-dep-right,BWT_111_B-8-1-12-arr-right,driving,14,14,2
BKAD_121_B-8-1-1-dep-right,BWT_112_B-8-1-12-arr-left,driving,19,19,2
BWT_111_B-8-1-12-arr-right,BWT_111_B-8-1-12-dep-left,turn,20,180,1
BWT_112_B-8-1-12-arr-left,BWT_112_B-8-1-12-dep-right,turn,20,180,1
BWT_111_B-8-1-12-dep-left,BKAD_122_B-8-1-2-arr-right,driving,18,18,2
BKAD_122_B-8-1-2-arr-right,BKAD_122_B-8-1-2-dep-right,waiting,5,100,2
BWT_112_B-8-1-12-dep-right,BKAD_122_B-8-1-2-arr-right,driving,13,13,2
BKAD_122_B-8-1-2-dep-right,henkel_4_S5_E_BSTN_BWKS_0_S5_EI_BWKS_BHPG_0_S5_EI_BHPG_BWKS_0_S5_E_BWKS_BSTN_0-8-1-21,henkel-to,88,88,2
henkel_4_S5_E_BSTN_BWKS_0_S5_EI_BWKS_BHPG_0_S5_EI_BHPG_BWKS_0_S5_E_BWKS_BSTN_0-8-1-21,BKAD_121_B-8-1-1-arr-right,henkel-from,138,138,2
BKAD_121_B-8-1-1-arr-right,BKAD_121_B-8-1-1-dep-right,waiting,5,100,2
BWAB_362_B-48-1-21-dep-right,BHH_352_B-48-1-1-arr-right,driving,14,14,2
BHH_352_B-48-1-1-arr-right,BHH_352_B-48-1-1-dep-right,waiting,5,100,2
BWAB_361_B-48-1-21-dep-left,BHH_352_B-48-1-1-arr-right,driving,19,19,2
BHH_352_B-48-1-1-dep-right,BGSE_352_B-48-1-1-arr-right,driving,17,17,2
BGSE_352_B-48-1-1-arr-right,BGSE_352_B-48-1-1-dep-right,waiting,5,100,2
BGSE_352_B-48-1-1-dep-right,BSPH_312_B-48-1-1-arr-right,driving,32,32,2
BSPH_312_B-48-1-1-arr-right,BSPH_312_B-48-1-1-dep-right,waiting,5,50,2
BSPH_312_B-48-1-1-dep-right,BBKS_392_WA-48-1-1-arr-right,driving,17,17,2
BBKS_392_WA-48-1-1-arr-right,BBKS_392_WA-48-1-1-dep-right,waiting,0,0,2
BBKS_392_WA-48-1-1-dep-right,BFFO_702_B-48-1-1-arr-right,driving,9,9,2
BFFO_702_B-48-1-1-arr-right,BFFO_702_B-48-1-1-dep-right,waiting,5,50,2
BFFO_702_B-48-1-1-dep-right,BLI_691_B-48-1-1-arr-left,driving,24,24,2
BFFO_702_B-48-1-1-dep-right,BLI_692_B-48-1-1-arr-right,driving,19,19,2
BLI_691_B-48-1-1-arr-left,BLI_691_B-48-1-1-dep-left,waiting,5,40,2
BLI_692_B-48-1-1-arr-right,BLI_692_B-48-1-1-dep-right,waiting,5,40,2
BLI_691_B-48-1-1-dep-left,BNPL_682_B-48-1-1-arr-right,driving,20,20,2
BNPL_682_B-48-1-1-arr-right,BNPL_682_B-48-1-1-dep-right,waiting,5,40,2
BLI_692_B-48-1-1-dep-right,BNPL_682_B-48-1-1-arr-right,driving,15,15,2
BNPL_682_B-48-1-1-dep-right,BOKS_652_B-48-1-1-arr-left,driving,22,22,2
BNPL_682_B-48-1-1-dep-right,BOKS_654_B-48-1-1-arr-right,driving,17,17,2
BOKS_652_B-48-1-1-arr-left,BOKS_652_B-48-1-1-dep-left,waiting,5,29,2
BOKS_654_B-48-1-1-arr-right,BOKS_654_B-48-1-1-dep-right,waiting,5,29,2
BOKS_652_B-48-1-1-dep-left,BWRS_624_B-48-1-1-arr-right,driving,22,22,2
BOKS_652_B-48-1-1-dep-left,BWRS_622_B-48-1-1-arr-left,driving,17,17,2
BWRS_624_B-48-1-1-arr-right,BWRS_624_B-48-1-1-dep-right,waiting,5,25,2
BWRS_622_B-48-1-1-arr-left,BWRS_622_B-48-1-1-dep-left,waiting,5,25,2
BOKS_654_B-48-1-1-dep-right,BWRS_624_B-48-1-1-arr-right,driving,17,17,2
BWRS_624_B-48-1-1-dep-right,BOSB_11_B-48-1-1-arr-right,driving,17,17,2
BOSB_11_B-48-1-1-arr-right,BOSB_11_B-48-1-1-dep-right,waiting,5,29,2
BWRS_622_B-48-1-1-dep-left,BOSB_11_B-48-1-1-arr-right,driving,22,22,2
BWRS_623_B-48-1-2-arr-right,BWRS_623_B-48-1-2-dep-right,waiting,5,25,2
BWRS_621_B-48-1-2-arr-right,BWRS_621_B-48-1-2-dep-right,waiting,5,25,2
BOSB_8_B-48-1-2-dep-right,BWRS_623_B-48-1-2-arr-right,driving,17,17,2
BOSB_8_B-48-1-2-dep-right,BWRS_621_B-48-1-2-arr-right,driving,17,17,2
BWRS_623_B-48-1-2-dep-right,BOKS_651_B-48-1-2-arr-right,driving,17,17,2
BWRS_623_B-48-1-2-dep-right,BOKS_653_B-48-1-2-arr-right,driving,17,17,2
BOKS_651_B-48-1-2-arr-right,BOKS_651_B-48-1-2-dep-right,waiting,5,29,2
BOKS_653_B-48-1-2-arr-right,BOKS_653_B-48-1-2-dep-right,waiting,5,29,2
BWRS_621_B-48-1-2-dep-right,BOKS_651_B-48-1-2-arr-right,driving,17,17,2
BWRS_621_B-48-1-2-dep-right,BOKS_653_B-48-1-2-arr-right,driving,17,17,2
BOKS_651_B-48-1-2-dep-right,BNPL_681_B-48-1-2-arr-right,driving,15,15,2
BNPL_681_B-48-1-2-arr-right,BNPL_681_B-48-1-2-dep-right,waiting,5,40,2
BOKS_653_B-48-1-2-dep-right,BNPL_681_B-48-1-2-arr-right,driving,15,15,2
BNPL_681_B-48-1-2-dep-right,BLI_691_B-48-1-2-arr-right,driving,15,15,2
BNPL_681_B-48-1-2-dep-right,BLI_692_B-48-1-2-arr-left,driving,20,20,2
BLI_691_B-48-1-2-arr-right,BLI_691_B-48-1-2-dep-right,waiting,5,40,2
BLI_692_B-48-1-2-arr-left,BLI_692_B-48-1-2-dep-left,waiting,5,40,2
BLI_691_B-48-1-2-dep-right,BFFO_701_B-48-1-2-arr-right,driving,19,19,2
BFFO_701_B-48-1-2-arr-right,BFFO_701_B-48-1-2-dep-right,waiting,5,50,2
BLI_692_B-48-1-2-dep-left,BFFO_701_B-48-1-2-arr-right,driving,24,24,2
BFFO_701_B-48-1-2-dep-right,BBKS_391_WA-48-1-2-arr-right,driving,8,8,2
BBKS_391_WA-48-1-2-arr-right,BBKS_391_WA-48-1-2-dep-right,waiting,0,0,2
BBKS_391_WA-48-1-2-dep-right,BSPH_311_B-48-1-2-arr-right,driving,18,18,2
BSPH_311_B-48-1-2-arr-right,BSPH_311_B-48-1-2-dep-right,waiting,5,50,2
BSPH_311_B-48-1-2-dep-right,BGSE_351_B-48-1-2-arr-right,driving,32,32,2
BGSE_351_B-48-1-2-arr-right,BGSE_351_B-48-1-2-dep-right,waiting,5,100,2
BGSE_351_B-48-1-2-dep-right,BHH_351_B-48-1-2-arr-right,driving,17,17,2
BHH_351_B-48-1-2-arr-right,BHH_351_B-48-1-2-dep-right,waiting,5,100,2
BHH_351_B-48-1-2-dep-right,BWAB_362_B-48-1-21-arr-left,driving,25,25,2
BHH_351_B-48-1-2-dep-right,BWAB_361_B-48-1-21-arr-right,driving,20,20,2
BWAB_362_B-48-1-21-arr-left,BWAB_362_B-48-1-21-dep-right,turn,20,180,1
BWAB_361_B-48-1-21-arr-right,BWAB_361_B-48-1-21-dep-left,turn,20,180,1
