alt_idx,sheaf_idx,s-t-tuple,weight,u,v
0,0,inevitable,0,BSZF_331_B-81-1-2-arr-right,BSZF_331_B-81-1-2-dep-right
0,0,inevitable,0,BSZF_331_B-81-1-1-arr-right,BSZF_331_B-81-1-1-dep-right
0,0,inevitable,0,BBLB_4_B-23-1-21-arr-right,BBLB_4_B-23-1-21-dep-right
0,0,inevitable,0,BBLB_4_B-23-1-21-dep-right,BBLB_3_A-23-1-21-arr-right
0,0,inevitable,0,BBLB_3_A-23-1-21-arr-right,BBLB_3_A-23-1-21-dep-left
0,0,inevitable,0,BBLB_3_A-23-1-21-dep-left,BBLB_1_B-23-1-21-arr-right
0,0,inevitable,0,BBLB_1_B-23-1-21-arr-right,BBLB_1_B-23-1-21-dep-right
0,0,inevitable,0,henkel_9_S8_N_BBIW_BZTH_0_S8_N_BZTH_BBIW_0-23-1-12,BBOS_613_B-23-1-2-arr-right
0,0,inevitable,0,BBOS_613_B-23-1-2-arr-right,BBOS_613_B-23-1-2-dep-right
0,0,inevitable,0,BPKW_641_B-23-1-2-arr-right,BPKW_641_B-23-1-2-dep-right
0,0,inevitable,0,BPKW_641_B-23-1-2-dep-right,BPHD_2_B-23-1-2-arr-right
0,0,inevitable,0,BBLB_1_B-23-1-21-dep-right,BPHD_1_B-23-1-1-arr-right
0,0,inevitable,0,BPHD_1_B-23-1-1-arr-right,BPHD_1_B-23-1-1-dep-right
0,0,inevitable,0,BPHD_1_B-23-1-1-dep-right,BPKW_642_B-23-1-1-arr-right
0,0,inevitable,0,BPHD_2_B-23-1-2-arr-right,BPHD_2_B-23-1-2-dep-right
0,0,inevitable,0,BBOS_613_B-23-1-2-dep-right,BPKW_641_B-23-1-2-arr-right
0,0,inevitable,0,BPHD_2_B-23-1-2-dep-right,BBLB_4_B-23-1-21-arr-right
0,0,inevitable,0,BBOS_612_B-23-1-1-dep-right,henkel_9_S8_N_BBIW_BZTH_0_S8_N_BZTH_BBIW_0-23-1-12
0,0,inevitable,0,BPKW_642_B-23-1-1-dep-right,BBOS_612_B-23-1-1-arr-right
0,0,inevitable,0,BBOS_612_B-23-1-1-arr-right,BBOS_612_B-23-1-1-dep-right
0,0,inevitable,0,BPKW_642_B-23-1-1-arr-right,BPKW_642_B-23-1-1-dep-right
0,0,inevitable,0,BLEN_102_B-63-1-1-arr-right,BLEN_102_B-63-1-1-dep-right
0,0,inevitable,0,BLEN_102_B-63-1-1-dep-right,BBOR_4_B-63-1-1-arr-right
0,0,inevitable,0,BPHD_2_B-63-1-2-arr-right,BPHD_2_B-63-1-2-dep-right
0,0,inevitable,0,BPHD_2_B-63-1-2-dep-right,BBLB_4_B-63-1-2-arr-right
0,0,inevitable,0,BBIW_6_B-63-1-1-arr-right,BBIW_6_B-63-1-1-dep-right
0,0,inevitable,0,BBIW_6_B-63-1-1-dep-right,BHN_4_B-63-1-1-arr-right
0,0,inevitable,0,BARK_701_WA-63-1-2-arr-right,BARK_701_WA-63-1-2-dep-right
0,0,inevitable,0,BARK_701_WA-63-1-2-dep-right,BMM_6_B-63-1-2-arr-right
0,0,inevitable,0,BBOR_3_B-63-1-2-arr-right,BBOR_3_B-63-1-2-dep-right
0,0,inevitable,0,BBOS_613_B-63-1-2-dep-right,BPKW_641_B-63-1-2-arr-right
0,0,inevitable,0,BPKW_641_B-63-1-2-arr-right,BPKW_641_B-63-1-2-dep-right
0,0,inevitable,0,BAKS_2_WA-63-1-1-arr-right,BAKS_2_WA-63-1-1-dep-right
0,0,inevitable,0,BAKS_2_WA-63-1-1-dep-right,BBLB_1_B-63-1-1-arr-right
0,0,inevitable,0,BBLB_4_B-63-1-2-arr-right,BBLB_4_B-63-1-2-dep-right
0,0,inevitable,0,BBLB_4_B-63-1-2-dep-right,BAKS_2_WA-63-1-2-arr-right
0,0,inevitable,0,BBOR_3_B-63-1-2-dep-right,BLEN_101_B-63-1-2-arr-right
0,0,inevitable,0,BBLB_1_B-63-1-1-dep-right,BPHD_1_B-63-1-1-arr-right
0,0,inevitable,0,BPHD_1_B-63-1-1-arr-right,BPHD_1_B-63-1-1-dep-right
0,0,inevitable,0,BBOR_4_B-63-1-1-arr-right,BBOR_4_B-63-1-1-dep-right
0,0,inevitable,0,BBOR_4_B-63-1-1-dep-right,BBIW_6_B-63-1-1-arr-right
0,0,inevitable,0,BMM_6_B-63-1-1-dep-right,BARK_701_WA-63-1-1-arr-right
0,0,inevitable,0,BARK_701_WA-63-1-1-arr-right,BARK_701_WA-63-1-1-dep-right
0,0,inevitable,0,BBFE_1_B-63-1-1-arr-right,BBFE_1_B-63-1-1-dep-right
0,0,inevitable,0,BBOS_612_B-63-1-1-arr-right,BBOS_612_B-63-1-1-dep-right
0,0,inevitable,0,BBOS_612_B-63-1-1-dep-right,BGB_721_B-63-1-1-arr-right
0,0,inevitable,0,BBFE_2_B-63-1-2-dep-right,BHN_3_B-63-1-2-arr-right
0,0,inevitable,0,BHN_3_B-63-1-2-arr-right,BHN_3_B-63-1-2-dep-right
0,0,inevitable,0,BGB_724_B-63-1-2-arr-right,BGB_724_B-63-1-2-dep-right
0,0,inevitable,0,BBLB_1_B-63-1-1-arr-right,BBLB_1_B-63-1-1-dep-right
0,0,inevitable,0,BMM_6_B-63-1-2-arr-right,BMM_6_B-63-1-2-dep-right
0,0,inevitable,0,BPKW_642_B-63-1-1-dep-right,BBOS_612_B-63-1-1-arr-right
0,0,inevitable,0,BGB_724_B-63-1-2-dep-right,BBOS_613_B-63-1-2-arr-right
0,0,inevitable,0,BBOS_613_B-63-1-2-arr-right,BBOS_613_B-63-1-2-dep-right
0,0,inevitable,0,BSNF_6_B-63-1-2-arr-right,BSNF_6_B-63-1-2-dep-right
0,0,inevitable,0,BSNF_6_B-63-1-2-dep-right,BBFE_2_B-63-1-2-arr-right
