# number of nodes: 262
# number of edges: 317
# number of fixed handles: 11
# 
start,end,type,l,u,w
BHD_392_B-81-1-21-dep-right,BHLS_362_B-81-1-1-arr-right,driving,23,23,2
BHD_392_B-81-1-21-dep-right,BHLS_361_B-81-1-1-arr-left,driving,28,28,2
BHLS_362_B-81-1-1-arr-right,BHLS_362_B-81-1-1-dep-right,waiting,5,100,2
BHLS_361_B-81-1-1-arr-left,BHLS_361_B-81-1-1-dep-left,waiting,5,100,2
BHD_391_B-81-1-21-dep-left,BHLS_362_B-81-1-1-arr-right,driving,28,28,2
BHD_391_B-81-1-21-dep-left,BHLS_361_B-81-1-1-arr-left,driving,23,23,2
BHLS_362_B-81-1-1-dep-right,BSZF_331_B-81-1-1-arr-right,driving,19,19,2
BSZF_331_B-81-1-1-arr-right,BSZF_331_B-81-1-1-dep-right,waiting,5,100,2
BHLS_361_B-81-1-1-dep-left,BSZF_331_B-81-1-1-arr-right,driving,24,24,2
BSZF_331_B-81-1-1-dep-right,BTG_331_B-81-1-12-arr-left,driving,43,43,2
BSZF_331_B-81-1-1-dep-right,BTG_332_B-81-1-12-arr-right,driving,38,38,2
BTG_331_B-81-1-12-arr-left,BTG_331_B-81-1-12-dep-left,waiting,5,100,1
BTG_331_B-81-1-12-arr-left,BTG_331_B-81-1-12-dep-right,turn,20,180,1
BTG_332_B-81-1-12-arr-right,BTG_332_B-81-1-12-dep-right,waiting,5,100,1
BTG_332_B-81-1-12-arr-right,BTG_332_B-81-1-12-dep-left,turn,20,180,1
BTG_331_B-81-1-12-dep-right,BSZF_331_B-81-1-2-arr-right,driving,39,39,2
BSZF_331_B-81-1-2-arr-right,BSZF_331_B-81-1-2-dep-right,waiting,5,100,2
BTG_332_B-81-1-12-dep-left,BSZF_331_B-81-1-2-arr-right,driving,44,44,2
BSZF_331_B-81-1-2-dep-right,BHLS_362_B-81-1-2-arr-left,driving,23,23,2
BSZF_331_B-81-1-2-dep-right,BHLS_361_B-81-1-2-arr-right,driving,18,18,2
BHLS_362_B-81-1-2-arr-left,BHLS_362_B-81-1-2-dep-left,waiting,5,100,2
BHLS_361_B-81-1-2-arr-right,BHLS_361_B-81-1-2-dep-right,waiting,5,100,2
BHLS_362_B-81-1-2-dep-left,BHD_392_B-81-1-21-arr-left,driving,28,28,2
BHLS_362_B-81-1-2-dep-left,BHD_391_B-81-1-21-arr-right,driving,33,33,2
BHD_392_B-81-1-21-arr-left,BHD_392_B-81-1-21-dep-right,turn,20,180,1
BHD_391_B-81-1-21-arr-right,BHD_391_B-81-1-21-dep-left,turn,20,180,1
BHLS_361_B-81-1-2-dep-right,BHD_392_B-81-1-21-arr-left,driving,33,33,2
BHLS_361_B-81-1-2-dep-right,BHD_391_B-81-1-21-arr-right,driving,28,28,2
BTG_331_B-81-1-12-dep-left,BTG_334_A-81-1-12-arr-right,driving,25.0,25.0,1
BTG_334_A-81-1-12-arr-right,BTG_334_A-81-1-12-dep-left,turn,20,180,1
BTG_334_A-81-1-12-dep-left,BTG_331_B-81-1-12-arr-right,driving,25.0,25.0,1
BTG_334_A-81-1-12-dep-left,BTG_332_B-81-1-12-arr-left,driving,25.0,25.0,1
BTG_331_B-81-1-12-arr-right,BTG_331_B-81-1-12-dep-right,waiting,5,100,1
BTG_332_B-81-1-12-arr-left,BTG_332_B-81-1-12-dep-left,waiting,5,100,1
BTG_332_B-81-1-12-dep-right,BTG_334_A-81-1-12-arr-right,driving,25.0,25.0,1
BGB_741_A-4-1-21-arr-right,BGB_741_A-4-1-21-dep-left,turn,20,180,1
BGB_741_A-4-1-21-dep-left,BGB_721_B-4-1-21-arr-right,driving,20.0,20.0,1
BGB_741_A-4-1-21-dep-left,BGB_722_B-4-1-21-arr-right,driving,20.0,20.0,1
BGB_741_A-4-1-21-dep-left,BGB_723_B-4-1-21-arr-left,driving,20.0,20.0,1
BGB_721_B-4-1-21-arr-right,BGB_721_B-4-1-21-dep-right,waiting,5,20,1
BGB_722_B-4-1-21-arr-right,BGB_722_B-4-1-21-dep-left,turn,20,180,1
BGB_723_B-4-1-21-arr-left,BGB_723_B-4-1-21-dep-right,turn,20,180,1
BGB_742_A-4-1-21-arr-right,BGB_742_A-4-1-21-dep-left,turn,20,180,1
BGB_742_A-4-1-21-dep-left,BGB_721_B-4-1-21-arr-right,driving,20.0,20.0,1
BGB_742_A-4-1-21-dep-left,BGB_722_B-4-1-21-arr-right,driving,20.0,20.0,1
BGB_742_A-4-1-21-dep-left,BGB_723_B-4-1-21-arr-left,driving,20.0,20.0,1
BGB_722_B-4-1-21-dep-left,BGB_741_A-4-1-21-arr-right,driving,20.0,20.0,1
BGB_722_B-4-1-21-dep-left,BGB_742_A-4-1-21-arr-right,driving,20.0,20.0,1
BGB_723_B-4-1-21-dep-right,BGB_741_A-4-1-21-arr-right,driving,20.0,20.0,1
BGB_723_B-4-1-21-dep-right,BGB_742_A-4-1-21-arr-right,driving,20.0,20.0,1
BGB_724_B-4-1-21-dep-right,BGB_741_A-4-1-21-arr-right,driving,20.0,20.0,1
BGB_724_B-4-1-21-dep-right,BGB_742_A-4-1-21-arr-right,driving,20.0,20.0,1
BGB_721_B-4-1-21-dep-right,henkel_5_S25_V_BHD_BTLS_0_S25_V_BTLS_BHD_0-4-1-12,henkel-to,48,48,2
BGB_721_B-4-1-21-dep-right,henkel_6_S26_VI_BTLS_BWAI_0_S26_VI_BWAI_BTLS_0-4-1-12,henkel-to,148,148,2
henkel_5_S25_V_BHD_BTLS_0_S25_V_BTLS_BHD_0-4-1-12,BGB_724_B-4-1-21-arr-right,henkel-from,17,17,2
BGB_724_B-4-1-21-arr-right,BGB_724_B-4-1-21-dep-right,waiting,5,20,1
henkel_6_S26_VI_BTLS_BWAI_0_S26_VI_BWAI_BTLS_0-4-1-12,BGB_724_B-4-1-21-arr-right,henkel-from,117,117,2
BGB_741_A-4-2-21-arr-right,BGB_741_A-4-2-21-dep-left,turn,20,180,1
