#file for arcs using the same infrastructure in the sense that activities (i,j) and (i_bar, j_bar) occupy the same underlying infrastructure
i,j,i_bar,j_bar
BHLS_362_B-81-1-2-arr-left,BHLS_362_B-81-1-2-dep-left,BHLS_362_B-81-1-1-arr-right,BHLS_362_B-81-1-1-dep-right
BHLS_361_B-81-1-2-arr-right,BHLS_361_B-81-1-2-dep-right,BHLS_361_B-81-1-1-arr-left,BHLS_361_B-81-1-1-dep-left
BSZF_331_B-81-1-2-arr-right,BSZF_331_B-81-1-2-dep-right,BSZF_331_B-81-1-1-arr-right,BSZF_331_B-81-1-1-dep-right
BTG_331_B-81-1-12-arr-left,BTG_331_B-81-1-12-dep-right,BTG_331_B-81-1-12-arr-right,BTG_331_B-81-1-12-dep-right
BTG_331_B-81-1-12-arr-left,BTG_331_B-81-1-12-dep-right,BTG_331_B-81-1-12-arr-left,BTG_331_B-81-1-12-dep-left
BTG_331_B-81-1-12-arr-right,BTG_331_B-81-1-12-dep-right,BTG_331_B-81-1-12-arr-left,BTG_331_B-81-1-12-dep-left
BTG_332_B-81-1-12-arr-left,BTG_332_B-81-1-12-dep-left,BTG_332_B-81-1-12-arr-right,BTG_332_B-81-1-12-dep-right
BTG_332_B-81-1-12-arr-left,BTG_332_B-81-1-12-dep-left,BTG_332_B-81-1-12-arr-right,BTG_332_B-81-1-12-dep-left
BTG_332_B-81-1-12-arr-right,BTG_332_B-81-1-12-dep-right,BTG_332_B-81-1-12-arr-right,BTG_332_B-81-1-12-dep-left
BGB_741_A-4-2-21-arr-right,BGB_741_A-4-2-21-dep-left,BGB_741_A-2-1-21-arr-right,BGB_741_A-2-1-21-dep-left
BGB_741_A-4-2-21-arr-right,BGB_741_A-4-2-21-dep-left,BGB_741_A-4-1-21-arr-right,BGB_741_A-4-1-21-dep-left
BGB_741_A-2-1-21-arr-right,BGB_741_A-2-1-21-dep-left,BGB_741_A-4-1-21-arr-right,BGB_741_A-4-1-21-dep-left
BGB_721_B-4-2-21-arr-right,BGB_721_B-4-2-21-dep-right,BGB_721_B-63-1-1-arr-right,BGB_721_B-63-1-1-dep-right
BGB_721_B-4-2-21-arr-right,BGB_721_B-4-2-21-dep-right,BGB_721_B-4-1-21-arr-right,BGB_721_B-4-1-21-dep-right
BGB_721_B-4-2-21-arr-right,BGB_721_B-4-2-21-dep-right,BGB_721_B-2-1-21-arr-right,BGB_721_B-2-1-21-dep-right
BGB_721_B-4-2-21-arr-right,BGB_721_B-4-2-21-dep-right,BGB_721_B-43-1-1-arr-right,BGB_721_B-43-1-1-dep-right
BGB_721_B-4-2-21-arr-right,BGB_721_B-4-2-21-dep-right,BGB_721_B-37-1-1-arr-right,BGB_721_B-37-1-1-dep-right
BGB_721_B-63-1-1-arr-right,BGB_721_B-63-1-1-dep-right,BGB_721_B-4-1-21-arr-right,BGB_721_B-4-1-21-dep-right
BGB_721_B-63-1-1-arr-right,BGB_721_B-63-1-1-dep-right,BGB_721_B-2-1-21-arr-right,BGB_721_B-2-1-21-dep-right
BGB_721_B-63-1-1-arr-right,BGB_721_B-63-1-1-dep-right,BGB_721_B-43-1-1-arr-right,BGB_721_B-43-1-1-dep-right
BGB_721_B-63-1-1-arr-right,BGB_721_B-63-1-1-dep-right,BGB_721_B-37-1-1-arr-right,BGB_721_B-37-1-1-dep-right
BGB_721_B-4-1-21-arr-right,BGB_721_B-4-1-21-dep-right,BGB_721_B-2-1-21-arr-right,BGB_721_B-2-1-21-dep-right
BGB_721_B-4-1-21-arr-right,BGB_721_B-4-1-21-dep-right,BGB_721_B-43-1-1-arr-right,BGB_721_B-43-1-1-dep-right
BGB_721_B-4-1-21-arr-right,BGB_721_B-4-1-21-dep-right,BGB_721_B-37-1-1-arr-right,BGB_721_B-37-1-1-dep-right
BGB_721_B-2-1-21-arr-right,BGB_721_B-2-1-21-dep-right,BGB_721_B-43-1-1-arr-right,BGB_721_B-43-1-1-dep-right
BGB_721_B-2-1-21-arr-right,BGB_721_B-2-1-21-dep-right,BGB_721_B-37-1-1-arr-right,BGB_721_B-37-1-1-dep-right
BGB_721_B-43-1-1-arr-right,BGB_721_B-43-1-1-dep-right,BGB_721_B-37-1-1-arr-right,BGB_721_B-37-1-1-dep-right
BGB_722_B-6-1-1-arr-right,BGB_722_B-6-1-1-dep-right,BGB_722_B-4-2-21-arr-right,BGB_722_B-4-2-21-dep-left
BGB_722_B-6-1-1-arr-right,BGB_722_B-6-1-1-dep-right,BGB_722_B-2-1-21-arr-right,BGB_722_B-2-1-21-dep-left
BGB_722_B-6-1-1-arr-right,BGB_722_B-6-1-1-dep-right,BGB_722_B-4-1-21-arr-right,BGB_722_B-4-1-21-dep-left
BGB_722_B-6-1-1-arr-right,BGB_722_B-6-1-1-dep-right,BGB_722_B-6-2-1-arr-right,BGB_722_B-6-2-1-dep-right
BGB_722_B-4-2-21-arr-right,BGB_722_B-4-2-21-dep-left,BGB_722_B-2-1-21-arr-right,BGB_722_B-2-1-21-dep-left
BGB_722_B-4-2-21-arr-right,BGB_722_B-4-2-21-dep-left,BGB_722_B-4-1-21-arr-right,BGB_722_B-4-1-21-dep-left
BGB_722_B-4-2-21-arr-right,BGB_722_B-4-2-21-dep-left,BGB_722_B-6-2-1-arr-right,BGB_722_B-6-2-1-dep-right
BGB_722_B-2-1-21-arr-right,BGB_722_B-2-1-21-dep-left,BGB_722_B-4-1-21-arr-right,BGB_722_B-4-1-21-dep-left
BGB_722_B-2-1-21-arr-right,BGB_722_B-2-1-21-dep-left,BGB_722_B-6-2-1-arr-right,BGB_722_B-6-2-1-dep-right
BGB_722_B-4-1-21-arr-right,BGB_722_B-4-1-21-dep-left,BGB_722_B-6-2-1-arr-right,BGB_722_B-6-2-1-dep-right
BGB_723_B-5-1-1-arr-right,BGB_723_B-5-1-1-dep-right,BGB_723_B-2-1-21-arr-left,BGB_723_B-2-1-21-dep-right
