# number of nodes: 578
# number of edges: 623
# number of fixed handles: 6
# 
start;end;type;l;u;w;in_regelrichtung
BIP_611_B-6-1-1-dep-right;BBUP_621_B-6-1-1-arr-right;driving;13;13;2;-
BBUP_621_B-6-1-1-arr-right;BBUP_621_B-6-1-1-dep-right;waiting;5;50;2;-
BBUP_621_B-6-1-1-dep-right;BHEI_631_B-6-1-1-arr-right;driving;16;16;2;-
BHEI_631_B-6-1-1-arr-right;BHEI_631_B-6-1-1-dep-right;waiting;5;50;2;-
BHEI_631_B-6-1-1-dep-right;BHO_701_B-6-1-1-arr-right;driving;15;15;2;-
BHO_701_B-6-1-1-arr-right;BHO_701_B-6-1-1-dep-right;waiting;5;50;2;-
BHO_701_B-6-1-1-dep-right;BHAL_711_B-6-1-1-arr-right;driving;15;15;2;-
BHAL_711_B-6-1-1-arr-right;BHAL_711_B-6-1-1-dep-right;waiting;5;33;2;-
BHAL_711_B-6-1-1-dep-right;BWKRR_801_B-6-1-1-arr-right;driving;11;11;2;-
BWKRR_801_B-6-1-1-arr-right;BWKRR_801_B-6-1-1-dep-right;waiting;5;33;2;-
BWKRR_801_B-6-1-1-dep-right;BMN_801_B-6-1-1-arr-right;driving;12;12;2;-
BMN_801_B-6-1-1-arr-right;BMN_801_B-6-1-1-dep-right;waiting;5;33;2;-
BMN_801_B-6-1-1-dep-right;BWES_811_B-6-1-1-arr-right;driving;15;15;2;-
BWES_811_B-6-1-1-arr-right;BWES_811_B-6-1-1-dep-right;waiting;5;33;2;-
BJUN_955_B-6-1-1-arr-right;BJUN_955_B-6-1-1-dep-right;waiting;5;33;2;-
BWES_811_B-6-1-1-dep-right;BJUN_955_B-6-1-1-arr-right;driving;24;24;2;-
BJUN_955_B-6-1-1-dep-right;BBEU_811_B-6-1-1-arr-right;driving;21;21;2;-
BBEU_811_B-6-1-1-arr-right;BBEU_811_B-6-1-1-dep-right;waiting;5;33;2;-
BBEU_811_B-6-1-1-dep-right;BWH_831_B-6-1-1-arr-right;driving;14;14;2;-
BWH_831_B-6-1-1-arr-right;BWH_831_B-6-1-1-dep-right;waiting;5;33;2;-
BWH_831_B-6-1-1-dep-right;BWED_841_B-6-1-1-arr-right;driving;22;22;2;-
BWED_841_B-6-1-1-arr-right;BWED_841_B-6-1-1-dep-right;waiting;5;33;2;-
BGB_723_B-6-1-1-arr-right;BGB_723_B-6-1-1-dep-right;waiting;5;33;2;-
BWED_841_B-6-1-1-dep-right;BGB_723_B-6-1-1-arr-right;driving;19;19;2;-
