#file for arcs using the same infrastructure in the sense that activities (i,j) and (i_bar, j_bar) occupy the same underlying infrastructure
i,j,i_bar,j_bar
BBUP_621_B-7-2-1-arr-left,BBUP_621_B-7-2-1-dep-left,BBUP_621_B-6-1-1-arr-right,BBUP_621_B-6-1-1-dep-right
BBUP_621_B-7-2-1-arr-left,BBUP_621_B-7-2-1-dep-left,BBUP_621_B-6-2-1-arr-right,BBUP_621_B-6-2-1-dep-right
BBUP_621_B-7-2-1-arr-left,BBUP_621_B-7-2-1-dep-left,BBUP_621_B-7-1-1-arr-left,BBUP_621_B-7-1-1-dep-left
BBUP_621_B-6-1-1-arr-right,BBUP_621_B-6-1-1-dep-right,BBUP_621_B-6-2-1-arr-right,BBUP_621_B-6-2-1-dep-right
BBUP_621_B-6-1-1-arr-right,BBUP_621_B-6-1-1-dep-right,BBUP_621_B-7-1-1-arr-left,BBUP_621_B-7-1-1-dep-left
BBUP_621_B-6-2-1-arr-right,BBUP_621_B-6-2-1-dep-right,BBUP_621_B-7-1-1-arr-left,BBUP_621_B-7-1-1-dep-left
BHEI_631_B-6-1-1-arr-right,BHEI_631_B-6-1-1-dep-right,BHEI_631_B-6-2-1-arr-right,BHEI_631_B-6-2-1-dep-right
BHO_701_B-6-2-1-arr-right,BHO_701_B-6-2-1-dep-right,BHO_701_B-6-1-1-arr-right,BHO_701_B-6-1-1-dep-right
BHAL_711_B-7-2-1-arr-left,BHAL_711_B-7-2-1-dep-left,BHAL_711_B-6-2-1-arr-right,BHAL_711_B-6-2-1-dep-right
BHAL_711_B-7-2-1-arr-left,BHAL_711_B-7-2-1-dep-left,BHAL_711_B-396-1-21-arr-left,BHAL_711_B-396-1-21-dep-right
BHAL_711_B-7-2-1-arr-left,BHAL_711_B-7-2-1-dep-left,BHAL_711_B-7-1-1-arr-left,BHAL_711_B-7-1-1-dep-left
BHAL_711_B-7-2-1-arr-left,BHAL_711_B-7-2-1-dep-left,BHAL_711_B-379-1-21-arr-left,BHAL_711_B-379-1-21-dep-right
BHAL_711_B-7-2-1-arr-left,BHAL_711_B-7-2-1-dep-left,BHAL_711_B-6-1-1-arr-right,BHAL_711_B-6-1-1-dep-right
