# number of nodes: 121
# number of edges: 145
# number of fixed handles: 5
# 
start,end,type,l,u,w
BGAS_813_B-17-1-21-dep-left,BGKR_112_WA-17-1-1-arr-right,driving,19,19,2
BGKR_112_WA-17-1-1-arr-right,BGKR_112_WA-17-1-1-dep-right,waiting,0,0,2
BGAS_814_B-17-1-21-dep-right,BGKR_112_WA-17-1-1-arr-right,driving,14,14,2
BGKR_111_WA-17-1-2-dep-right,BGAS_811_B-17-1-21-arr-right,driving,16,16,2
BGKR_111_WA-17-1-2-dep-right,BGAS_812_B-17-1-21-arr-right,driving,16,16,2
BGAS_811_B-17-1-21-arr-right,BGAS_811_B-17-1-21-dep-right,waiting,5,100,1
BGAS_812_B-17-1-21-arr-right,BGAS_812_B-17-1-21-dep-right,waiting,5,100,1
BGAS_811_B-17-1-21-dep-right,BGAS_855_A-17-1-21-arr-right,driving,19.0,19.0,1
BGAS_811_B-17-1-21-dep-right,BGAS_857_A-17-1-21-arr-right,driving,19.0,19.0,1
BGAS_855_A-17-1-21-arr-right,BGAS_855_A-17-1-21-dep-left,turn,20,180,1
BGAS_855_A-17-1-21-dep-left,BGAS_811_B-17-1-21-arr-left,driving,19.0,19.0,1
BGAS_855_A-17-1-21-dep-left,BGAS_812_B-17-1-21-arr-left,driving,19.0,19.0,1
BGAS_855_A-17-1-21-dep-left,BGAS_813_B-17-1-21-arr-left,driving,19.0,19.0,1
BGAS_811_B-17-1-21-arr-left,BGAS_811_B-17-1-21-dep-right,turn,20,180,1
BGAS_812_B-17-1-21-arr-left,BGAS_812_B-17-1-21-dep-right,turn,20,180,1
BGAS_813_B-17-1-21-arr-left,BGAS_813_B-17-1-21-dep-left,waiting,5,100,1
BGAS_813_B-17-1-21-arr-left,BGAS_813_B-17-1-21-dep-right,turn,20,180,1
BGAS_857_A-17-1-21-arr-right,BGAS_857_A-17-1-21-dep-left,turn,20,180,1
BGAS_857_A-17-1-21-dep-left,BGAS_811_B-17-1-21-arr-left,driving,19.0,19.0,1
BGAS_857_A-17-1-21-dep-left,BGAS_812_B-17-1-21-arr-left,driving,19.0,19.0,1
