#file for arcs using the same infrastructure in the sense that activities (i,j) and (i_bar, j_bar) occupy the same underlying infrastructure
i,j,i_bar,j_bar
BGKR_112_WA-10-1-1-arr-right,BGKR_112_WA-10-1-1-dep-right,BGKR_112_WA-9-1-1-arr-right,BGKR_112_WA-9-1-1-dep-right
BGKR_112_WA-10-1-1-arr-right,BGKR_112_WA-10-1-1-dep-right,BGKR_112_WA-17-1-1-arr-right,BGKR_112_WA-17-1-1-dep-right
BGKR_112_WA-10-1-1-arr-right,BGKR_112_WA-10-1-1-dep-right,BGKR_112_WA-18-1-2-arr-right,BGKR_112_WA-18-1-2-dep-right
BGKR_112_WA-10-1-1-arr-right,BGKR_112_WA-10-1-1-dep-right,BGKR_112_WA-6-1-1-arr-right,BGKR_112_WA-6-1-1-dep-right
BGKR_112_WA-9-1-1-arr-right,BGKR_112_WA-9-1-1-dep-right,BGKR_112_WA-17-1-1-arr-right,BGKR_112_WA-17-1-1-dep-right
BGKR_112_WA-9-1-1-arr-right,BGKR_112_WA-9-1-1-dep-right,BGKR_112_WA-18-1-2-arr-right,BGKR_112_WA-18-1-2-dep-right
BGKR_112_WA-9-1-1-arr-right,BGKR_112_WA-9-1-1-dep-right,BGKR_112_WA-6-1-1-arr-right,BGKR_112_WA-6-1-1-dep-right
BGKR_112_WA-17-1-1-arr-right,BGKR_112_WA-17-1-1-dep-right,BGKR_112_WA-18-1-2-arr-right,BGKR_112_WA-18-1-2-dep-right
BGKR_112_WA-17-1-1-arr-right,BGKR_112_WA-17-1-1-dep-right,BGKR_112_WA-6-1-1-arr-right,BGKR_112_WA-6-1-1-dep-right
BGKR_112_WA-18-1-2-arr-right,BGKR_112_WA-18-1-2-dep-right,BGKR_112_WA-6-1-1-arr-right,BGKR_112_WA-6-1-1-dep-right
BGAS_811_B-18-1-12-arr-left,BGAS_811_B-18-1-12-dep-right,BGAS_811_B-18-1-12-arr-right,BGAS_811_B-18-1-12-dep-right
BGAS_811_B-18-1-12-arr-left,BGAS_811_B-18-1-12-dep-right,BGAS_811_B-17-1-21-arr-left,BGAS_811_B-17-1-21-dep-right
BGAS_811_B-18-1-12-arr-left,BGAS_811_B-18-1-12-dep-right,BGAS_811_B-17-1-21-arr-right,BGAS_811_B-17-1-21-dep-right
BGAS_811_B-18-1-12-arr-right,BGAS_811_B-18-1-12-dep-right,BGAS_811_B-17-1-21-arr-left,BGAS_811_B-17-1-21-dep-right
BGAS_811_B-18-1-12-arr-right,BGAS_811_B-18-1-12-dep-right,BGAS_811_B-17-1-21-arr-right,BGAS_811_B-17-1-21-dep-right
BGAS_811_B-17-1-21-arr-left,BGAS_811_B-17-1-21-dep-right,BGAS_811_B-17-1-21-arr-right,BGAS_811_B-17-1-21-dep-right
BGAS_812_B-18-1-12-arr-left,BGAS_812_B-18-1-12-dep-right,BGAS_812_B-17-1-21-arr-right,BGAS_812_B-17-1-21-dep-right
BGAS_812_B-18-1-12-arr-left,BGAS_812_B-18-1-12-dep-right,BGAS_812_B-17-1-21-arr-left,BGAS_812_B-17-1-21-dep-right
BGAS_812_B-18-1-12-arr-left,BGAS_812_B-18-1-12-dep-right,BGAS_812_B-18-1-12-arr-right,BGAS_812_B-18-1-12-dep-right
