alt_idx,sheaf_idx,s-t-tuple,weight,u,v
0,0,inevitable,0,BSKR_532_B-474-1-21-arr-right,BSKR_532_B-474-1-21-dep-left
0,0,inevitable,0,BSKR_532_B-474-1-21-dep-left,BSKR_543_A-474-1-21-arr-right
0,0,inevitable,0,BSKR_543_A-474-1-21-arr-right,BSKR_543_A-474-1-21-dep-left
0,0,inevitable,0,BSKR_543_A-474-1-21-dep-left,BSKR_531_B-474-1-21-arr-left
0,0,inevitable,0,BSKR_531_B-474-1-21-arr-left,BSKR_531_B-474-1-21-dep-right
0,0,inevitable,0,BIP_611_B-474-1-1-dep-right,BBUP_621_B-474-1-1-arr-right
0,0,inevitable,0,BBUP_621_B-474-1-1-arr-right,BBUP_621_B-474-1-1-dep-right
0,0,inevitable,0,BBUP_621_B-474-1-1-dep-right,BHEI_631_B-474-1-1-arr-right
0,0,inevitable,0,BHEI_631_B-474-1-1-arr-right,BHEI_631_B-474-1-1-dep-right
0,0,inevitable,0,BMN_802_B-474-1-2-arr-right,BMN_802_B-474-1-2-dep-right
0,0,inevitable,0,BHAL_711_B-474-1-1-dep-right,BWKRR_801_B-474-1-1-arr-right
0,0,inevitable,0,BWKRR_801_B-474-1-1-arr-right,BWKRR_801_B-474-1-1-dep-right
0,0,inevitable,0,BMN_801_B-474-1-1-dep-right,BWES_811_B-474-1-12-arr-right
0,0,inevitable,0,BHAL_711_B-474-1-1-arr-right,BHAL_711_B-474-1-1-dep-right
0,0,inevitable,0,BMN_802_B-474-1-2-dep-right,BWKRR_802_B-474-1-2-arr-right
0,0,inevitable,0,BWKRR_802_B-474-1-2-arr-right,BWKRR_802_B-474-1-2-dep-right
0,0,inevitable,0,BWKRR_801_B-474-1-1-dep-right,BMN_801_B-474-1-1-arr-right
0,0,inevitable,0,BMN_801_B-474-1-1-arr-right,BMN_801_B-474-1-1-dep-right
0,0,inevitable,0,BHO_702_B-474-1-2-dep-right,BHEI_632_B-474-1-2-arr-right
0,0,inevitable,0,BHEI_632_B-474-1-2-arr-right,BHEI_632_B-474-1-2-dep-right
0,0,inevitable,0,BHO_702_B-474-1-2-arr-right,BHO_702_B-474-1-2-dep-right
0,0,inevitable,0,BHEI_631_B-474-1-1-dep-right,BHO_701_B-474-1-1-arr-right
0,0,inevitable,0,BSGR_601_B-474-1-1-dep-right,BIP_611_B-474-1-1-arr-right
0,0,inevitable,0,BIP_611_B-474-1-1-arr-right,BIP_611_B-474-1-1-dep-right
0,0,inevitable,0,BHEI_632_B-474-1-2-dep-right,BBUP_622_B-474-1-2-arr-right
0,0,inevitable,0,BBUP_622_B-474-1-2-arr-right,BBUP_622_B-474-1-2-dep-right
0,0,inevitable,0,BBUP_622_B-474-1-2-dep-right,BIP_612_B-474-1-2-arr-right
0,0,inevitable,0,BSGR_601_B-474-1-1-arr-right,BSGR_601_B-474-1-1-dep-right
0,0,inevitable,0,BSGR_602_B-474-1-2-arr-right,BSGR_602_B-474-1-2-dep-right
0,0,inevitable,0,BSGR_602_B-474-1-2-dep-right,BSKR_532_B-474-1-21-arr-right
0,0,inevitable,0,BIP_612_B-474-1-2-arr-right,BIP_612_B-474-1-2-dep-right
0,0,inevitable,0,BIP_612_B-474-1-2-dep-right,BSGR_602_B-474-1-2-arr-right
0,0,inevitable,0,BSKR_531_B-474-1-21-dep-right,BSGR_601_B-474-1-1-arr-right
0,0,inevitable,0,BHO_701_B-474-1-1-arr-right,BHO_701_B-474-1-1-dep-right
0,0,inevitable,0,BHO_701_B-474-1-1-dep-right,BHAL_711_B-474-1-1-arr-right
0,0,inevitable,0,BBLB_4_B-54-1-21-arr-right,BBLB_4_B-54-1-21-dep-right
0,0,inevitable,0,BBLB_4_B-54-1-21-dep-right,BBLB_3_A-54-1-21-arr-right
0,0,inevitable,0,BBLB_3_A-54-1-21-arr-right,BBLB_3_A-54-1-21-dep-left
0,0,inevitable,0,BBLB_3_A-54-1-21-dep-left,BBLB_1_B-54-1-21-arr-right
0,0,inevitable,0,BBLB_1_B-54-1-21-arr-right,BBLB_1_B-54-1-21-dep-right
0,0,inevitable,0,BSGR_602_B-54-1-2-dep-right,BSKR_532_B-54-1-2-arr-right
0,0,inevitable,0,BSKR_532_B-54-1-2-arr-right,BSKR_532_B-54-1-2-dep-right
0,0,inevitable,0,BBOS_612_B-54-1-1-dep-right,BSAL_771_B-54-1-1-arr-right
0,0,inevitable,0,BSAL_771_B-54-1-1-arr-right,BSAL_771_B-54-1-1-dep-right
0,0,inevitable,0,BHO_701_B-54-1-1-dep-right,BHAL_711_B-54-1-1-arr-right
0,0,inevitable,0,BHAL_711_B-54-1-1-arr-right,BHAL_711_B-54-1-1-dep-right
0,0,inevitable,0,BMN_801_B-54-1-1-dep-right,BWES_811_B-54-1-12-arr-right
0,0,inevitable,0,BBOS_613_B-54-1-2-arr-right,BBOS_613_B-54-1-2-dep-right
0,0,inevitable,0,BMN_802_B-54-1-2-arr-right,BMN_802_B-54-1-2-dep-right
0,0,inevitable,0,BBUP_621_B-54-1-1-arr-right,BBUP_621_B-54-1-1-dep-right
0,0,inevitable,0,BBUP_621_B-54-1-1-dep-right,BHEI_631_B-54-1-1-arr-right
0,0,inevitable,0,BFA_541_B-54-1-1-arr-right,BFA_541_B-54-1-1-dep-right
0,0,inevitable,0,BFA_541_B-54-1-1-dep-right,BOK_551_B-54-1-1-arr-right
0,0,inevitable,0,BPHD_1_B-54-1-1-dep-right,BPKW_642_B-54-1-1-arr-right
0,0,inevitable,0,BPKW_642_B-54-1-1-arr-right,BPKW_642_B-54-1-1-dep-right
0,0,inevitable,0,BSAL_771_B-54-1-1-dep-right,BPLA_781_B-54-1-1-arr-right
0,0,inevitable,0,BPLA_781_B-54-1-1-arr-right,BPLA_781_B-54-1-1-dep-right
0,0,inevitable,0,BHEI_631_B-54-1-1-dep-right,BHO_701_B-54-1-1-arr-right
0,0,inevitable,0,BHO_701_B-54-1-1-arr-right,BHO_701_B-54-1-1-dep-right
0,0,inevitable,0,BBUP_622_B-54-1-2-dep-right,BIP_612_B-54-1-2-arr-right
0,0,inevitable,0,BIP_612_B-54-1-2-arr-right,BIP_612_B-54-1-2-dep-right
0,0,inevitable,0,BSO_401_B-54-1-1-dep-right,BNK_461_B-54-1-1-arr-right
0,0,inevitable,0,BNK_461_B-54-1-1-arr-right,BNK_461_B-54-1-1-dep-right
0,0,inevitable,0,BSO_402_B-54-1-2-arr-right,BSO_402_B-54-1-2-dep-right
0,0,inevitable,0,BSO_402_B-54-1-2-dep-right,BTP_572_B-54-1-2-arr-right
0,0,inevitable,0,BHEI_632_B-54-1-2-dep-right,BBUP_622_B-54-1-2-arr-right
0,0,inevitable,0,BBUP_622_B-54-1-2-arr-right,BBUP_622_B-54-1-2-dep-right
0,0,inevitable,0,BSO_401_B-54-1-1-arr-right,BSO_401_B-54-1-1-dep-right
0,0,inevitable,0,BBLB_1_B-54-1-21-dep-right,BPHD_1_B-54-1-1-arr-right
0,0,inevitable,0,BPHD_1_B-54-1-1-arr-right,BPHD_1_B-54-1-1-dep-right
0,0,inevitable,0,BFA_542_B-54-1-2-dep-right,BSTO_542_B-54-1-2-arr-right
0,0,inevitable,0,BSTO_542_B-54-1-2-arr-right,BSTO_542_B-54-1-2-dep-right
0,0,inevitable,0,BSGR_601_B-54-1-1-dep-right,BIP_611_B-54-1-1-arr-right
0,0,inevitable,0,BIP_611_B-54-1-1-arr-right,BIP_611_B-54-1-1-dep-right
0,0,inevitable,0,BPKW_642_B-54-1-1-dep-right,BBOS_612_B-54-1-1-arr-right
0,0,inevitable,0,BTP_572_B-54-1-2-dep-right,BOK_552_B-54-1-2-arr-right
0,0,inevitable,0,BOK_552_B-54-1-2-arr-right,BOK_552_B-54-1-2-dep-right
0,0,inevitable,0,BTHF_511_B-54-1-1-arr-right,BTHF_511_B-54-1-1-dep-right
0,0,inevitable,0,BTHF_511_B-54-1-1-dep-right,BSKR_531_B-54-1-1-arr-right
0,0,inevitable,0,BBOS_613_B-54-1-2-dep-right,BPKW_641_B-54-1-2-arr-right
0,0,inevitable,0,BOK_552_B-54-1-2-dep-right,BFA_542_B-54-1-2-arr-right
0,0,inevitable,0,BSKR_531_B-54-1-1-arr-right,BSKR_531_B-54-1-1-dep-right
0,0,inevitable,0,BSKR_531_B-54-1-1-dep-right,BSGR_601_B-54-1-1-arr-right
0,0,inevitable,0,BSTO_541_B-54-1-1-dep-right,BFA_541_B-54-1-1-arr-right
0,0,inevitable,0,BPKW_641_B-54-1-2-arr-right,BPKW_641_B-54-1-2-dep-right
0,0,inevitable,0,BSGR_602_B-54-1-2-arr-right,BSGR_602_B-54-1-2-dep-right
0,0,inevitable,0,BHAL_711_B-54-1-1-dep-right,BWKRR_801_B-54-1-1-arr-right
0,0,inevitable,0,BHER_472_B-54-1-2-dep-right,BNK_462_B-54-1-2-arr-right
0,0,inevitable,0,BNK_462_B-54-1-2-arr-right,BNK_462_B-54-1-2-dep-right
