# number of nodes: 996
# number of edges: 1137
# number of fixed handles: 16
# 
start,end,type,l,u,w
BSKR_531_B-474-1-21-dep-right,BSGR_601_B-474-1-1-arr-right,driving,15,15,2
BSGR_601_B-474-1-1-arr-right,BSGR_601_B-474-1-1-dep-right,waiting,5,50,2
BIP_611_B-474-1-1-arr-right,BIP_611_B-474-1-1-dep-right,waiting,5,50,2
BSGR_601_B-474-1-1-dep-right,BIP_611_B-474-1-1-arr-right,driving,12,12,2
BIP_611_B-474-1-1-dep-right,BBUP_621_B-474-1-1-arr-right,driving,13,13,2
BBUP_621_B-474-1-1-arr-right,BBUP_621_B-474-1-1-dep-right,waiting,5,50,2
BHEI_631_B-474-1-1-arr-right,BHEI_631_B-474-1-1-dep-right,waiting,5,50,2
BBUP_621_B-474-1-1-dep-right,BHEI_631_B-474-1-1-arr-right,driving,16,16,2
BHEI_631_B-474-1-1-dep-right,BHO_701_B-474-1-1-arr-right,driving,15,15,2
BHO_701_B-474-1-1-arr-right,BHO_701_B-474-1-1-dep-right,waiting,5,50,2
BHO_701_B-474-1-1-dep-right,BHAL_711_B-474-1-1-arr-right,driving,15,15,2
BHAL_711_B-474-1-1-arr-right,BHAL_711_B-474-1-1-dep-right,waiting,5,50,2
BHAL_711_B-474-1-1-dep-right,BWKRR_801_B-474-1-1-arr-right,driving,11,11,2
BWKRR_801_B-474-1-1-arr-right,BWKRR_801_B-474-1-1-dep-right,waiting,5,50,2
BWKRR_801_B-474-1-1-dep-right,BMN_801_B-474-1-1-arr-right,driving,12,12,2
BMN_801_B-474-1-1-arr-right,BMN_801_B-474-1-1-dep-right,waiting,5,50,2
BMN_801_B-474-1-1-dep-right,BWES_811_B-474-1-12-arr-right,driving,15,15,2
BWES_811_B-474-1-12-arr-right,BWES_811_B-474-1-12-dep-right,waiting,5,50,1
BWES_811_B-474-1-12-arr-right,BWES_811_B-474-1-12-dep-left,turn,20,180,1
BWES_812_B-474-1-12-dep-right,BMN_802_B-474-1-2-arr-right,driving,15,15,2
BMN_802_B-474-1-2-arr-right,BMN_802_B-474-1-2-dep-right,waiting,5,50,2
BWES_811_B-474-1-12-dep-left,BMN_802_B-474-1-2-arr-right,driving,20,20,2
BMN_802_B-474-1-2-dep-right,BWKRR_802_B-474-1-2-arr-right,driving,12,12,2
BWKRR_802_B-474-1-2-arr-right,BWKRR_802_B-474-1-2-dep-right,waiting,5,50,2
BWKRR_802_B-474-1-2-dep-right,BHAL_712_B-474-1-2-arr-right,driving,11,11,2
BWKRR_802_B-474-1-2-dep-right,BHAL_711_B-474-1-2-arr-left,driving,16,16,2
BHAL_712_B-474-1-2-arr-right,BHAL_712_B-474-1-2-dep-right,waiting,5,50,2
BHAL_711_B-474-1-2-arr-left,BHAL_711_B-474-1-2-dep-left,waiting,5,50,2
BHAL_712_B-474-1-2-dep-right,BHO_702_B-474-1-2-arr-right,driving,14,14,2
BHO_702_B-474-1-2-arr-right,BHO_702_B-474-1-2-dep-right,waiting,5,50,2
BHAL_711_B-474-1-2-dep-left,BHO_702_B-474-1-2-arr-right,driving,19,19,2
BHO_702_B-474-1-2-dep-right,BHEI_632_B-474-1-2-arr-right,driving,16,16,2
BHEI_632_B-474-1-2-arr-right,BHEI_632_B-474-1-2-dep-right,waiting,5,50,2
BHEI_632_B-474-1-2-dep-right,BBUP_622_B-474-1-2-arr-right,driving,16,16,2
BBUP_622_B-474-1-2-arr-right,BBUP_622_B-474-1-2-dep-right,waiting,5,50,2
BBUP_622_B-474-1-2-dep-right,BIP_612_B-474-1-2-arr-right,driving,13,13,2
BIP_612_B-474-1-2-arr-right,BIP_612_B-474-1-2-dep-right,waiting,5,50,2
BIP_612_B-474-1-2-dep-right,BSGR_602_B-474-1-2-arr-right,driving,11,11,2
BSGR_602_B-474-1-2-arr-right,BSGR_602_B-474-1-2-dep-right,waiting,5,50,2
BSGR_602_B-474-1-2-dep-right,BSKR_532_B-474-1-21-arr-right,driving,14,14,2
BSKR_532_B-474-1-21-arr-right,BSKR_532_B-474-1-21-dep-left,turn,20,180,1
BSKR_543_A-474-1-21-arr-right,BSKR_543_A-474-1-21-dep-left,turn,20,180,1
BSKR_543_A-474-1-21-dep-left,BSKR_531_B-474-1-21-arr-left,driving,13.0,13.0,1
BSKR_531_B-474-1-21-arr-left,BSKR_531_B-474-1-21-dep-right,turn,20,180,1
BSKR_532_B-474-1-21-dep-left,BSKR_543_A-474-1-21-arr-right,driving,13.0,13.0,1
BWES_811_B-474-1-12-dep-right,BWES_823_A-474-1-12-arr-right,driving,22.0,22.0,1
BWES_811_B-474-1-12-dep-right,BWES_824_A-474-1-12-arr-right,driving,22.0,22.0,1
BWES_823_A-474-1-12-arr-right,BWES_823_A-474-1-12-dep-left,turn,20,180,1
BWES_823_A-474-1-12-dep-left,BWES_811_B-474-1-12-arr-left,driving,22.0,22.0,1
BWES_823_A-474-1-12-dep-left,BWES_812_B-474-1-12-arr-right,driving,22.0,22.0,1
BWES_811_B-474-1-12-arr-left,BWES_811_B-474-1-12-dep-left,waiting,5,50,1
BWES_812_B-474-1-12-arr-right,BWES_812_B-474-1-12-dep-right,waiting,5,50,1
BWES_812_B-474-1-12-arr-right,BWES_812_B-474-1-12-dep-left,turn,20,180,1
BWES_824_A-474-1-12-arr-right,BWES_824_A-474-1-12-dep-left,turn,20,180,1
BWES_824_A-474-1-12-dep-left,BWES_811_B-474-1-12-arr-left,driving,22.0,22.0,1
BWES_824_A-474-1-12-dep-left,BWES_812_B-474-1-12-arr-right,driving,22.0,22.0,1
BWES_812_B-474-1-12-dep-left,BWES_823_A-474-1-12-arr-right,driving,22.0,22.0,1
BWES_812_B-474-1-12-dep-left,BWES_824_A-474-1-12-arr-right,driving,22.0,22.0,1
