#file for arcs using the same infrastructure in the sense that activities (i,j) and (i_bar, j_bar) occupy the same underlying infrastructure
i,j,i_bar,j_bar
BSGR_601_B-273-2-1-arr-right,BSGR_601_B-273-2-1-dep-right,BSGR_601_B-474-1-1-arr-right,BSGR_601_B-474-1-1-dep-right
BSGR_601_B-273-2-1-arr-right,BSGR_601_B-273-2-1-dep-right,BSGR_601_B-273-1-1-arr-right,BSGR_601_B-273-1-1-dep-right
BSGR_601_B-273-2-1-arr-right,BSGR_601_B-273-2-1-dep-right,BSGR_601_B-54-1-1-arr-right,BSGR_601_B-54-1-1-dep-right
BSGR_601_B-474-1-1-arr-right,BSGR_601_B-474-1-1-dep-right,BSGR_601_B-273-1-1-arr-right,BSGR_601_B-273-1-1-dep-right
BSGR_601_B-474-1-1-arr-right,BSGR_601_B-474-1-1-dep-right,BSGR_601_B-54-1-1-arr-right,BSGR_601_B-54-1-1-dep-right
BSGR_601_B-273-1-1-arr-right,BSGR_601_B-273-1-1-dep-right,BSGR_601_B-54-1-1-arr-right,BSGR_601_B-54-1-1-dep-right
BIP_611_B-474-1-1-arr-right,BIP_611_B-474-1-1-dep-right,BIP_611_B-273-2-1-arr-right,BIP_611_B-273-2-1-dep-right
BIP_611_B-474-1-1-arr-right,BIP_611_B-474-1-1-dep-right,BIP_611_B-54-1-1-arr-right,BIP_611_B-54-1-1-dep-right
BIP_611_B-474-1-1-arr-right,BIP_611_B-474-1-1-dep-right,BIP_611_B-273-1-1-arr-right,BIP_611_B-273-1-1-dep-right
BIP_611_B-273-2-1-arr-right,BIP_611_B-273-2-1-dep-right,BIP_611_B-54-1-1-arr-right,BIP_611_B-54-1-1-dep-right
BIP_611_B-273-2-1-arr-right,BIP_611_B-273-2-1-dep-right,BIP_611_B-273-1-1-arr-right,BIP_611_B-273-1-1-dep-right
BIP_611_B-54-1-1-arr-right,BIP_611_B-54-1-1-dep-right,BIP_611_B-273-1-1-arr-right,BIP_611_B-273-1-1-dep-right
BBUP_621_B-54-1-1-arr-right,BBUP_621_B-54-1-1-dep-right,BBUP_621_B-474-1-1-arr-right,BBUP_621_B-474-1-1-dep-right
BBUP_621_B-54-1-1-arr-right,BBUP_621_B-54-1-1-dep-right,BBUP_621_B-273-2-1-arr-right,BBUP_621_B-273-2-1-dep-right
BBUP_621_B-54-1-1-arr-right,BBUP_621_B-54-1-1-dep-right,BBUP_621_B-273-1-1-arr-right,BBUP_621_B-273-1-1-dep-right
BBUP_621_B-474-1-1-arr-right,BBUP_621_B-474-1-1-dep-right,BBUP_621_B-273-2-1-arr-right,BBUP_621_B-273-2-1-dep-right
BBUP_621_B-474-1-1-arr-right,BBUP_621_B-474-1-1-dep-right,BBUP_621_B-273-1-1-arr-right,BBUP_621_B-273-1-1-dep-right
BBUP_621_B-273-2-1-arr-right,BBUP_621_B-273-2-1-dep-right,BBUP_621_B-273-1-1-arr-right,BBUP_621_B-273-1-1-dep-right
BHEI_631_B-54-1-1-arr-right,BHEI_631_B-54-1-1-dep-right,BHEI_631_B-474-1-1-arr-right,BHEI_631_B-474-1-1-dep-right
BHEI_631_B-54-1-1-arr-right,BHEI_631_B-54-1-1-dep-right,BHEI_631_B-273-2-1-arr-right,BHEI_631_B-273-2-1-dep-right
