alt_idx,sheaf_idx,s-t-tuple,weight,u,v
0,0,inevitable,0,BORS_432_B-53-1-2-dep-right,BNB_413_B-53-1-21-arr-right
0,0,inevitable,0,BFSTT_431_B-53-1-1-dep-right,BTOR_441_B-53-1-1-arr-right
0,0,inevitable,0,BTOR_441_B-53-1-1-arr-right,BTOR_441_B-53-1-1-dep-right
0,0,inevitable,0,BAHU_473_B-53-1-2-arr-right,BAHU_473_B-53-1-2-dep-right
0,0,inevitable,0,BAHU_473_B-53-1-2-dep-right,BPOP_454_B-53-1-2-arr-right
0,0,inevitable,0,BFSTT_432_B-53-1-2-arr-right,BFSTT_432_B-53-1-2-dep-right
0,0,inevitable,0,BFSTT_432_B-53-1-2-dep-right,BORS_432_B-53-1-2-arr-right
0,0,inevitable,0,BNB_412_B-53-1-21-dep-left,BORS_431_B-53-1-1-arr-right
0,0,inevitable,0,BTOR_432_B-53-1-2-dep-right,BFSTT_432_B-53-1-2-arr-right
0,0,inevitable,0,BORS_431_B-53-1-1-dep-right,BFSTT_431_B-53-1-1-arr-right
0,0,inevitable,0,BFSTT_431_B-53-1-1-arr-right,BFSTT_431_B-53-1-1-dep-right
0,0,inevitable,0,BORS_431_B-53-1-1-arr-right,BORS_431_B-53-1-1-dep-right
0,0,inevitable,0,BORS_432_B-53-1-2-arr-right,BORS_432_B-53-1-2-dep-right
0,0,inevitable,0,BAHU_472_B-53-1-1-arr-right,BAHU_472_B-53-1-1-dep-right
0,0,inevitable,0,BTOR_432_B-53-1-2-arr-right,BTOR_432_B-53-1-2-dep-right
0,0,inevitable,0,BPOP_454_B-53-1-2-arr-right,BPOP_454_B-53-1-2-dep-right
0,0,inevitable,0,BPOP_454_B-53-1-2-dep-right,BTOR_432_B-53-1-2-arr-right
0,0,inevitable,0,BTOR_432_B-53-2-2-arr-right,BTOR_432_B-53-2-2-dep-right
0,0,inevitable,0,BTOR_432_B-53-2-2-dep-right,BFSTT_432_B-53-2-2-arr-right
0,0,inevitable,0,BFSTT_432_B-53-2-2-dep-right,BORS_432_B-53-2-2-arr-right
0,0,inevitable,0,BORS_432_B-53-2-2-arr-right,BORS_432_B-53-2-2-dep-right
0,0,inevitable,0,BAHU_472_B-53-2-1-arr-right,BAHU_472_B-53-2-1-dep-right
0,0,inevitable,0,BORS_432_B-53-2-2-dep-right,BNB_413_B-53-2-21-arr-right
0,0,inevitable,0,BAHU_473_B-53-2-2-arr-right,BAHU_473_B-53-2-2-dep-right
0,0,inevitable,0,BFSTT_431_B-53-2-1-dep-right,BTOR_441_B-53-2-1-arr-right
0,0,inevitable,0,BTOR_441_B-53-2-1-arr-right,BTOR_441_B-53-2-1-dep-right
0,0,inevitable,0,BPOP_454_B-53-2-2-arr-right,BPOP_454_B-53-2-2-dep-right
0,0,inevitable,0,BPOP_454_B-53-2-2-dep-right,BTOR_432_B-53-2-2-arr-right
0,0,inevitable,0,BNB_412_B-53-2-21-dep-left,BORS_431_B-53-2-1-arr-right
0,0,inevitable,0,BORS_431_B-53-2-1-arr-right,BORS_431_B-53-2-1-dep-right
0,0,inevitable,0,BORS_431_B-53-2-1-dep-right,BFSTT_431_B-53-2-1-arr-right
0,0,inevitable,0,BFSTT_431_B-53-2-1-arr-right,BFSTT_431_B-53-2-1-dep-right
0,0,inevitable,0,BFSTT_432_B-53-2-2-arr-right,BFSTT_432_B-53-2-2-dep-right
0,0,inevitable,0,BAHU_473_B-53-2-2-dep-right,BPOP_454_B-53-2-2-arr-right
0,0,inevitable,0,BWAI_122_B-528-1-1-arr-right,BWAI_122_B-528-1-1-dep-right
0,0,inevitable,0,BWAI_121_B-528-1-2-arr-right,BWAI_121_B-528-1-2-dep-right
0,0,inevitable,0,BWAI_121_B-528-1-2-dep-right,henkel_1_S1_P_BORB_BWSS_0_S1_P_BWSS_BORB_0-528-1-21
0,0,inevitable,0,henkel_1_S1_P_BORB_BWSS_0_S1_P_BWSS_BORB_0-528-1-21,BWAI_122_B-528-1-1-arr-right
0,0,inevitable,0,BPOP_454_B-55-1-1-dep-right,BTOR_432_B-55-1-1-arr-right
0,0,inevitable,0,BTOR_432_B-55-1-1-arr-right,BTOR_432_B-55-1-1-dep-right
0,0,inevitable,0,BORS_432_B-55-1-1-dep-right,BNB_413_B-55-1-12-arr-right
0,0,inevitable,0,BTOR_432_B-55-1-1-dep-right,BFSTT_432_B-55-1-1-arr-right
0,0,inevitable,0,BFSTT_432_B-55-1-1-arr-right,BFSTT_432_B-55-1-1-dep-right
0,0,inevitable,0,BORS_432_B-55-1-1-arr-right,BORS_432_B-55-1-1-dep-right
0,0,inevitable,0,BAHU_474_B-55-1-1-arr-right,BAHU_474_B-55-1-1-dep-right
0,0,inevitable,0,BAHU_474_B-55-1-1-dep-right,BPOP_454_B-55-1-1-arr-right
0,0,inevitable,0,BNB_412_B-55-1-12-dep-left,BORS_431_B-55-1-2-arr-right
0,0,inevitable,0,BORS_431_B-55-1-2-arr-right,BORS_431_B-55-1-2-dep-right
0,0,inevitable,0,BPOP_454_B-55-1-1-arr-right,BPOP_454_B-55-1-1-dep-right
0,0,inevitable,0,BFSTT_432_B-55-1-1-dep-right,BORS_432_B-55-1-1-arr-right
0,0,inevitable,0,BORS_431_B-55-1-2-dep-right,BFSTT_431_B-55-1-2-arr-right
0,0,inevitable,0,BFSTT_431_B-55-1-2-arr-right,BFSTT_431_B-55-1-2-dep-right
0,0,inevitable,0,BFSTT_431_B-55-1-2-dep-right,BTOR_441_B-55-1-2-arr-right
0,0,inevitable,0,BTOR_441_B-55-1-2-arr-right,BTOR_441_B-55-1-2-dep-right
0,0,inevitable,0,BAHU_472_B-55-1-2-arr-right,BAHU_472_B-55-1-2-dep-right
0,0,inevitable,0,BTOR_432_B-55-2-1-arr-right,BTOR_432_B-55-2-1-dep-right
0,0,inevitable,0,BTOR_432_B-55-2-1-dep-right,BFSTT_432_B-55-2-1-arr-right
0,0,inevitable,0,BFSTT_432_B-55-2-1-arr-right,BFSTT_432_B-55-2-1-dep-right
0,0,inevitable,0,BFSTT_432_B-55-2-1-dep-right,BORS_432_B-55-2-1-arr-right
0,0,inevitable,0,BORS_432_B-55-2-1-dep-right,BNB_413_B-55-2-12-arr-right
0,0,inevitable,0,BORS_431_B-55-2-2-arr-right,BORS_431_B-55-2-2-dep-right
0,0,inevitable,0,BORS_431_B-55-2-2-dep-right,BFSTT_431_B-55-2-2-arr-right
0,0,inevitable,0,BAHU_474_B-55-2-1-arr-right,BAHU_474_B-55-2-1-dep-right
0,0,inevitable,0,BAHU_474_B-55-2-1-dep-right,BPOP_454_B-55-2-1-arr-right
0,0,inevitable,0,BAHU_472_B-55-2-2-arr-right,BAHU_472_B-55-2-2-dep-right
0,0,inevitable,0,BPOP_454_B-55-2-1-arr-right,BPOP_454_B-55-2-1-dep-right
0,0,inevitable,0,BPOP_454_B-55-2-1-dep-right,BTOR_432_B-55-2-1-arr-right
0,0,inevitable,0,BFSTT_431_B-55-2-2-dep-right,BTOR_441_B-55-2-2-arr-right
0,0,inevitable,0,BTOR_441_B-55-2-2-arr-right,BTOR_441_B-55-2-2-dep-right
0,0,inevitable,0,BNB_412_B-55-2-12-dep-left,BORS_431_B-55-2-2-arr-right
0,0,inevitable,0,BORS_432_B-55-2-1-arr-right,BORS_432_B-55-2-1-dep-right
0,0,inevitable,0,BFSTT_431_B-55-2-2-arr-right,BFSTT_431_B-55-2-2-dep-right
0,0,inevitable,0,BBU_111_B-140-1-2-arr-right,BBU_111_B-140-1-2-dep-right
0,0,inevitable,0,BBU_111_B-140-1-2-dep-right,henkel_5_S2_W_BBER_BLRD_0_S2_W_BLRD_BBER_0-140-1-21
0,0,inevitable,0,BBU_112_B-140-1-1-arr-right,BBU_112_B-140-1-1-dep-right
0,0,inevitable,0,henkel_5_S2_W_BBER_BLRD_0_S2_W_BLRD_BBER_0-140-1-21,BBU_112_B-140-1-1-arr-right
0,0,inevitable,0,BAHU_474_B-66-1-2-dep-right,BPOP_454_B-66-1-21-arr-right
0,0,inevitable,0,BPOP_452_B-66-1-21-dep-left,BAHU_472_B-66-1-1-arr-right
0,0,inevitable,0,BAHU_474_B-66-1-2-arr-right,BAHU_474_B-66-1-2-dep-right
0,0,inevitable,0,BAHU_472_B-66-1-1-arr-right,BAHU_472_B-66-1-1-dep-right
0,0,inevitable,0,BAHU_474_B-66-2-2-arr-right,BAHU_474_B-66-2-2-dep-right
0,0,inevitable,0,BAHU_474_B-66-2-2-dep-right,BPOP_454_B-66-2-21-arr-right
0,0,inevitable,0,BPOP_452_B-66-2-21-dep-left,BAHU_472_B-66-2-1-arr-right
0,0,inevitable,0,BAHU_472_B-66-2-1-arr-right,BAHU_472_B-66-2-1-dep-right
0,0,inevitable,0,henkel_7_S25_V_BHD_BTLS_0_S25_V_BTLS_BHD_0-108-1-21,BARF_311_B-108-1-1-arr-right
0,0,inevitable,0,BARF_311_B-108-1-1-arr-right,BARF_311_B-108-1-1-dep-right
0,0,inevitable,0,BARF_311_B-108-1-2-dep-right,henkel_7_S25_V_BHD_BTLS_0_S25_V_BTLS_BHD_0-108-1-21
0,0,inevitable,0,BARF_311_B-108-1-2-arr-right,BARF_311_B-108-1-2-dep-right
0,0,inevitable,0,BSTO_542_B-465-1-2-dep-right,BLST_532_B-465-1-2-arr-right
0,0,inevitable,0,BLST_532_B-465-1-2-arr-right,BLST_532_B-465-1-2-dep-right
0,0,inevitable,0,BGSS_512_B-465-1-2-dep-right,BPLA_782_B-465-1-2-arr-right
0,0,inevitable,0,BPLA_782_B-465-1-2-arr-right,BPLA_782_B-465-1-2-dep-right
0,0,inevitable,0,BLST_532_B-465-1-2-dep-right,BGSS_512_B-465-1-2-arr-right
0,0,inevitable,0,BGSS_512_B-465-1-2-arr-right,BGSS_512_B-465-1-2-dep-right
0,0,inevitable,0,BPLA_781_B-465-1-1-arr-right,BPLA_781_B-465-1-1-dep-right
0,0,inevitable,0,BPLA_781_B-465-1-1-dep-right,BGSS_511_B-465-1-1-arr-right
0,0,inevitable,0,BFA_541_B-465-1-1-dep-right,BOK_551_B-465-1-1-arr-right
0,0,inevitable,0,BOK_551_B-465-1-1-arr-right,BOK_551_B-465-1-1-dep-right
0,0,inevitable,0,BPWA_3_B-465-1-1-arr-right,BPWA_3_B-465-1-1-dep-right
0,0,inevitable,0,BPWA_3_B-465-1-1-dep-right,henkel_18_S8_N_BBIW_BZTH_0_S8_N_BZTH_BBIW_0-465-1-12
0,0,inevitable,0,BFA_541_B-465-1-1-arr-right,BFA_541_B-465-1-1-dep-right
0,0,inevitable,0,BGSS_511_B-465-1-1-arr-right,BGSS_511_B-465-1-1-dep-right
0,0,inevitable,0,BSTO_541_B-465-1-1-dep-right,BFA_541_B-465-1-1-arr-right
0,0,inevitable,0,BSTO_541_B-465-1-1-arr-right,BSTO_541_B-465-1-1-dep-right
0,0,inevitable,0,BGB_723_B-465-1-1-dep-right,BSAL_771_B-465-1-1-arr-right
0,0,inevitable,0,BSAL_771_B-465-1-1-arr-right,BSAL_771_B-465-1-1-dep-right
0,0,inevitable,0,BFA_542_B-465-1-2-dep-right,BSTO_542_B-465-1-2-arr-right
0,0,inevitable,0,BSTO_542_B-465-1-2-arr-right,BSTO_542_B-465-1-2-dep-right
0,0,inevitable,0,BGB_722_B-465-1-2-arr-right,BGB_722_B-465-1-2-dep-right
0,0,inevitable,0,BGB_723_B-465-1-1-arr-right,BGB_723_B-465-1-1-dep-right
0,0,inevitable,0,BPWA_4_B-465-1-2-arr-right,BPWA_4_B-465-1-2-dep-right
0,0,inevitable,0,BOK_552_B-465-1-2-arr-right,BOK_552_B-465-1-2-dep-right
0,0,inevitable,0,henkel_18_S8_N_BBIW_BZTH_0_S8_N_BZTH_BBIW_0-465-1-12,BPWA_4_B-465-1-2-arr-right
0,0,inevitable,0,BOK_552_B-465-1-2-dep-right,BFA_542_B-465-1-2-arr-right
0,0,inevitable,0,BFA_542_B-465-1-2-arr-right,BFA_542_B-465-1-2-dep-right
0,0,inevitable,0,BSAL_771_B-465-1-1-dep-right,BPLA_781_B-465-1-1-arr-right
