# number of nodes: 835
# number of edges: 950
# number of fixed handles: 16
# 
start,end,type,l,u,w
BNB_412_B-53-1-21-dep-left,BORS_431_B-53-1-1-arr-right,driving,20,20,2
BORS_431_B-53-1-1-arr-right,BORS_431_B-53-1-1-dep-right,waiting,5,50,2
BORS_431_B-53-1-1-dep-right,BFSTT_431_B-53-1-1-arr-right,driving,13,13,2
BFSTT_431_B-53-1-1-arr-right,BFSTT_431_B-53-1-1-dep-right,waiting,5,50,2
BFSTT_431_B-53-1-1-dep-right,BTOR_441_B-53-1-1-arr-right,driving,12,12,2
BTOR_441_B-53-1-1-arr-right,BTOR_441_B-53-1-1-dep-right,waiting,5,50,2
BTOR_441_B-53-1-1-dep-right,BPOP_452_B-53-1-1-arr-left,driving,20,20,2
BTOR_441_B-53-1-1-dep-right,BPOP_451_B-53-1-1-arr-right,driving,15,15,2
BPOP_452_B-53-1-1-arr-left,BPOP_452_B-53-1-1-dep-left,waiting,5,33,2
BPOP_451_B-53-1-1-arr-right,BPOP_451_B-53-1-1-dep-right,waiting,5,33,2
BPOP_452_B-53-1-1-dep-left,BAHU_472_B-53-1-1-arr-right,driving,21,21,2
BAHU_472_B-53-1-1-arr-right,BAHU_472_B-53-1-1-dep-right,waiting,5,33,2
BPOP_451_B-53-1-1-dep-right,BAHU_472_B-53-1-1-arr-right,driving,16,16,2
BPOP_454_B-53-1-2-arr-right,BPOP_454_B-53-1-2-dep-right,waiting,5,33,2
BAHU_473_B-53-1-2-dep-right,BPOP_454_B-53-1-2-arr-right,driving,16,16,2
BTOR_432_B-53-1-2-arr-right,BTOR_432_B-53-1-2-dep-right,waiting,5,50,2
BPOP_454_B-53-1-2-dep-right,BTOR_432_B-53-1-2-arr-right,driving,16,16,2
BTOR_432_B-53-1-2-dep-right,BFSTT_432_B-53-1-2-arr-right,driving,12,12,2
BFSTT_432_B-53-1-2-arr-right,BFSTT_432_B-53-1-2-dep-right,waiting,5,50,2
BFSTT_432_B-53-1-2-dep-right,BORS_432_B-53-1-2-arr-right,driving,13,13,2
BORS_432_B-53-1-2-arr-right,BORS_432_B-53-1-2-dep-right,waiting,5,50,2
BORS_432_B-53-1-2-dep-right,BNB_413_B-53-1-21-arr-right,driving,15,15,2
BNB_413_B-53-1-21-arr-right,BNB_413_B-53-1-21-dep-right,waiting,5,50,1
BNB_413_B-53-1-21-arr-right,BNB_413_B-53-1-21-dep-left,turn,20,180,1
BNB_415_A-53-1-21-arr-left,BNB_415_A-53-1-21-dep-right,turn,20,180,1
BNB_415_A-53-1-21-dep-right,BNB_412_B-53-1-21-arr-right,driving,10.0,10.0,1
BNB_412_B-53-1-21-arr-right,BNB_412_B-53-1-21-dep-right,waiting,5,50,1
BNB_412_B-53-1-21-arr-right,BNB_412_B-53-1-21-dep-left,turn,20,180,1
BNB_412_B-53-1-21-dep-right,BNB_416_A-53-1-21-arr-right,driving,9.0,9.0,1
BNB_412_B-53-1-21-dep-right,BNB_417_A-53-1-21-arr-right,driving,9.0,9.0,1
BNB_416_A-53-1-21-arr-right,BNB_416_A-53-1-21-dep-left,turn,20,180,1
BNB_416_A-53-1-21-arr-right,BNB_416_A-53-1-21-dep-right,waiting,0,175,1
BNB_416_A-53-1-21-dep-left,BNB_412_B-53-1-21-arr-left,driving,9.0,9.0,1
BNB_416_A-53-1-21-dep-left,BNB_413_B-53-1-21-arr-left,driving,9.0,9.0,1
BNB_412_B-53-1-21-arr-left,BNB_412_B-53-1-21-dep-left,waiting,5,50,1
BNB_412_B-53-1-21-arr-left,BNB_412_B-53-1-21-dep-right,turn,20,180,1
BNB_413_B-53-1-21-arr-left,BNB_413_B-53-1-21-dep-left,waiting,5,50,1
BNB_413_B-53-1-21-arr-left,BNB_413_B-53-1-21-dep-right,turn,20,180,1
BNB_416_A-53-1-21-dep-right,BNB_418_A-53-1-21-arr-right,driving,0,0,1
BNB_418_A-53-1-21-arr-right,BNB_418_A-53-1-21-dep-left,turn,20,180,1
BNB_418_A-53-1-21-dep-left,BNB_416_A-53-1-21-arr-left,driving,0,0,1
BNB_418_A-53-1-21-dep-left,BNB_417_A-53-1-21-arr-left,driving,0,0,1
BNB_416_A-53-1-21-arr-left,BNB_416_A-53-1-21-dep-left,waiting,0,175,1
BNB_417_A-53-1-21-arr-left,BNB_417_A-53-1-21-dep-left,waiting,0,175,1
BNB_417_A-53-1-21-dep-left,BNB_412_B-53-1-21-arr-left,driving,9.0,9.0,1
BNB_417_A-53-1-21-dep-left,BNB_413_B-53-1-21-arr-left,driving,9.0,9.0,1
BNB_417_A-53-1-21-arr-right,BNB_417_A-53-1-21-dep-left,turn,20,180,1
BNB_417_A-53-1-21-arr-right,BNB_417_A-53-1-21-dep-right,waiting,0,175,1
BNB_417_A-53-1-21-dep-right,BNB_418_A-53-1-21-arr-right,driving,0,0,1
BNB_413_B-53-1-21-dep-left,BNB_415_A-53-1-21-arr-left,driving,10.0,10.0,1
BNB_413_B-53-1-21-dep-right,BNB_416_A-53-1-21-arr-right,driving,9.0,9.0,1
BNB_413_B-53-1-21-dep-right,BNB_417_A-53-1-21-arr-right,driving,9.0,9.0,1
BAHU_472_B-53-1-1-dep-right,henkel_0_S1_P_BORB_BWSS_0_S1_P_BWSS_BORB_0-53-1-12,henkel-to,177,177,2
BAHU_472_B-53-1-1-dep-right,henkel_2_S1_PI_BFOH_BWSS_0_S1_PI_BWSS_BFOH_0-53-1-12,henkel-to,77,77,2
henkel_0_S1_P_BORB_BWSS_0_S1_P_BWSS_BORB_0-53-1-12,BAHU_473_B-53-1-2-arr-right,henkel-from,39,39,2
BAHU_473_B-53-1-2-arr-right,BAHU_473_B-53-1-2-dep-right,waiting,5,33,2
henkel_2_S1_PI_BFOH_BWSS_0_S1_PI_BWSS_BFOH_0-53-1-12,BAHU_473_B-53-1-2-arr-right,henkel-from,139,139,2
BNB_412_B-53-2-21-dep-left,BORS_431_B-53-2-1-arr-right,driving,20,20,2
BORS_431_B-53-2-1-arr-right,BORS_431_B-53-2-1-dep-right,waiting,5,50,2
BORS_431_B-53-2-1-dep-right,BFSTT_431_B-53-2-1-arr-right,driving,13,13,2
BFSTT_431_B-53-2-1-arr-right,BFSTT_431_B-53-2-1-dep-right,waiting,5,50,2
BFSTT_431_B-53-2-1-dep-right,BTOR_441_B-53-2-1-arr-right,driving,12,12,2
BTOR_441_B-53-2-1-arr-right,BTOR_441_B-53-2-1-dep-right,waiting,5,50,2
BTOR_441_B-53-2-1-dep-right,BPOP_452_B-53-2-1-arr-left,driving,20,20,2
BTOR_441_B-53-2-1-dep-right,BPOP_451_B-53-2-1-arr-right,driving,15,15,2
BPOP_452_B-53-2-1-arr-left,BPOP_452_B-53-2-1-dep-left,waiting,5,33,2
BPOP_451_B-53-2-1-arr-right,BPOP_451_B-53-2-1-dep-right,waiting,5,33,2
BPOP_452_B-53-2-1-dep-left,BAHU_472_B-53-2-1-arr-right,driving,21,21,2
BAHU_472_B-53-2-1-arr-right,BAHU_472_B-53-2-1-dep-right,waiting,5,33,2
BPOP_451_B-53-2-1-dep-right,BAHU_472_B-53-2-1-arr-right,driving,16,16,2
BPOP_454_B-53-2-2-arr-right,BPOP_454_B-53-2-2-dep-right,waiting,5,33,2
BAHU_473_B-53-2-2-dep-right,BPOP_454_B-53-2-2-arr-right,driving,16,16,2
BTOR_432_B-53-2-2-arr-right,BTOR_432_B-53-2-2-dep-right,waiting,5,50,2
BPOP_454_B-53-2-2-dep-right,BTOR_432_B-53-2-2-arr-right,driving,16,16,2
BTOR_432_B-53-2-2-dep-right,BFSTT_432_B-53-2-2-arr-right,driving,12,12,2
BFSTT_432_B-53-2-2-arr-right,BFSTT_432_B-53-2-2-dep-right,waiting,5,50,2
BFSTT_432_B-53-2-2-dep-right,BORS_432_B-53-2-2-arr-right,driving,13,13,2
BORS_432_B-53-2-2-arr-right,BORS_432_B-53-2-2-dep-right,waiting,5,50,2
BORS_432_B-53-2-2-dep-right,BNB_413_B-53-2-21-arr-right,driving,15,15,2
BNB_413_B-53-2-21-arr-right,BNB_413_B-53-2-21-dep-right,waiting,5,50,1
BNB_413_B-53-2-21-arr-right,BNB_413_B-53-2-21-dep-left,turn,20,180,1
BNB_415_A-53-2-21-arr-left,BNB_415_A-53-2-21-dep-right,turn,20,180,1
BNB_415_A-53-2-21-dep-right,BNB_412_B-53-2-21-arr-right,driving,10.0,10.0,1
BNB_412_B-53-2-21-arr-right,BNB_412_B-53-2-21-dep-right,waiting,5,50,1
BNB_412_B-53-2-21-arr-right,BNB_412_B-53-2-21-dep-left,turn,20,180,1
BNB_412_B-53-2-21-dep-right,BNB_416_A-53-2-21-arr-right,driving,9.0,9.0,1
BNB_412_B-53-2-21-dep-right,BNB_417_A-53-2-21-arr-right,driving,9.0,9.0,1
BNB_416_A-53-2-21-arr-right,BNB_416_A-53-2-21-dep-left,turn,20,180,1
BNB_416_A-53-2-21-arr-right,BNB_416_A-53-2-21-dep-right,waiting,0,175,1
BNB_416_A-53-2-21-dep-left,BNB_412_B-53-2-21-arr-left,driving,9.0,9.0,1
BNB_416_A-53-2-21-dep-left,BNB_413_B-53-2-21-arr-left,driving,9.0,9.0,1
BNB_412_B-53-2-21-arr-left,BNB_412_B-53-2-21-dep-left,waiting,5,50,1
BNB_412_B-53-2-21-arr-left,BNB_412_B-53-2-21-dep-right,turn,20,180,1
BNB_413_B-53-2-21-arr-left,BNB_413_B-53-2-21-dep-left,waiting,5,50,1
BNB_413_B-53-2-21-arr-left,BNB_413_B-53-2-21-dep-right,turn,20,180,1
BNB_416_A-53-2-21-dep-right,BNB_418_A-53-2-21-arr-right,driving,0,0,1
BNB_418_A-53-2-21-arr-right,BNB_418_A-53-2-21-dep-left,turn,20,180,1
BNB_418_A-53-2-21-dep-left,BNB_416_A-53-2-21-arr-left,driving,0,0,1
BNB_418_A-53-2-21-dep-left,BNB_417_A-53-2-21-arr-left,driving,0,0,1
BNB_416_A-53-2-21-arr-left,BNB_416_A-53-2-21-dep-left,waiting,0,175,1
BNB_417_A-53-2-21-arr-left,BNB_417_A-53-2-21-dep-left,waiting,0,175,1
BNB_417_A-53-2-21-dep-left,BNB_412_B-53-2-21-arr-left,driving,9.0,9.0,1
BNB_417_A-53-2-21-dep-left,BNB_413_B-53-2-21-arr-left,driving,9.0,9.0,1
BNB_417_A-53-2-21-arr-right,BNB_417_A-53-2-21-dep-left,turn,20,180,1
BNB_417_A-53-2-21-arr-right,BNB_417_A-53-2-21-dep-right,waiting,0,175,1
BNB_417_A-53-2-21-dep-right,BNB_418_A-53-2-21-arr-right,driving,0,0,1
BNB_413_B-53-2-21-dep-left,BNB_415_A-53-2-21-arr-left,driving,10.0,10.0,1
BNB_413_B-53-2-21-dep-right,BNB_416_A-53-2-21-arr-right,driving,9.0,9.0,1
BNB_413_B-53-2-21-dep-right,BNB_417_A-53-2-21-arr-right,driving,9.0,9.0,1
BAHU_472_B-53-2-1-dep-right,henkel_0_S1_P_BORB_BWSS_0_S1_P_BWSS_BORB_0-53-2-12,henkel-to,177,177,2
BAHU_472_B-53-2-1-dep-right,henkel_2_S1_PI_BFOH_BWSS_0_S1_PI_BWSS_BFOH_0-53-2-12,henkel-to,77,77,2
henkel_0_S1_P_BORB_BWSS_0_S1_P_BWSS_BORB_0-53-2-12,BAHU_473_B-53-2-2-arr-right,henkel-from,39,39,2
BAHU_473_B-53-2-2-arr-right,BAHU_473_B-53-2-2-dep-right,waiting,5,33,2
henkel_2_S1_PI_BFOH_BWSS_0_S1_PI_BWSS_BFOH_0-53-2-12,BAHU_473_B-53-2-2-arr-right,henkel-from,139,139,2
BWIN_112_B-528-1-1-arr-right,BWIN_112_B-528-1-1-dep-right,waiting,5,100,2
BWIN_111_B-528-1-1-arr-left,BWIN_111_B-528-1-1-dep-left,waiting,5,100,2
BWAI_122_B-528-1-1-dep-right,BWIN_112_B-528-1-1-arr-right,driving,18,18,2
BWAI_122_B-528-1-1-dep-right,BWIN_111_B-528-1-1-arr-left,driving,23,23,2
BWIN_112_B-528-1-1-dep-right,BWM_102_B-528-1-1-arr-right,driving,26,26,2
BWM_102_B-528-1-1-arr-right,BWM_102_B-528-1-1-dep-right,waiting,5,100,2
BWIN_111_B-528-1-1-dep-left,BWM_101_B-528-1-1-arr-left,driving,26,26,2
BWM_101_B-528-1-1-arr-left,BWM_101_B-528-1-1-dep-left,waiting,5,100,2
BWM_102_B-528-1-1-dep-right,BSNH_684_B-528-1-12-arr-right,driving,21,21,2
BSNH_684_B-528-1-12-arr-right,BSNH_684_B-528-1-12-dep-left,turn,20,180,1
BWM_101_B-528-1-1-dep-left,BSNH_683_B-528-1-12-arr-left,driving,21,21,2
BSNH_683_B-528-1-12-arr-left,BSNH_683_B-528-1-12-dep-right,turn,20,180,1
BSNH_683_B-528-1-12-dep-right,BWM_101_B-528-1-2-arr-right,driving,21,21,2
BWM_101_B-528-1-2-arr-right,BWM_101_B-528-1-2-dep-right,waiting,5,100,2
BSNH_684_B-528-1-12-dep-left,BWM_102_B-528-1-2-arr-left,driving,21,21,2
BWM_102_B-528-1-2-arr-left,BWM_102_B-528-1-2-dep-left,waiting,5,100,2
BWM_102_B-528-1-2-dep-left,BWIN_112_B-528-1-2-arr-left,driving,26,26,2
BWIN_112_B-528-1-2-arr-left,BWIN_112_B-528-1-2-dep-left,waiting,5,100,2
BWM_101_B-528-1-2-dep-right,BWIN_111_B-528-1-2-arr-right,driving,26,26,2
BWIN_111_B-528-1-2-arr-right,BWIN_111_B-528-1-2-dep-right,waiting,5,100,2
BWIN_112_B-528-1-2-dep-left,BWAI_121_B-528-1-2-arr-right,driving,23,23,2
BWAI_121_B-528-1-2-arr-right,BWAI_121_B-528-1-2-dep-right,waiting,5,100,2
BWIN_111_B-528-1-2-dep-right,BWAI_121_B-528-1-2-arr-right,driving,18,18,2
BWAI_121_B-528-1-2-dep-right,henkel_1_S1_P_BORB_BWSS_0_S1_P_BWSS_BORB_0-528-1-21,henkel-to,64,64,2
henkel_1_S1_P_BORB_BWSS_0_S1_P_BWSS_BORB_0-528-1-21,BWAI_122_B-528-1-1-arr-right,henkel-from,128,128,2
BWAI_122_B-528-1-1-arr-right,BWAI_122_B-528-1-1-dep-right,waiting,5,100,2
BAHU_474_B-55-1-1-dep-right,BPOP_454_B-55-1-1-arr-right,driving,16,16,2
BPOP_454_B-55-1-1-arr-right,BPOP_454_B-55-1-1-dep-right,waiting,5,33,2
BTOR_432_B-55-1-1-arr-right,BTOR_432_B-55-1-1-dep-right,waiting,5,50,2
BPOP_454_B-55-1-1-dep-right,BTOR_432_B-55-1-1-arr-right,driving,16,16,2
BTOR_432_B-55-1-1-dep-right,BFSTT_432_B-55-1-1-arr-right,driving,12,12,2
BFSTT_432_B-55-1-1-arr-right,BFSTT_432_B-55-1-1-dep-right,waiting,5,50,2
BFSTT_432_B-55-1-1-dep-right,BORS_432_B-55-1-1-arr-right,driving,13,13,2
BORS_432_B-55-1-1-arr-right,BORS_432_B-55-1-1-dep-right,waiting,5,50,2
BORS_432_B-55-1-1-dep-right,BNB_413_B-55-1-12-arr-right,driving,15,15,2
BNB_413_B-55-1-12-arr-right,BNB_413_B-55-1-12-dep-right,waiting,5,50,1
BNB_413_B-55-1-12-arr-right,BNB_413_B-55-1-12-dep-left,turn,20,180,1
BNB_412_B-55-1-12-dep-left,BORS_431_B-55-1-2-arr-right,driving,20,20,2
BORS_431_B-55-1-2-arr-right,BORS_431_B-55-1-2-dep-right,waiting,5,50,2
BORS_431_B-55-1-2-dep-right,BFSTT_431_B-55-1-2-arr-right,driving,13,13,2
BFSTT_431_B-55-1-2-arr-right,BFSTT_431_B-55-1-2-dep-right,waiting,5,50,2
BFSTT_431_B-55-1-2-dep-right,BTOR_441_B-55-1-2-arr-right,driving,12,12,2
BTOR_441_B-55-1-2-arr-right,BTOR_441_B-55-1-2-dep-right,waiting,5,50,2
BTOR_441_B-55-1-2-dep-right,BPOP_452_B-55-1-2-arr-left,driving,20,20,2
BTOR_441_B-55-1-2-dep-right,BPOP_451_B-55-1-2-arr-right,driving,15,15,2
BPOP_452_B-55-1-2-arr-left,BPOP_452_B-55-1-2-dep-left,waiting,5,33,2
BPOP_451_B-55-1-2-arr-right,BPOP_451_B-55-1-2-dep-right,waiting,5,33,2
BPOP_452_B-55-1-2-dep-left,BAHU_472_B-55-1-2-arr-right,driving,21,21,2
BAHU_472_B-55-1-2-arr-right,BAHU_472_B-55-1-2-dep-right,waiting,5,33,2
BPOP_451_B-55-1-2-dep-right,BAHU_472_B-55-1-2-arr-right,driving,16,16,2
BNB_415_A-55-1-12-arr-left,BNB_415_A-55-1-12-dep-right,turn,20,180,1
BNB_415_A-55-1-12-dep-right,BNB_412_B-55-1-12-arr-right,driving,10.0,10.0,1
BNB_412_B-55-1-12-arr-right,BNB_412_B-55-1-12-dep-right,waiting,5,50,1
BNB_412_B-55-1-12-arr-right,BNB_412_B-55-1-12-dep-left,turn,20,180,1
BNB_412_B-55-1-12-dep-right,BNB_416_A-55-1-12-arr-right,driving,9.0,9.0,1
BNB_412_B-55-1-12-dep-right,BNB_417_A-55-1-12-arr-right,driving,9.0,9.0,1
BNB_416_A-55-1-12-arr-right,BNB_416_A-55-1-12-dep-left,turn,20,180,1
BNB_416_A-55-1-12-arr-right,BNB_416_A-55-1-12-dep-right,waiting,0,175,1
BNB_416_A-55-1-12-dep-left,BNB_412_B-55-1-12-arr-left,driving,9.0,9.0,1
BNB_416_A-55-1-12-dep-left,BNB_413_B-55-1-12-arr-left,driving,9.0,9.0,1
BNB_412_B-55-1-12-arr-left,BNB_412_B-55-1-12-dep-left,waiting,5,50,1
BNB_412_B-55-1-12-arr-left,BNB_412_B-55-1-12-dep-right,turn,20,180,1
BNB_413_B-55-1-12-arr-left,BNB_413_B-55-1-12-dep-left,waiting,5,50,1
BNB_413_B-55-1-12-arr-left,BNB_413_B-55-1-12-dep-right,turn,20,180,1
BNB_416_A-55-1-12-dep-right,BNB_418_A-55-1-12-arr-right,driving,0,0,1
BNB_418_A-55-1-12-arr-right,BNB_418_A-55-1-12-dep-left,turn,20,180,1
BNB_418_A-55-1-12-dep-left,BNB_416_A-55-1-12-arr-left,driving,0,0,1
BNB_418_A-55-1-12-dep-left,BNB_417_A-55-1-12-arr-left,driving,0,0,1
BNB_416_A-55-1-12-arr-left,BNB_416_A-55-1-12-dep-left,waiting,0,175,1
BNB_417_A-55-1-12-arr-left,BNB_417_A-55-1-12-dep-left,waiting,0,175,1
BNB_417_A-55-1-12-dep-left,BNB_412_B-55-1-12-arr-left,driving,9.0,9.0,1
BNB_417_A-55-1-12-dep-left,BNB_413_B-55-1-12-arr-left,driving,9.0,9.0,1
BNB_417_A-55-1-12-arr-right,BNB_417_A-55-1-12-dep-left,turn,20,180,1
BNB_417_A-55-1-12-arr-right,BNB_417_A-55-1-12-dep-right,waiting,0,175,1
BNB_417_A-55-1-12-dep-right,BNB_418_A-55-1-12-arr-right,driving,0,0,1
BNB_413_B-55-1-12-dep-left,BNB_415_A-55-1-12-arr-left,driving,10.0,10.0,1
BNB_413_B-55-1-12-dep-right,BNB_416_A-55-1-12-arr-right,driving,9.0,9.0,1
BNB_413_B-55-1-12-dep-right,BNB_417_A-55-1-12-arr-right,driving,9.0,9.0,1
BAHU_472_B-55-1-2-dep-right,henkel_4_S2_W_BBER_BLRD_0_S2_W_BLRD_BBER_0-55-1-21,henkel-to,155,155,2
BAHU_472_B-55-1-2-dep-right,henkel_4_S2_WI_BBU_BLRD_0_S2_WI_BLRD_BBU_0-55-1-21,henkel-to,55,55,2
henkel_4_S2_W_BBER_BLRD_0_S2_W_BLRD_BBER_0-55-1-21,BAHU_474_B-55-1-1-arr-right,henkel-from,117,117,2
BAHU_474_B-55-1-1-arr-right,BAHU_474_B-55-1-1-dep-right,waiting,5,33,2
henkel_4_S2_WI_BBU_BLRD_0_S2_WI_BLRD_BBU_0-55-1-21,BAHU_474_B-55-1-1-arr-right,henkel-from,17,17,2
BAHU_474_B-55-2-1-dep-right,BPOP_454_B-55-2-1-arr-right,driving,16,16,2
BPOP_454_B-55-2-1-arr-right,BPOP_454_B-55-2-1-dep-right,waiting,5,33,2
BTOR_432_B-55-2-1-arr-right,BTOR_432_B-55-2-1-dep-right,waiting,5,50,2
BPOP_454_B-55-2-1-dep-right,BTOR_432_B-55-2-1-arr-right,driving,16,16,2
BTOR_432_B-55-2-1-dep-right,BFSTT_432_B-55-2-1-arr-right,driving,12,12,2
BFSTT_432_B-55-2-1-arr-right,BFSTT_432_B-55-2-1-dep-right,waiting,5,50,2
BFSTT_432_B-55-2-1-dep-right,BORS_432_B-55-2-1-arr-right,driving,13,13,2
BORS_432_B-55-2-1-arr-right,BORS_432_B-55-2-1-dep-right,waiting,5,50,2
BORS_432_B-55-2-1-dep-right,BNB_413_B-55-2-12-arr-right,driving,15,15,2
BNB_413_B-55-2-12-arr-right,BNB_413_B-55-2-12-dep-right,waiting,5,50,1
BNB_413_B-55-2-12-arr-right,BNB_413_B-55-2-12-dep-left,turn,20,180,1
