#file for arcs using the same infrastructure in the sense that activities (i,j) and (i_bar, j_bar) occupy the same underlying infrastructure
i,j,i_bar,j_bar
BORS_431_B-55-2-2-arr-right,BORS_431_B-55-2-2-dep-right,BORS_431_B-55-1-2-arr-right,BORS_431_B-55-1-2-dep-right
BORS_431_B-55-2-2-arr-right,BORS_431_B-55-2-2-dep-right,BORS_431_B-53-2-1-arr-right,BORS_431_B-53-2-1-dep-right
BORS_431_B-55-2-2-arr-right,BORS_431_B-55-2-2-dep-right,BORS_431_B-53-1-1-arr-right,BORS_431_B-53-1-1-dep-right
BORS_431_B-55-1-2-arr-right,BORS_431_B-55-1-2-dep-right,BORS_431_B-53-2-1-arr-right,BORS_431_B-53-2-1-dep-right
BORS_431_B-55-1-2-arr-right,BORS_431_B-55-1-2-dep-right,BORS_431_B-53-1-1-arr-right,BORS_431_B-53-1-1-dep-right
BORS_431_B-53-2-1-arr-right,BORS_431_B-53-2-1-dep-right,BORS_431_B-53-1-1-arr-right,BORS_431_B-53-1-1-dep-right
BFSTT_431_B-55-2-2-arr-right,BFSTT_431_B-55-2-2-dep-right,BFSTT_431_B-53-2-1-arr-right,BFSTT_431_B-53-2-1-dep-right
BFSTT_431_B-55-2-2-arr-right,BFSTT_431_B-55-2-2-dep-right,BFSTT_431_B-53-1-1-arr-right,BFSTT_431_B-53-1-1-dep-right
BFSTT_431_B-55-2-2-arr-right,BFSTT_431_B-55-2-2-dep-right,BFSTT_431_B-55-1-2-arr-right,BFSTT_431_B-55-1-2-dep-right
BFSTT_431_B-53-2-1-arr-right,BFSTT_431_B-53-2-1-dep-right,BFSTT_431_B-53-1-1-arr-right,BFSTT_431_B-53-1-1-dep-right
BFSTT_431_B-53-2-1-arr-right,BFSTT_431_B-53-2-1-dep-right,BFSTT_431_B-55-1-2-arr-right,BFSTT_431_B-55-1-2-dep-right
BFSTT_431_B-53-1-1-arr-right,BFSTT_431_B-53-1-1-dep-right,BFSTT_431_B-55-1-2-arr-right,BFSTT_431_B-55-1-2-dep-right
BTOR_441_B-53-1-1-arr-right,BTOR_441_B-53-1-1-dep-right,BTOR_441_B-55-2-2-arr-right,BTOR_441_B-55-2-2-dep-right
BTOR_441_B-53-1-1-arr-right,BTOR_441_B-53-1-1-dep-right,BTOR_441_B-53-2-1-arr-right,BTOR_441_B-53-2-1-dep-right
BTOR_441_B-53-1-1-arr-right,BTOR_441_B-53-1-1-dep-right,BTOR_441_B-55-1-2-arr-right,BTOR_441_B-55-1-2-dep-right
BTOR_441_B-55-2-2-arr-right,BTOR_441_B-55-2-2-dep-right,BTOR_441_B-53-2-1-arr-right,BTOR_441_B-53-2-1-dep-right
BTOR_441_B-55-2-2-arr-right,BTOR_441_B-55-2-2-dep-right,BTOR_441_B-55-1-2-arr-right,BTOR_441_B-55-1-2-dep-right
BTOR_441_B-53-2-1-arr-right,BTOR_441_B-53-2-1-dep-right,BTOR_441_B-55-1-2-arr-right,BTOR_441_B-55-1-2-dep-right
BPOP_452_B-53-2-1-arr-left,BPOP_452_B-53-2-1-dep-left,BPOP_452_B-66-1-21-arr-left,BPOP_452_B-66-1-21-dep-left
BPOP_452_B-53-2-1-arr-left,BPOP_452_B-53-2-1-dep-left,BPOP_452_B-53-1-1-arr-left,BPOP_452_B-53-1-1-dep-left
BPOP_452_B-53-2-1-arr-left,BPOP_452_B-53-2-1-dep-left,BPOP_452_B-55-1-2-arr-left,BPOP_452_B-55-1-2-dep-left
BPOP_452_B-53-2-1-arr-left,BPOP_452_B-53-2-1-dep-left,BPOP_452_B-55-2-2-arr-left,BPOP_452_B-55-2-2-dep-left
BPOP_452_B-53-2-1-arr-left,BPOP_452_B-53-2-1-dep-left,BPOP_452_B-66-2-21-arr-left,BPOP_452_B-66-2-21-dep-left
BPOP_452_B-66-1-21-arr-left,BPOP_452_B-66-1-21-dep-left,BPOP_452_B-53-1-1-arr-left,BPOP_452_B-53-1-1-dep-left
BPOP_452_B-66-1-21-arr-left,BPOP_452_B-66-1-21-dep-left,BPOP_452_B-55-1-2-arr-left,BPOP_452_B-55-1-2-dep-left
BPOP_452_B-66-1-21-arr-left,BPOP_452_B-66-1-21-dep-left,BPOP_452_B-55-2-2-arr-left,BPOP_452_B-55-2-2-dep-left
BPOP_452_B-66-1-21-arr-left,BPOP_452_B-66-1-21-dep-left,BPOP_452_B-66-2-21-arr-left,BPOP_452_B-66-2-21-dep-left
BPOP_452_B-53-1-1-arr-left,BPOP_452_B-53-1-1-dep-left,BPOP_452_B-55-1-2-arr-left,BPOP_452_B-55-1-2-dep-left
BPOP_452_B-53-1-1-arr-left,BPOP_452_B-53-1-1-dep-left,BPOP_452_B-55-2-2-arr-left,BPOP_452_B-55-2-2-dep-left
BPOP_452_B-53-1-1-arr-left,BPOP_452_B-53-1-1-dep-left,BPOP_452_B-66-2-21-arr-left,BPOP_452_B-66-2-21-dep-left
BPOP_452_B-55-1-2-arr-left,BPOP_452_B-55-1-2-dep-left,BPOP_452_B-55-2-2-arr-left,BPOP_452_B-55-2-2-dep-left
BPOP_452_B-55-1-2-arr-left,BPOP_452_B-55-1-2-dep-left,BPOP_452_B-66-2-21-arr-left,BPOP_452_B-66-2-21-dep-left
BPOP_452_B-55-2-2-arr-left,BPOP_452_B-55-2-2-dep-left,BPOP_452_B-66-2-21-arr-left,BPOP_452_B-66-2-21-dep-left
BPOP_451_B-53-2-1-arr-right,BPOP_451_B-53-2-1-dep-right,BPOP_451_B-55-2-2-arr-right,BPOP_451_B-55-2-2-dep-right
BPOP_451_B-53-2-1-arr-right,BPOP_451_B-53-2-1-dep-right,BPOP_451_B-55-1-2-arr-right,BPOP_451_B-55-1-2-dep-right
BPOP_451_B-53-2-1-arr-right,BPOP_451_B-53-2-1-dep-right,BPOP_451_B-53-1-1-arr-right,BPOP_451_B-53-1-1-dep-right
BPOP_451_B-55-2-2-arr-right,BPOP_451_B-55-2-2-dep-right,BPOP_451_B-55-1-2-arr-right,BPOP_451_B-55-1-2-dep-right
BPOP_451_B-55-2-2-arr-right,BPOP_451_B-55-2-2-dep-right,BPOP_451_B-53-1-1-arr-right,BPOP_451_B-53-1-1-dep-right
BPOP_451_B-55-1-2-arr-right,BPOP_451_B-55-1-2-dep-right,BPOP_451_B-53-1-1-arr-right,BPOP_451_B-53-1-1-dep-right
BAHU_472_B-55-2-2-arr-right,BAHU_472_B-55-2-2-dep-right,BAHU_472_B-53-2-1-arr-right,BAHU_472_B-53-2-1-dep-right
BAHU_472_B-55-2-2-arr-right,BAHU_472_B-55-2-2-dep-right,BAHU_472_B-53-1-1-arr-right,BAHU_472_B-53-1-1-dep-right
BAHU_472_B-55-2-2-arr-right,BAHU_472_B-55-2-2-dep-right,BAHU_472_B-66-2-1-arr-right,BAHU_472_B-66-2-1-dep-right
BAHU_472_B-55-2-2-arr-right,BAHU_472_B-55-2-2-dep-right,BAHU_472_B-55-1-2-arr-right,BAHU_472_B-55-1-2-dep-right
BAHU_472_B-55-2-2-arr-right,BAHU_472_B-55-2-2-dep-right,BAHU_472_B-66-1-1-arr-right,BAHU_472_B-66-1-1-dep-right
BAHU_472_B-53-2-1-arr-right,BAHU_472_B-53-2-1-dep-right,BAHU_472_B-53-1-1-arr-right,BAHU_472_B-53-1-1-dep-right
BAHU_472_B-53-2-1-arr-right,BAHU_472_B-53-2-1-dep-right,BAHU_472_B-66-2-1-arr-right,BAHU_472_B-66-2-1-dep-right
BAHU_472_B-53-2-1-arr-right,BAHU_472_B-53-2-1-dep-right,BAHU_472_B-55-1-2-arr-right,BAHU_472_B-55-1-2-dep-right
BAHU_472_B-53-2-1-arr-right,BAHU_472_B-53-2-1-dep-right,BAHU_472_B-66-1-1-arr-right,BAHU_472_B-66-1-1-dep-right
BAHU_472_B-53-1-1-arr-right,BAHU_472_B-53-1-1-dep-right,BAHU_472_B-66-2-1-arr-right,BAHU_472_B-66-2-1-dep-right
BAHU_472_B-53-1-1-arr-right,BAHU_472_B-53-1-1-dep-right,BAHU_472_B-55-1-2-arr-right,BAHU_472_B-55-1-2-dep-right
BAHU_472_B-53-1-1-arr-right,BAHU_472_B-53-1-1-dep-right,BAHU_472_B-66-1-1-arr-right,BAHU_472_B-66-1-1-dep-right
BAHU_472_B-66-2-1-arr-right,BAHU_472_B-66-2-1-dep-right,BAHU_472_B-55-1-2-arr-right,BAHU_472_B-55-1-2-dep-right
BAHU_472_B-66-2-1-arr-right,BAHU_472_B-66-2-1-dep-right,BAHU_472_B-66-1-1-arr-right,BAHU_472_B-66-1-1-dep-right
BAHU_472_B-55-1-2-arr-right,BAHU_472_B-55-1-2-dep-right,BAHU_472_B-66-1-1-arr-right,BAHU_472_B-66-1-1-dep-right
BPOP_454_B-55-2-1-arr-right,BPOP_454_B-55-2-1-dep-right,BPOP_454_B-53-1-2-arr-right,BPOP_454_B-53-1-2-dep-right
