alt_idx;sheaf_idx;s-t-tuple;weight;path
0;0;inevitable;0;[(BBOS_612_B-31-1-2-arr-right, BBOS_612_B-31-1-2-dep-right), (BBOS_613_B-31-1-1-arr-right, BBOS_613_B-31-1-1-dep-right), (BBOS_612_B-31-2-2-arr-right, BBOS_612_B-31-2-2-dep-right), (BBOS_613_B-31-2-1-arr-right, BBOS_613_B-31-2-1-dep-right), (BBU_111_B-46-1-2-dep-right, henkel_3_S2_W_BBER_BLRD_0_S2_W_BLRD_BBER_0-46-1-21), (henkel_3_S2_W_BBER_BLRD_0_S2_W_BLRD_BBER_0-46-1-21, BBU_112_B-46-1-1-arr-right), (BBU_112_B-46-1-1-arr-right, BBU_112_B-46-1-1-dep-right), (BBU_111_B-46-1-2-arr-right, BBU_111_B-46-1-2-dep-right), (henkel_7_S8_N_BBIW_BZTH_0_S8_N_BZTH_BBIW_0-33-1-12, BBOS_613_B-33-1-2-arr-right), (BBOS_613_B-33-1-2-arr-right, BBOS_613_B-33-1-2-dep-right), (BBOS_612_B-33-1-1-dep-right, henkel_7_S8_N_BBIW_BZTH_0_S8_N_BZTH_BBIW_0-33-1-12), (BBOS_612_B-33-1-1-arr-right, BBOS_612_B-33-1-1-dep-right), (BSNF_6_B-10-1-12-arr-left, BSNF_6_B-10-1-12-dep-right), (BSNF_6_B-10-1-12-dep-right, BBFE_2_B-10-1-2-arr-right), (BHN_4_B-10-1-1-arr-right, BHN_4_B-10-1-1-dep-right), (BHN_4_B-10-1-1-dep-right, BBFE_1_B-10-1-1-arr-right), (BBFE_2_B-10-1-2-arr-right, BBFE_2_B-10-1-2-dep-right), (BHN_3_B-10-1-2-arr-right, BHN_3_B-10-1-2-dep-right), (BBFE_2_B-10-1-2-dep-right, BHN_3_B-10-1-2-arr-right), (BBFE_1_B-10-1-1-dep-right, BSNF_6_B-10-1-12-arr-left), (BBIW_6_B-10-1-21-dep-right, BHN_4_B-10-1-1-arr-right), (BBFE_1_B-10-1-1-arr-right, BBFE_1_B-10-1-1-dep-right), (BBOS_612_B-34-1-2-arr-right, BBOS_612_B-34-1-2-dep-right), (BBOS_612_B-34-1-2-dep-right, henkel_8_S85_NI_BGAS_BPKW_0_S85_NI_BPKW_BGAS_0-34-1-21), (henkel_8_S85_NI_BGAS_BPKW_0_S85_NI_BPKW_BGAS_0-34-1-21, BBOS_613_B-34-1-1-arr-right), (BBOS_613_B-34-1-1-arr-right, BBOS_613_B-34-1-1-dep-right), (BSNH_684_B-24-1-1-dep-right, BWOK_654_B-24-1-1-arr-right), (BWOK_654_B-24-1-1-arr-right, BWOK_654_B-24-1-1-dep-right), (BWIN_112_B-24-1-1-dep-right, BWM_102_B-24-1-1-arr-right), (BWM_102_B-24-1-1-arr-right, BWM_102_B-24-1-1-dep-right), (BWOK_653_B-24-1-2-arr-right, BWOK_653_B-24-1-2-dep-right), (BWOK_653_B-24-1-2-dep-right, BSNH_683_B-24-1-2-arr-right), (BSNH_683_B-24-1-2-dep-right, BWM_101_B-24-1-2-arr-right), (BWM_101_B-24-1-2-arr-right, BWM_101_B-24-1-2-dep-right), (BLEN_101_B-24-1-2-arr-right, BLEN_101_B-24-1-2-dep-right), (BWOK_654_B-24-1-1-dep-right, BBOS_611_B-24-1-1-arr-right), (BWM_102_B-24-1-1-dep-right, BSNH_684_B-24-1-1-arr-right), (BSNH_684_B-24-1-1-arr-right, BSNH_684_B-24-1-1-dep-right), (BLEN_102_B-24-1-1-arr-right, BLEN_102_B-24-1-1-dep-right), (BLEN_102_B-24-1-1-dep-right, BBOR_4_B-24-1-1-arr-right), (BWIN_111_B-24-1-2-arr-right, BWIN_111_B-24-1-2-dep-right), (BBIW_6_B-24-1-1-arr-right, BBIW_6_B-24-1-1-dep-right), (BHED_131_B-24-1-2-arr-right, BHED_131_B-24-1-2-dep-right), (BBOS_614_B-24-1-2-arr-right, BBOS_614_B-24-1-2-dep-right), (BBOS_614_B-24-1-2-dep-right, BWOK_653_B-24-1-2-arr-right), (BSNH_683_B-24-1-2-arr-right, BSNH_683_B-24-1-2-dep-right), (BBOR_4_B-24-1-1-dep-right, BBIW_6_B-24-1-1-arr-right), (BWIN_112_B-24-1-1-arr-right, BWIN_112_B-24-1-1-dep-right), (BBOR_3_B-24-1-2-arr-right, BBOR_3_B-24-1-2-dep-right), (BBOR_3_B-24-1-2-dep-right, BLEN_101_B-24-1-2-arr-right), (BWAI_122_B-24-1-1-arr-right, BWAI_122_B-24-1-1-dep-right), (BWAI_122_B-24-1-1-dep-right, BWIN_112_B-24-1-1-arr-right), (BBOS_611_B-24-1-1-arr-right, BBOS_611_B-24-1-1-dep-right), (BWM_101_B-24-1-2-dep-right, BWIN_111_B-24-1-2-arr-right), (BHED_132_B-24-1-1-arr-right, BHED_132_B-24-1-1-dep-right), (BBOR_4_B-24-1-1-arr-right, BBOR_4_B-24-1-1-dep-right), (BHED_132_B-24-1-1-dep-right, BWAI_122_B-24-1-1-arr-right), (BSNH_683_B-14-1-2-dep-right, BWM_101_B-14-1-2-arr-right), (BWM_101_B-14-1-2-arr-right, BWM_101_B-14-1-2-dep-right), (BWM_101_B-14-1-2-dep-right, BWIN_111_B-14-1-2-arr-right), (BWAI_122_B-14-1-1-arr-right, BWAI_122_B-14-1-1-dep-right), (BWAI_122_B-14-1-1-dep-right, BWIN_112_B-14-1-1-arr-right), (BWOK_653_B-14-1-2-arr-right, BWOK_653_B-14-1-2-dep-right), (BWOK_653_B-14-1-2-dep-right, BSNH_683_B-14-1-2-arr-right), (BBOS_611_B-14-1-1-arr-right, BBOS_611_B-14-1-1-dep-right), (BBOS_614_B-14-1-2-arr-right, BBOS_614_B-14-1-2-dep-right), (BSNH_684_B-14-1-1-arr-right, BSNH_684_B-14-1-1-dep-right), (BSNH_684_B-14-1-1-dep-right, BWOK_654_B-14-1-1-arr-right), (BWIN_112_B-14-1-1-arr-right, BWIN_112_B-14-1-1-dep-right), (BSNH_683_B-14-1-2-arr-right, BSNH_683_B-14-1-2-dep-right), (BHED_132_B-14-1-1-arr-right, BHED_132_B-14-1-1-dep-right), (BHED_132_B-14-1-1-dep-right, BWAI_122_B-14-1-1-arr-right), (BWOK_654_B-14-1-1-arr-right, BWOK_654_B-14-1-1-dep-right), (BWOK_654_B-14-1-1-dep-right, BBOS_611_B-14-1-1-arr-right), (BHED_131_B-14-1-2-arr-right, BHED_131_B-14-1-2-dep-right), (BWIN_112_B-14-1-1-dep-right, BWM_102_B-14-1-1-arr-right), (BBOS_614_B-14-1-2-dep-right, BWOK_653_B-14-1-2-arr-right), (BWIN_111_B-14-1-2-arr-right, BWIN_111_B-14-1-2-dep-right), (BWM_102_B-14-1-1-arr-right, BWM_102_B-14-1-1-dep-right), (BWM_102_B-14-1-1-dep-right, BSNH_684_B-14-1-1-arr-right), (BBOS_611_B-37-1-1-arr-right, BBOS_611_B-37-1-1-dep-right), (BSNH_684_B-37-1-1-arr-right, BSNH_684_B-37-1-1-dep-right), (BSNH_684_B-37-1-1-dep-right, BWOK_654_B-37-1-1-arr-right), (BBOS_614_B-37-1-2-dep-right, BWOK_653_B-37-1-2-arr-right), (BWOK_653_B-37-1-2-arr-right, BWOK_653_B-37-1-2-dep-right), (BBOS_614_B-37-1-2-arr-right, BBOS_614_B-37-1-2-dep-right), (BWOK_653_B-37-1-2-dep-right, BSNH_683_B-37-1-2-arr-right), (henkel_5_S25_V_BHD_BTLS_0_S25_V_BTLS_BHD_0-37-1-21, BSNH_684_B-37-1-1-arr-right), (BSNH_683_B-37-1-2-arr-right, BSNH_683_B-37-1-2-dep-right), (BSNH_683_B-37-1-2-dep-right, henkel_5_S25_V_BHD_BTLS_0_S25_V_BTLS_BHD_0-37-1-21), (BWOK_654_B-37-1-1-arr-right, BWOK_654_B-37-1-1-dep-right), (BWOK_654_B-37-1-1-dep-right, BBOS_611_B-37-1-1-arr-right), (BBOS_614_B-26-1-2-dep-right, BWOK_653_B-26-1-2-arr-right), (BWOK_653_B-26-1-2-arr-right, BWOK_653_B-26-1-2-dep-right), (BSNH_684_B-26-1-1-dep-right, BWOK_654_B-26-1-1-arr-right), (BWOK_654_B-26-1-1-arr-right, BWOK_654_B-26-1-1-dep-right), (BWIN_112_B-26-1-1-arr-right, BWIN_112_B-26-1-1-dep-right), (BWIN_112_B-26-1-1-dep-right, BWM_102_B-26-1-1-arr-right), (BLEN_102_B-26-1-1-arr-right, BLEN_102_B-26-1-1-dep-right), (BBOS_611_B-26-1-1-arr-right, BBOS_611_B-26-1-1-dep-right), (BBOS_614_B-26-1-2-arr-right, BBOS_614_B-26-1-2-dep-right), (BHED_131_B-26-1-2-arr-right, BHED_131_B-26-1-2-dep-right), (BWOK_654_B-26-1-1-dep-right, BBOS_611_B-26-1-1-arr-right), (BLEN_102_B-26-1-1-dep-right, BBOR_4_B-26-1-1-arr-right), (BSNH_683_B-26-1-2-dep-right, BWM_101_B-26-1-2-arr-right), (BWM_101_B-26-1-2-arr-right, BWM_101_B-26-1-2-dep-right), (BWAI_122_B-26-1-1-dep-right, BWIN_112_B-26-1-1-arr-right), (BWM_102_B-26-1-1-arr-right, BWM_102_B-26-1-1-dep-right), (BLEN_101_B-26-1-2-arr-right, BLEN_101_B-26-1-2-dep-right), (BWOK_653_B-26-1-2-dep-right, BSNH_683_B-26-1-2-arr-right), (BSNH_683_B-26-1-2-arr-right, BSNH_683_B-26-1-2-dep-right), (BBIW_6_B-26-1-1-arr-right, BBIW_6_B-26-1-1-dep-right), (BBOR_3_B-26-1-2-arr-right, BBOR_3_B-26-1-2-dep-right), (BWIN_111_B-26-1-2-arr-right, BWIN_111_B-26-1-2-dep-right), (BBOR_3_B-26-1-2-dep-right, BLEN_101_B-26-1-2-arr-right), (BWAI_122_B-26-1-1-arr-right, BWAI_122_B-26-1-1-dep-right), (BBOR_4_B-26-1-1-arr-right, BBOR_4_B-26-1-1-dep-right), (BBOR_4_B-26-1-1-dep-right, BBIW_6_B-26-1-1-arr-right), (BSNH_684_B-26-1-1-arr-right, BSNH_684_B-26-1-1-dep-right), (BHED_132_B-26-1-1-arr-right, BHED_132_B-26-1-1-dep-right), (BHED_132_B-26-1-1-dep-right, BWAI_122_B-26-1-1-arr-right), (BWM_101_B-26-1-2-dep-right, BWIN_111_B-26-1-2-arr-right), (BWM_102_B-26-1-1-dep-right, BSNH_684_B-26-1-1-arr-right)]
1;1;(BBOS_613_B-31-1-1-dep-right-out, BBOS_612_B-31-1-2-arr-right-in);7;[(BBOS_613_B-31-1-1-dep-right, BPKW_642_B-31-1-12-arr-left), (BPKW_642_B-31-1-12-arr-left, BPKW_642_B-31-1-12-dep-right), (BPKW_642_B-31-1-12-dep-right, BBOS_612_B-31-1-2-arr-right)]
2;1;(BBOS_613_B-31-1-1-dep-right-out, BBOS_612_B-31-1-2-arr-right-in);7;[(BBOS_613_B-31-1-1-dep-right, BPKW_641_B-31-1-12-arr-right), (BPKW_641_B-31-1-12-arr-right, BPKW_641_B-31-1-12-dep-left), (BPKW_641_B-31-1-12-dep-left, BBOS_612_B-31-1-2-arr-right)]
3;2;(BBOS_612_B-31-1-2-dep-right-out, BBOS_613_B-31-1-1-arr-right-in);0;[(BBOS_612_B-31-1-2-dep-right, henkel_2_S2_W_BBER_BLRD_0_S2_W_BLRD_BBER_0-31-1-21), (henkel_2_S2_W_BBER_BLRD_0_S2_W_BLRD_BBER_0-31-1-21, BBOS_613_B-31-1-1-arr-right)]
4;2;(BBOS_612_B-31-1-2-dep-right-out, BBOS_613_B-31-1-1-arr-right-in);0;[(BBOS_612_B-31-1-2-dep-right, henkel_2_S2_WI_BBU_BLRD_0_S2_WI_BLRD_BBU_0-31-1-21), (henkel_2_S2_WI_BBU_BLRD_0_S2_WI_BLRD_BBU_0-31-1-21, BBOS_613_B-31-1-1-arr-right)]
5;3;(BBOS_613_B-31-2-1-dep-right-out, BBOS_612_B-31-2-2-arr-right-in);7;[(BBOS_613_B-31-2-1-dep-right, BPKW_642_B-31-2-12-arr-left), (BPKW_642_B-31-2-12-arr-left, BPKW_642_B-31-2-12-dep-right), (BPKW_642_B-31-2-12-dep-right, BBOS_612_B-31-2-2-arr-right)]
6;3;(BBOS_613_B-31-2-1-dep-right-out, BBOS_612_B-31-2-2-arr-right-in);7;[(BBOS_613_B-31-2-1-dep-right, BPKW_641_B-31-2-12-arr-right), (BPKW_641_B-31-2-12-arr-right, BPKW_641_B-31-2-12-dep-left), (BPKW_641_B-31-2-12-dep-left, BBOS_612_B-31-2-2-arr-right)]
7;4;(BBOS_612_B-31-2-2-dep-right-out, BBOS_613_B-31-2-1-arr-right-in);0;[(BBOS_612_B-31-2-2-dep-right, henkel_2_S2_W_BBER_BLRD_0_S2_W_BLRD_BBER_0-31-2-21), (henkel_2_S2_W_BBER_BLRD_0_S2_W_BLRD_BBER_0-31-2-21, BBOS_613_B-31-2-1-arr-right)]
8;4;(BBOS_612_B-31-2-2-dep-right-out, BBOS_613_B-31-2-1-arr-right-in);0;[(BBOS_612_B-31-2-2-dep-right, henkel_2_S2_WI_BBU_BLRD_0_S2_WI_BLRD_BBU_0-31-2-21), (henkel_2_S2_WI_BBU_BLRD_0_S2_WI_BLRD_BBU_0-31-2-21, BBOS_613_B-31-2-1-arr-right)]
9;5;(BBU_112_B-46-1-1-dep-right-out, BBU_111_B-46-1-2-arr-right-in);7;[(BBU_112_B-46-1-1-dep-right, BKRW_102_B-46-1-12-arr-right), (BKRW_102_B-46-1-12-arr-right, BKRW_102_B-46-1-12-dep-left), (BKRW_102_B-46-1-12-dep-left, BBU_111_B-46-1-2-arr-right)]
