# number of nodes: 254
# number of edges: 292
# number of fixed handles: 9
# 
start;end;type;l;u;w;in_regelrichtung
BBOS_613_B-31-1-1-dep-right;BPKW_642_B-31-1-12-arr-left;driving;23;23;2;-
BBOS_613_B-31-1-1-dep-right;BPKW_641_B-31-1-12-arr-right;driving;18;18;2;-
BPKW_642_B-31-1-12-arr-left;BPKW_642_B-31-1-12-dep-right;turn;20;180;1;-
BPKW_641_B-31-1-12-arr-right;BPKW_641_B-31-1-12-dep-left;turn;20;180;1;-
BPKW_642_B-31-1-12-dep-right;BBOS_612_B-31-1-2-arr-right;driving;18;18;2;-
BBOS_612_B-31-1-2-arr-right;BBOS_612_B-31-1-2-dep-right;waiting;5;25;2;-
BPKW_641_B-31-1-12-dep-left;BBOS_612_B-31-1-2-arr-right;driving;23;23;2;-
BBOS_612_B-31-1-2-dep-right;henkel_2_S2_W_BBER_BLRD_0_S2_W_BLRD_BBER_0-31-1-21;henkel-to;118;118;2;-
BBOS_612_B-31-1-2-dep-right;henkel_2_S2_WI_BBU_BLRD_0_S2_WI_BLRD_BBU_0-31-1-21;henkel-to;18;18;2;-
henkel_2_S2_W_BBER_BLRD_0_S2_W_BLRD_BBER_0-31-1-21;BBOS_613_B-31-1-1-arr-right;henkel-from;84;84;2;-
BBOS_613_B-31-1-1-arr-right;BBOS_613_B-31-1-1-dep-right;waiting;5;25;2;-
henkel_2_S2_WI_BBU_BLRD_0_S2_WI_BLRD_BBU_0-31-1-21;BBOS_613_B-31-1-1-arr-right;henkel-from;184;184;2;-
BBOS_613_B-31-2-1-dep-right;BPKW_642_B-31-2-12-arr-left;driving;23;23;2;-
BBOS_613_B-31-2-1-dep-right;BPKW_641_B-31-2-12-arr-right;driving;18;18;2;-
BPKW_642_B-31-2-12-arr-left;BPKW_642_B-31-2-12-dep-right;turn;20;180;1;-
BPKW_641_B-31-2-12-arr-right;BPKW_641_B-31-2-12-dep-left;turn;20;180;1;-
BPKW_642_B-31-2-12-dep-right;BBOS_612_B-31-2-2-arr-right;driving;18;18;2;-
BBOS_612_B-31-2-2-arr-right;BBOS_612_B-31-2-2-dep-right;waiting;5;25;2;-
BPKW_641_B-31-2-12-dep-left;BBOS_612_B-31-2-2-arr-right;driving;23;23;2;-
BBOS_612_B-31-2-2-dep-right;henkel_2_S2_W_BBER_BLRD_0_S2_W_BLRD_BBER_0-31-2-21;henkel-to;118;118;2;-
BBOS_612_B-31-2-2-dep-right;henkel_2_S2_WI_BBU_BLRD_0_S2_WI_BLRD_BBU_0-31-2-21;henkel-to;18;18;2;-
henkel_2_S2_W_BBER_BLRD_0_S2_W_BLRD_BBER_0-31-2-21;BBOS_613_B-31-2-1-arr-right;henkel-from;84;84;2;-
BBOS_613_B-31-2-1-arr-right;BBOS_613_B-31-2-1-dep-right;waiting;5;25;2;-
henkel_2_S2_WI_BBU_BLRD_0_S2_WI_BLRD_BBU_0-31-2-21;BBOS_613_B-31-2-1-arr-right;henkel-from;184;184;2;-
BBU_112_B-46-1-1-dep-right;BKRW_102_B-46-1-12-arr-right;driving;28;28;2;-
BBU_112_B-46-1-1-dep-right;BKRW_101_B-46-1-12-arr-left;driving;33;33;2;-
BKRW_102_B-46-1-12-arr-right;BKRW_102_B-46-1-12-dep-left;turn;20;180;1;-
BKRW_101_B-46-1-12-arr-left;BKRW_101_B-46-1-12-dep-right;turn;20;180;1;-
BKRW_102_B-46-1-12-dep-left;BBU_111_B-46-1-2-arr-right;driving;33;33;2;-
BBU_111_B-46-1-2-arr-right;BBU_111_B-46-1-2-dep-right;waiting;5;100;2;-
