#file for arcs using the same infrastructure in the sense that activities (i,j) and (i_bar, j_bar) occupy the same underlying infrastructure
i,j,i_bar,j_bar
BPKW_642_B-31-2-12-arr-left,BPKW_642_B-31-2-12-dep-right,BPKW_642_B-31-1-12-arr-left,BPKW_642_B-31-1-12-dep-right
BPKW_642_B-31-2-12-arr-left,BPKW_642_B-31-2-12-dep-right,BPKW_642_B-34-1-12-arr-left,BPKW_642_B-34-1-12-dep-right
BPKW_642_B-31-2-12-arr-left,BPKW_642_B-31-2-12-dep-right,BPKW_642_B-33-1-21-arr-left,BPKW_642_B-33-1-21-dep-right
BPKW_642_B-31-1-12-arr-left,BPKW_642_B-31-1-12-dep-right,BPKW_642_B-34-1-12-arr-left,BPKW_642_B-34-1-12-dep-right
BPKW_642_B-31-1-12-arr-left,BPKW_642_B-31-1-12-dep-right,BPKW_642_B-33-1-21-arr-left,BPKW_642_B-33-1-21-dep-right
BPKW_642_B-34-1-12-arr-left,BPKW_642_B-34-1-12-dep-right,BPKW_642_B-33-1-21-arr-left,BPKW_642_B-33-1-21-dep-right
BPKW_641_B-34-1-12-arr-right,BPKW_641_B-34-1-12-dep-left,BPKW_641_B-31-1-12-arr-right,BPKW_641_B-31-1-12-dep-left
BPKW_641_B-34-1-12-arr-right,BPKW_641_B-34-1-12-dep-left,BPKW_641_B-31-2-12-arr-right,BPKW_641_B-31-2-12-dep-left
BPKW_641_B-34-1-12-arr-right,BPKW_641_B-34-1-12-dep-left,BPKW_641_B-33-1-21-arr-right,BPKW_641_B-33-1-21-dep-left
BPKW_641_B-31-1-12-arr-right,BPKW_641_B-31-1-12-dep-left,BPKW_641_B-31-2-12-arr-right,BPKW_641_B-31-2-12-dep-left
BPKW_641_B-31-1-12-arr-right,BPKW_641_B-31-1-12-dep-left,BPKW_641_B-33-1-21-arr-right,BPKW_641_B-33-1-21-dep-left
BPKW_641_B-31-2-12-arr-right,BPKW_641_B-31-2-12-dep-left,BPKW_641_B-33-1-21-arr-right,BPKW_641_B-33-1-21-dep-left
BBOS_612_B-31-1-2-arr-right,BBOS_612_B-31-1-2-dep-right,BBOS_612_B-33-1-1-arr-right,BBOS_612_B-33-1-1-dep-right
BBOS_612_B-31-1-2-arr-right,BBOS_612_B-31-1-2-dep-right,BBOS_612_B-31-2-2-arr-right,BBOS_612_B-31-2-2-dep-right
BBOS_612_B-31-1-2-arr-right,BBOS_612_B-31-1-2-dep-right,BBOS_612_B-34-1-2-arr-right,BBOS_612_B-34-1-2-dep-right
BBOS_612_B-33-1-1-arr-right,BBOS_612_B-33-1-1-dep-right,BBOS_612_B-31-2-2-arr-right,BBOS_612_B-31-2-2-dep-right
BBOS_612_B-33-1-1-arr-right,BBOS_612_B-33-1-1-dep-right,BBOS_612_B-34-1-2-arr-right,BBOS_612_B-34-1-2-dep-right
BBOS_612_B-31-2-2-arr-right,BBOS_612_B-31-2-2-dep-right,BBOS_612_B-34-1-2-arr-right,BBOS_612_B-34-1-2-dep-right
BBOS_613_B-31-1-1-arr-right,BBOS_613_B-31-1-1-dep-right,BBOS_613_B-34-1-1-arr-right,BBOS_613_B-34-1-1-dep-right
BBOS_613_B-31-1-1-arr-right,BBOS_613_B-31-1-1-dep-right,BBOS_613_B-33-1-2-arr-right,BBOS_613_B-33-1-2-dep-right
BBOS_613_B-31-1-1-arr-right,BBOS_613_B-31-1-1-dep-right,BBOS_613_B-31-2-1-arr-right,BBOS_613_B-31-2-1-dep-right
BBOS_613_B-34-1-1-arr-right,BBOS_613_B-34-1-1-dep-right,BBOS_613_B-33-1-2-arr-right,BBOS_613_B-33-1-2-dep-right
BBOS_613_B-34-1-1-arr-right,BBOS_613_B-34-1-1-dep-right,BBOS_613_B-31-2-1-arr-right,BBOS_613_B-31-2-1-dep-right
BBOS_613_B-33-1-2-arr-right,BBOS_613_B-33-1-2-dep-right,BBOS_613_B-31-2-1-arr-right,BBOS_613_B-31-2-1-dep-right
BHN_4_B-26-1-1-arr-right,BHN_4_B-26-1-1-dep-right,BHN_4_B-26-1-2-arr-left,BHN_4_B-26-1-2-dep-left
BHN_4_B-26-1-1-arr-right,BHN_4_B-26-1-1-dep-right,BHN_4_B-24-1-1-arr-right,BHN_4_B-24-1-1-dep-right
BHN_4_B-26-1-1-arr-right,BHN_4_B-26-1-1-dep-right,BHN_4_B-10-1-1-arr-right,BHN_4_B-10-1-1-dep-right
BHN_4_B-26-1-1-arr-right,BHN_4_B-26-1-1-dep-right,BHN_4_B-24-1-2-arr-left,BHN_4_B-24-1-2-dep-left
BHN_4_B-26-1-2-arr-left,BHN_4_B-26-1-2-dep-left,BHN_4_B-24-1-1-arr-right,BHN_4_B-24-1-1-dep-right
BHN_4_B-26-1-2-arr-left,BHN_4_B-26-1-2-dep-left,BHN_4_B-10-1-1-arr-right,BHN_4_B-10-1-1-dep-right
BHN_4_B-26-1-2-arr-left,BHN_4_B-26-1-2-dep-left,BHN_4_B-24-1-2-arr-left,BHN_4_B-24-1-2-dep-left
BHN_4_B-24-1-1-arr-right,BHN_4_B-24-1-1-dep-right,BHN_4_B-10-1-1-arr-right,BHN_4_B-10-1-1-dep-right
BHN_4_B-24-1-1-arr-right,BHN_4_B-24-1-1-dep-right,BHN_4_B-24-1-2-arr-left,BHN_4_B-24-1-2-dep-left
BHN_4_B-10-1-1-arr-right,BHN_4_B-10-1-1-dep-right,BHN_4_B-24-1-2-arr-left,BHN_4_B-24-1-2-dep-left
BHN_3_B-26-1-1-arr-left,BHN_3_B-26-1-1-dep-left,BHN_3_B-10-1-2-arr-right,BHN_3_B-10-1-2-dep-right
BHN_3_B-26-1-1-arr-left,BHN_3_B-26-1-1-dep-left,BHN_3_B-24-1-2-arr-right,BHN_3_B-24-1-2-dep-right
BHN_3_B-26-1-1-arr-left,BHN_3_B-26-1-1-dep-left,BHN_3_B-26-1-2-arr-right,BHN_3_B-26-1-2-dep-right
BHN_3_B-26-1-1-arr-left,BHN_3_B-26-1-1-dep-left,BHN_3_B-24-1-1-arr-left,BHN_3_B-24-1-1-dep-left
BHN_3_B-10-1-2-arr-right,BHN_3_B-10-1-2-dep-right,BHN_3_B-24-1-2-arr-right,BHN_3_B-24-1-2-dep-right
BHN_3_B-10-1-2-arr-right,BHN_3_B-10-1-2-dep-right,BHN_3_B-26-1-2-arr-right,BHN_3_B-26-1-2-dep-right
BHN_3_B-10-1-2-arr-right,BHN_3_B-10-1-2-dep-right,BHN_3_B-24-1-1-arr-left,BHN_3_B-24-1-1-dep-left
BHN_3_B-24-1-2-arr-right,BHN_3_B-24-1-2-dep-right,BHN_3_B-26-1-2-arr-right,BHN_3_B-26-1-2-dep-right
BHN_3_B-24-1-2-arr-right,BHN_3_B-24-1-2-dep-right,BHN_3_B-24-1-1-arr-left,BHN_3_B-24-1-1-dep-left
BHN_3_B-26-1-2-arr-right,BHN_3_B-26-1-2-dep-right,BHN_3_B-24-1-1-arr-left,BHN_3_B-24-1-1-dep-left
BBIW_6_B-24-1-2-arr-left,BBIW_6_B-24-1-2-dep-left,BBIW_6_B-24-1-1-arr-right,BBIW_6_B-24-1-1-dep-right
BBIW_6_B-24-1-2-arr-left,BBIW_6_B-24-1-2-dep-left,BBIW_6_B-10-1-21-arr-left,BBIW_6_B-10-1-21-dep-left
BBIW_6_B-24-1-2-arr-left,BBIW_6_B-24-1-2-dep-left,BBIW_6_B-10-1-21-arr-left,BBIW_6_B-10-1-21-dep-right
BBIW_6_B-24-1-2-arr-left,BBIW_6_B-24-1-2-dep-left,BBIW_6_B-10-1-21-arr-right,BBIW_6_B-10-1-21-dep-right
BBIW_6_B-24-1-2-arr-left,BBIW_6_B-24-1-2-dep-left,BBIW_6_B-26-1-1-arr-right,BBIW_6_B-26-1-1-dep-right
BBIW_6_B-24-1-2-arr-left,BBIW_6_B-24-1-2-dep-left,BBIW_6_B-26-1-2-arr-left,BBIW_6_B-26-1-2-dep-left
BBIW_6_B-24-1-1-arr-right,BBIW_6_B-24-1-1-dep-right,BBIW_6_B-10-1-21-arr-left,BBIW_6_B-10-1-21-dep-left
BBIW_6_B-24-1-1-arr-right,BBIW_6_B-24-1-1-dep-right,BBIW_6_B-10-1-21-arr-left,BBIW_6_B-10-1-21-dep-right
BBIW_6_B-24-1-1-arr-right,BBIW_6_B-24-1-1-dep-right,BBIW_6_B-10-1-21-arr-right,BBIW_6_B-10-1-21-dep-right
BBIW_6_B-24-1-1-arr-right,BBIW_6_B-24-1-1-dep-right,BBIW_6_B-26-1-1-arr-right,BBIW_6_B-26-1-1-dep-right
BBIW_6_B-24-1-1-arr-right,BBIW_6_B-24-1-1-dep-right,BBIW_6_B-26-1-2-arr-left,BBIW_6_B-26-1-2-dep-left
BBIW_6_B-10-1-21-arr-left,BBIW_6_B-10-1-21-dep-left,BBIW_6_B-10-1-21-arr-left,BBIW_6_B-10-1-21-dep-right
BBIW_6_B-10-1-21-arr-left,BBIW_6_B-10-1-21-dep-left,BBIW_6_B-10-1-21-arr-right,BBIW_6_B-10-1-21-dep-right
BBIW_6_B-10-1-21-arr-left,BBIW_6_B-10-1-21-dep-left,BBIW_6_B-26-1-1-arr-right,BBIW_6_B-26-1-1-dep-right
BBIW_6_B-10-1-21-arr-left,BBIW_6_B-10-1-21-dep-left,BBIW_6_B-26-1-2-arr-left,BBIW_6_B-26-1-2-dep-left
BBIW_6_B-10-1-21-arr-left,BBIW_6_B-10-1-21-dep-right,BBIW_6_B-10-1-21-arr-right,BBIW_6_B-10-1-21-dep-right
BBIW_6_B-10-1-21-arr-left,BBIW_6_B-10-1-21-dep-right,BBIW_6_B-26-1-1-arr-right,BBIW_6_B-26-1-1-dep-right
BBIW_6_B-10-1-21-arr-left,BBIW_6_B-10-1-21-dep-right,BBIW_6_B-26-1-2-arr-left,BBIW_6_B-26-1-2-dep-left
BBIW_6_B-10-1-21-arr-right,BBIW_6_B-10-1-21-dep-right,BBIW_6_B-26-1-1-arr-right,BBIW_6_B-26-1-1-dep-right
