alt_idx; sheaf_idx; s-t-tuple; weight; path
0; 0; inevitable; 0; [('BWSS_433_B-1-1-12-dep-right', 'henkel_0_S1_P_BORB_BWSS_0_S1_P_BWSS_BORB_0-1-1-21'), ('henkel_0_S1_P_BORB_BWSS_0_S1_P_BWSS_BORB_0-1-1-21', 'BWSS_432_B-1-1-12-arr-right'), ('BWSS_433_B-2-1-12-dep-right', 'henkel_1_S1_PI_BFOH_BWSS_0_S1_PI_BWSS_BFOH_0-2-1-21'), ('henkel_1_S1_PI_BFOH_BWSS_0_S1_PI_BWSS_BFOH_0-2-1-21', 'BWSS_432_B-2-1-12-arr-right'), ('BHST_402_B-69-1-1-dep-right', 'BOLS_432_B-69-1-1-arr-right'), ('BOLS_432_B-69-1-1-arr-right', 'BOLS_432_B-69-1-1-dep-right'), ('BZOS_255_B-69-1-2-arr-right', 'BZOS_255_B-69-1-2-dep-right'), ('BZOS_255_B-69-1-2-dep-right', 'henkel_3_S3_B_BE_BSPA_0_S3_B_BSPA_BE_0-69-1-21'), ('henkel_3_S3_B_BE_BSPA_0_S3_B_BSPA_BE_0-69-1-21', 'BZOS_256_B-69-1-1-arr-right'), ('BZOS_256_B-69-1-1-arr-right', 'BZOS_256_B-69-1-1-dep-right'), ('BSAP_303_B-69-1-2-dep-right', 'BZOS_255_B-69-1-2-arr-right'), ('BZOS_256_B-69-1-1-dep-right', 'BSAP_304_B-69-1-1-arr-right'), ('BSAP_304_B-69-1-1-arr-right', 'BSAP_304_B-69-1-1-dep-right'), ('BSAP_303_B-69-1-2-arr-right', 'BSAP_303_B-69-1-2-dep-right'), ('BMS_402_B-69-1-1-arr-right', 'BMS_402_B-69-1-1-dep-right'), ('BHST_401_B-69-1-2-arr-right', 'BHST_401_B-69-1-2-dep-right'), ('BHST_401_B-69-1-2-dep-right', 'BMS_401_B-69-1-2-arr-right'), ('BMS_402_B-69-1-1-dep-right', 'BHST_402_B-69-1-1-arr-right'), ('BMS_401_B-69-1-2-arr-right', 'BMS_401_B-69-1-2-dep-right'), ('BOLS_431_B-69-1-2-arr-right', 'BOLS_431_B-69-1-2-dep-right'), ('BHST_402_B-69-1-1-arr-right', 'BHST_402_B-69-1-1-dep-right'), ('BOLS_431_B-69-1-2-dep-right', 'BHST_401_B-69-1-2-arr-right'), ('BOLS_432_B-73-1-1-arr-right', 'BOLS_432_B-73-1-1-dep-right'), ('BSAP_303_B-73-1-2-arr-right', 'BSAP_303_B-73-1-2-dep-right'), ('BOLS_431_B-73-1-2-arr-right', 'BOLS_431_B-73-1-2-dep-right'), ('BZOS_255_B-73-1-2-dep-right', 'henkel_9_S9_C_BFBB_BSPA_0_S9_C_BSPA_BFBB_0-73-1-21'), ('henkel_9_S9_C_BFBB_BSPA_0_S9_C_BSPA_BFBB_0-73-1-21', 'BZOS_256_B-73-1-1-arr-right'), ('BZOS_256_B-73-1-1-dep-right', 'BSAP_304_B-73-1-1-arr-right'), ('BSAP_304_B-73-1-1-arr-right', 'BSAP_304_B-73-1-1-dep-right'), ('BSAP_303_B-73-1-2-dep-right', 'BZOS_255_B-73-1-2-arr-right'), ('BHST_401_B-73-1-2-dep-right', 'BMS_401_B-73-1-2-arr-right'), ('BMS_401_B-73-1-2-arr-right', 'BMS_401_B-73-1-2-dep-right'), ('BZOS_255_B-73-1-2-arr-right', 'BZOS_255_B-73-1-2-dep-right'), ('BZOS_256_B-73-1-1-arr-right', 'BZOS_256_B-73-1-1-dep-right'), ('BHST_401_B-73-1-2-arr-right', 'BHST_401_B-73-1-2-dep-right'), ('BOLS_431_B-73-1-2-dep-right', 'BHST_401_B-73-1-2-arr-right'), ('BHST_402_B-73-1-1-dep-right', 'BOLS_432_B-73-1-1-arr-right'), ('BMS_402_B-73-1-1-arr-right', 'BMS_402_B-73-1-1-dep-right'), ('BHST_402_B-73-1-1-arr-right', 'BHST_402_B-73-1-1-dep-right'), ('BMS_402_B-73-1-1-dep-right', 'BHST_402_B-73-1-1-arr-right'), ('BZOS_256_B-90-1-1-arr-right', 'BZOS_256_B-90-1-1-dep-right'), ('BZOS_256_B-90-1-1-dep-right', 'BSAP_304_B-90-1-1-arr-right'), ('BSAP_304_B-90-1-1-arr-right', 'BSAP_304_B-90-1-1-dep-right'), ('BZOS_255_B-90-1-2-dep-right', 'henkel_5_S5_E_BSTN_BWKS_0_S5_EI_BWKS_BHPG_0_S5_EI_BHPG_BWKS_0_S5_E_BWKS_BSTN_0-90-1-21'), ('henkel_5_S5_E_BSTN_BWKS_0_S5_EI_BWKS_BHPG_0_S5_EI_BHPG_BWKS_0_S5_E_BWKS_BSTN_0-90-1-21', 'BZOS_256_B-90-1-1-arr-right'), ('BSAP_303_B-90-1-2-arr-right', 'BSAP_303_B-90-1-2-dep-right'), ('BSAP_303_B-90-1-2-dep-right', 'BZOS_255_B-90-1-2-arr-right'), ('BZOS_255_B-90-1-2-arr-right', 'BZOS_255_B-90-1-2-dep-right'), ('BZOS_256_B-89-1-1-arr-right', 'BZOS_256_B-89-1-1-dep-right'), ('BZOS_256_B-89-1-1-dep-right', 'BSAP_304_B-89-1-1-arr-right'), ('BZOS_255_B-89-1-2-dep-right', 'henkel_4_S5_E_BSTN_BWKS_0_S5_EI_BWKS_BHPG_0_S5_EI_BHPG_BWKS_0_S5_E_BWKS_BSTN_0-89-1-21'), ('henkel_4_S5_E_BSTN_BWKS_0_S5_EI_BWKS_BHPG_0_S5_EI_BHPG_BWKS_0_S5_E_BWKS_BSTN_0-89-1-21', 'BZOS_256_B-89-1-1-arr-right'), ('BSAP_304_B-89-1-1-arr-right', 'BSAP_304_B-89-1-1-dep-right'), ('BZOS_255_B-89-1-2-arr-right', 'BZOS_255_B-89-1-2-dep-right'), ('BSAP_303_B-89-1-2-arr-right', 'BSAP_303_B-89-1-2-dep-right'), ('BSAP_303_B-89-1-2-dep-right', 'BZOS_255_B-89-1-2-arr-right'), ('BZOS_256_B-82-1-1-arr-right', 'BZOS_256_B-82-1-1-dep-right'), ('BGWD_202_B-82-1-2-arr-left', 'BGWD_202_B-82-1-2-dep-left'), ('BNIS_424_B-82-1-2-dep-right', 'BGWD_202_B-82-1-2-arr-left'), ('BSAP_303_B-82-1-2-arr-right', 'BSAP_303_B-82-1-2-dep-right'), ('BZOS_256_B-82-1-1-dep-right', 'BSAP_304_B-82-1-1-arr-right'), ('BSAP_304_B-82-1-1-arr-right', 'BSAP_304_B-82-1-1-dep-right'), ('BZOS_255_B-82-1-2-arr-right', 'BZOS_255_B-82-1-2-dep-right'), ('BSAP_303_B-82-1-2-dep-right', 'BZOS_255_B-82-1-2-arr-right'), ('BNIS_424_B-82-1-2-arr-right', 'BNIS_424_B-82-1-2-dep-right'), ('BNIS_423_B-82-1-1-arr-right', 'BNIS_423_B-82-1-1-dep-right'), ('BSAP_303_B-82-2-2-arr-right', 'BSAP_303_B-82-2-2-dep-right'), ('BZOS_256_B-82-2-1-arr-right', 'BZOS_256_B-82-2-1-dep-right'), ('BZOS_256_B-82-2-1-dep-right', 'BSAP_304_B-82-2-1-arr-right'), ('BNIS_423_B-82-2-1-arr-right', 'BNIS_423_B-82-2-1-dep-right'), ('BGWD_202_B-82-2-2-arr-left', 'BGWD_202_B-82-2-2-dep-left'), ('BZOS_255_B-82-2-2-arr-right', 'BZOS_255_B-82-2-2-dep-right'), ('BNIS_424_B-82-2-2-arr-right', 'BNIS_424_B-82-2-2-dep-right'), ('BNIS_424_B-82-2-2-dep-right', 'BGWD_202_B-82-2-2-arr-left'), ('BSAP_304_B-82-2-1-arr-right', 'BSAP_304_B-82-2-1-dep-right'), ('BSAP_303_B-82-2-2-dep-right', 'BZOS_255_B-82-2-2-arr-right')]
1; 1; ('BWSS_432_B-1-1-12-arr-right-out', 'BWSS_433_B-1-1-12-dep-right-in'); 8; [('BWSS_432_B-1-1-12-arr-right', 'BWSS_432_B-1-1-12-dep-right'), ('BWSS_432_B-1-1-12-dep-right', 'BWSS_453_A-1-1-12-arr-right'), ('BWSS_453_A-1-1-12-arr-right', 'BWSS_453_A-1-1-12-dep-left'), ('BWSS_453_A-1-1-12-dep-left', 'BWSS_433_B-1-1-12-arr-left'), ('BWSS_433_B-1-1-12-arr-left', 'BWSS_433_B-1-1-12-dep-right')]
2; 1; ('BWSS_432_B-1-1-12-arr-right-out', 'BWSS_433_B-1-1-12-dep-right-in'); 8; [('BWSS_432_B-1-1-12-arr-right', 'BWSS_432_B-1-1-12-dep-left'), ('BWSS_432_B-1-1-12-dep-left', 'BWSS_411_A-1-1-12-arr-right'), ('BWSS_411_A-1-1-12-arr-right', 'BWSS_411_A-1-1-12-dep-left'), ('BWSS_411_A-1-1-12-dep-left', 'BWSS_433_B-1-1-12-arr-left'), ('BWSS_433_B-1-1-12-arr-left', 'BWSS_433_B-1-1-12-dep-right')]
3; 1; ('BWSS_432_B-1-1-12-arr-right-out', 'BWSS_433_B-1-1-12-dep-right-in'); 8; [('BWSS_432_B-1-1-12-arr-right', 'BWSS_432_B-1-1-12-dep-left'), ('BWSS_432_B-1-1-12-dep-left', 'BWSS_412_A-1-1-12-arr-right'), ('BWSS_412_A-1-1-12-arr-right', 'BWSS_412_A-1-1-12-dep-left'), ('BWSS_412_A-1-1-12-dep-left', 'BWSS_433_B-1-1-12-arr-left'), ('BWSS_433_B-1-1-12-arr-left', 'BWSS_433_B-1-1-12-dep-right')]
4; 1; ('BWSS_432_B-1-1-12-arr-right-out', 'BWSS_433_B-1-1-12-dep-right-in'); 8; [('BWSS_432_B-1-1-12-arr-right', 'BWSS_432_B-1-1-12-dep-left'), ('BWSS_432_B-1-1-12-dep-left', 'BWSS_413_A-1-1-12-arr-right'), ('BWSS_413_A-1-1-12-arr-right', 'BWSS_413_A-1-1-12-dep-left'), ('BWSS_413_A-1-1-12-dep-left', 'BWSS_433_B-1-1-12-arr-left'), ('BWSS_433_B-1-1-12-arr-left', 'BWSS_433_B-1-1-12-dep-right')]
5; 2; ('BWSS_432_B-2-1-12-arr-right-out', 'BWSS_433_B-2-1-12-dep-right-in'); 8; [('BWSS_432_B-2-1-12-arr-right', 'BWSS_432_B-2-1-12-dep-right'), ('BWSS_432_B-2-1-12-dep-right', 'BWSS_453_A-2-1-12-arr-right'), ('BWSS_453_A-2-1-12-arr-right', 'BWSS_453_A-2-1-12-dep-left'), ('BWSS_453_A-2-1-12-dep-left', 'BWSS_433_B-2-1-12-arr-left'), ('BWSS_433_B-2-1-12-arr-left', 'BWSS_433_B-2-1-12-dep-right')]
6; 2; ('BWSS_432_B-2-1-12-arr-right-out', 'BWSS_433_B-2-1-12-dep-right-in'); 8; [('BWSS_432_B-2-1-12-arr-right', 'BWSS_432_B-2-1-12-dep-left'), ('BWSS_432_B-2-1-12-dep-left', 'BWSS_411_A-2-1-12-arr-right'), ('BWSS_411_A-2-1-12-arr-right', 'BWSS_411_A-2-1-12-dep-left'), ('BWSS_411_A-2-1-12-dep-left', 'BWSS_433_B-2-1-12-arr-left'), ('BWSS_433_B-2-1-12-arr-left', 'BWSS_433_B-2-1-12-dep-right')]
7; 2; ('BWSS_432_B-2-1-12-arr-right-out', 'BWSS_433_B-2-1-12-dep-right-in'); 8; [('BWSS_432_B-2-1-12-arr-right', 'BWSS_432_B-2-1-12-dep-left'), ('BWSS_432_B-2-1-12-dep-left', 'BWSS_412_A-2-1-12-arr-right'), ('BWSS_412_A-2-1-12-arr-right', 'BWSS_412_A-2-1-12-dep-left'), ('BWSS_412_A-2-1-12-dep-left', 'BWSS_433_B-2-1-12-arr-left'), ('BWSS_433_B-2-1-12-arr-left', 'BWSS_433_B-2-1-12-dep-right')]
8; 2; ('BWSS_432_B-2-1-12-arr-right-out', 'BWSS_433_B-2-1-12-dep-right-in'); 8; [('BWSS_432_B-2-1-12-arr-right', 'BWSS_432_B-2-1-12-dep-left'), ('BWSS_432_B-2-1-12-dep-left', 'BWSS_413_A-2-1-12-arr-right'), ('BWSS_413_A-2-1-12-arr-right', 'BWSS_413_A-2-1-12-dep-left'), ('BWSS_413_A-2-1-12-dep-left', 'BWSS_433_B-2-1-12-arr-left'), ('BWSS_433_B-2-1-12-arr-left', 'BWSS_433_B-2-1-12-dep-right')]
9; 3; ('BSAP_304_B-69-1-1-dep-right-out', 'BMS_402_B-69-1-1-arr-right-in'); 4; [('BSAP_304_B-69-1-1-dep-right', 'BCHS_337_B-69-1-1-arr-right'), ('BCHS_337_B-69-1-1-arr-right', 'BCHS_337_B-69-1-1-dep-right'), ('BCHS_337_B-69-1-1-dep-right', 'BWKS_372_B-69-1-1-arr-right'), ('BWKS_372_B-69-1-1-arr-right', 'BWKS_372_B-69-1-1-dep-right'), ('BWKS_372_B-69-1-1-dep-right', 'BMS_402_B-69-1-1-arr-right')]
