# number of nodes: 346
# number of edges: 506
# number of sheaves of alternatives: 19
# number of alternatives in total: 824
# number of fixed handles: 10
# 
start;end;type;l;u;w;in_regelrichtung
BWSS_431_B-1-1-12-dep-left;BWSS_411_A-1-1-12-arr-right;driving;14;14;1;-
BWSS_431_B-1-1-12-dep-left;BWSS_412_A-1-1-12-arr-right;driving;14;14;1;-
BWSS_431_B-1-1-12-dep-left;BWSS_413_A-1-1-12-arr-right;driving;14;14;1;-
BWSS_411_A-1-1-12-arr-right;BWSS_411_A-1-1-12-dep-left;turn;20;180;1;-
BWSS_411_A-1-1-12-dep-left;BWSS_431_B-1-1-12-arr-right;driving;14;14;1;-
BWSS_411_A-1-1-12-dep-left;BWSS_433_B-1-1-12-arr-left;driving;14;14;1;-
BWSS_411_A-1-1-12-dep-left;BWSS_434_B-1-1-12-arr-left;driving;14;14;1;-
BWSS_431_B-1-1-12-arr-right;BWSS_431_B-1-1-12-dep-right;waiting;5;50;1;-
BWSS_431_B-1-1-12-arr-right;BWSS_431_B-1-1-12-dep-left;turn;20;180;1;-
BWSS_432_B-1-1-12-arr-right;BWSS_432_B-1-1-12-dep-right;waiting;5;50;1;-
BWSS_432_B-1-1-12-arr-right;BWSS_432_B-1-1-12-dep-left;turn;20;180;1;-
BWSS_433_B-1-1-12-arr-left;BWSS_433_B-1-1-12-dep-right;turn;20;180;1;-
BWSS_434_B-1-1-12-arr-left;BWSS_434_B-1-1-12-dep-left;waiting;5;50;1;-
BWSS_434_B-1-1-12-arr-left;BWSS_434_B-1-1-12-dep-right;turn;20;180;1;-
BWSS_412_A-1-1-12-arr-right;BWSS_412_A-1-1-12-dep-left;turn;20;180;1;-
BWSS_412_A-1-1-12-dep-left;BWSS_431_B-1-1-12-arr-right;driving;14;14;1;-
BWSS_412_A-1-1-12-dep-left;BWSS_433_B-1-1-12-arr-left;driving;14;14;1;-
BWSS_412_A-1-1-12-dep-left;BWSS_434_B-1-1-12-arr-left;driving;14;14;1;-
BWSS_413_A-1-1-12-arr-right;BWSS_413_A-1-1-12-dep-left;turn;20;180;1;-
BWSS_413_A-1-1-12-dep-left;BWSS_431_B-1-1-12-arr-right;driving;14;14;1;-
BWSS_413_A-1-1-12-dep-left;BWSS_433_B-1-1-12-arr-left;driving;14;14;1;-
BWSS_413_A-1-1-12-dep-left;BWSS_434_B-1-1-12-arr-left;driving;14;14;1;-
BWSS_431_B-1-1-12-dep-right;BWSS_453_A-1-1-12-arr-right;driving;16;16;1;-
BWSS_453_A-1-1-12-arr-right;BWSS_453_A-1-1-12-dep-left;turn;20;180;1;-
BWSS_453_A-1-1-12-dep-left;BWSS_431_B-1-1-12-arr-left;driving;16;16;1;-
BWSS_453_A-1-1-12-dep-left;BWSS_432_B-1-1-12-arr-left;driving;16;16;1;-
BWSS_453_A-1-1-12-dep-left;BWSS_433_B-1-1-12-arr-left;driving;16;16;1;-
BWSS_453_A-1-1-12-dep-left;BWSS_434_B-1-1-12-arr-right;driving;16;16;1;-
BWSS_431_B-1-1-12-arr-left;BWSS_431_B-1-1-12-dep-left;waiting;5;50;1;-
BWSS_432_B-1-1-12-arr-left;BWSS_432_B-1-1-12-dep-left;waiting;5;50;1;-
BWSS_434_B-1-1-12-arr-right;BWSS_434_B-1-1-12-dep-right;waiting;5;50;1;-
BWSS_432_B-1-1-12-dep-left;BWSS_411_A-1-1-12-arr-right;driving;14;14;1;-
BWSS_432_B-1-1-12-dep-left;BWSS_412_A-1-1-12-arr-right;driving;14;14;1;-
BWSS_432_B-1-1-12-dep-left;BWSS_413_A-1-1-12-arr-right;driving;14;14;1;-
BWSS_432_B-1-1-12-dep-right;BWSS_453_A-1-1-12-arr-right;driving;16;16;1;-
BWSS_433_B-1-1-12-dep-right;henkel_0_S1_P_BORB_BWSS_0_S1_P_BWSS_BORB_0-1-1-21;henkel-to;58;58;2;-
BWSS_434_B-1-1-12-dep-left;BWSS_453_A-1-1-12-arr-right;driving;16;16;1;-
BWSS_434_B-1-1-12-dep-right;BWSS_411_A-1-1-12-arr-right;driving;14;14;1;-
BWSS_434_B-1-1-12-dep-right;BWSS_412_A-1-1-12-arr-right;driving;14;14;1;-
BWSS_434_B-1-1-12-dep-right;BWSS_413_A-1-1-12-arr-right;driving;14;14;1;-
henkel_0_S1_P_BORB_BWSS_0_S1_P_BWSS_BORB_0-1-1-21;BWSS_432_B-1-1-12-arr-right;henkel-from;119;119;2;-
BWSS_431_B-2-1-12-dep-left;BWSS_411_A-2-1-12-arr-right;driving;14;14;1;-
BWSS_431_B-2-1-12-dep-left;BWSS_412_A-2-1-12-arr-right;driving;14;14;1;-
BWSS_431_B-2-1-12-dep-left;BWSS_413_A-2-1-12-arr-right;driving;14;14;1;-
BWSS_411_A-2-1-12-arr-right;BWSS_411_A-2-1-12-dep-left;turn;20;180;1;-
BWSS_411_A-2-1-12-dep-left;BWSS_431_B-2-1-12-arr-right;driving;14;14;1;-
BWSS_411_A-2-1-12-dep-left;BWSS_433_B-2-1-12-arr-left;driving;14;14;1;-
BWSS_411_A-2-1-12-dep-left;BWSS_434_B-2-1-12-arr-left;driving;14;14;1;-
BWSS_431_B-2-1-12-arr-right;BWSS_431_B-2-1-12-dep-right;waiting;5;50;1;-
BWSS_431_B-2-1-12-arr-right;BWSS_431_B-2-1-12-dep-left;turn;20;180;1;-
BWSS_432_B-2-1-12-arr-right;BWSS_432_B-2-1-12-dep-right;waiting;5;50;1;-
BWSS_432_B-2-1-12-arr-right;BWSS_432_B-2-1-12-dep-left;turn;20;180;1;-
BWSS_433_B-2-1-12-arr-left;BWSS_433_B-2-1-12-dep-right;turn;20;180;1;-
BWSS_434_B-2-1-12-arr-left;BWSS_434_B-2-1-12-dep-left;waiting;5;50;1;-
BWSS_434_B-2-1-12-arr-left;BWSS_434_B-2-1-12-dep-right;turn;20;180;1;-
BWSS_412_A-2-1-12-arr-right;BWSS_412_A-2-1-12-dep-left;turn;20;180;1;-
BWSS_412_A-2-1-12-dep-left;BWSS_431_B-2-1-12-arr-right;driving;14;14;1;-
BWSS_412_A-2-1-12-dep-left;BWSS_433_B-2-1-12-arr-left;driving;14;14;1;-
BWSS_412_A-2-1-12-dep-left;BWSS_434_B-2-1-12-arr-left;driving;14;14;1;-
BWSS_413_A-2-1-12-arr-right;BWSS_413_A-2-1-12-dep-left;turn;20;180;1;-
BWSS_413_A-2-1-12-dep-left;BWSS_431_B-2-1-12-arr-right;driving;14;14;1;-
BWSS_413_A-2-1-12-dep-left;BWSS_433_B-2-1-12-arr-left;driving;14;14;1;-
BWSS_413_A-2-1-12-dep-left;BWSS_434_B-2-1-12-arr-left;driving;14;14;1;-
BWSS_431_B-2-1-12-dep-right;BWSS_453_A-2-1-12-arr-right;driving;16;16;1;-
BWSS_453_A-2-1-12-arr-right;BWSS_453_A-2-1-12-dep-left;turn;20;180;1;-
BWSS_453_A-2-1-12-dep-left;BWSS_431_B-2-1-12-arr-left;driving;16;16;1;-
BWSS_453_A-2-1-12-dep-left;BWSS_432_B-2-1-12-arr-left;driving;16;16;1;-
BWSS_453_A-2-1-12-dep-left;BWSS_433_B-2-1-12-arr-left;driving;16;16;1;-
BWSS_453_A-2-1-12-dep-left;BWSS_434_B-2-1-12-arr-right;driving;16;16;1;-
BWSS_431_B-2-1-12-arr-left;BWSS_431_B-2-1-12-dep-left;waiting;5;50;1;-
BWSS_432_B-2-1-12-arr-left;BWSS_432_B-2-1-12-dep-left;waiting;5;50;1;-
BWSS_434_B-2-1-12-arr-right;BWSS_434_B-2-1-12-dep-right;waiting;5;50;1;-
BWSS_432_B-2-1-12-dep-left;BWSS_411_A-2-1-12-arr-right;driving;14;14;1;-
BWSS_432_B-2-1-12-dep-left;BWSS_412_A-2-1-12-arr-right;driving;14;14;1;-
BWSS_432_B-2-1-12-dep-left;BWSS_413_A-2-1-12-arr-right;driving;14;14;1;-
BWSS_432_B-2-1-12-dep-right;BWSS_453_A-2-1-12-arr-right;driving;16;16;1;-
BWSS_433_B-2-1-12-dep-right;henkel_1_S1_PI_BFOH_BWSS_0_S1_PI_BWSS_BFOH_0-2-1-21;henkel-to;158;158;2;-
BWSS_434_B-2-1-12-dep-left;BWSS_453_A-2-1-12-arr-right;driving;16;16;1;-
BWSS_434_B-2-1-12-dep-right;BWSS_411_A-2-1-12-arr-right;driving;14;14;1;-
BWSS_434_B-2-1-12-dep-right;BWSS_412_A-2-1-12-arr-right;driving;14;14;1;-
BWSS_434_B-2-1-12-dep-right;BWSS_413_A-2-1-12-arr-right;driving;14;14;1;-
henkel_1_S1_PI_BFOH_BWSS_0_S1_PI_BWSS_BFOH_0-2-1-21;BWSS_432_B-2-1-12-arr-right;henkel-from;19;19;2;-
BZOS_256_B-69-1-1-dep-right;BSAP_304_B-69-1-1-arr-right;driving;14;14;2;-
BSAP_304_B-69-1-1-arr-right;BSAP_304_B-69-1-1-dep-right;waiting;5;33;2;-
BCHS_337_B-69-1-1-arr-right;BCHS_337_B-69-1-1-dep-right;waiting;5;33;2;-
BCHS_336_B-69-1-1-arr-left;BCHS_336_B-69-1-1-dep-left;waiting;5;33;2;-
BCHS_338_B-69-1-1-arr-right;BCHS_338_B-69-1-1-dep-right;waiting;5;33;2;-
BSAP_304_B-69-1-1-dep-right;BCHS_337_B-69-1-1-arr-right;driving;15;15;2;-
BSAP_304_B-69-1-1-dep-right;BCHS_336_B-69-1-1-arr-left;driving;20;20;2;-
BSAP_304_B-69-1-1-dep-right;BCHS_338_B-69-1-1-arr-right;driving;15;15;2;-
BCHS_337_B-69-1-1-dep-right;BWKS_372_B-69-1-1-arr-right;driving;18;18;2;-
BCHS_337_B-69-1-1-dep-right;BWKS_371_B-69-1-1-arr-right;driving;18;18;2;-
BWKS_372_B-69-1-1-arr-right;BWKS_372_B-69-1-1-dep-right;waiting;5;33;2;-
BWKS_371_B-69-1-1-arr-right;BWKS_371_B-69-1-1-dep-right;waiting;5;33;2;-
