#file for arcs using the same infrastructure in the sense that activities (i,j) and (i_bar, j_bar) occupy the same underlying infrastructure
i,j,i_bar,j_bar
BWSS_411_A-1-1-12-arr-right,BWSS_411_A-1-1-12-dep-left,BWSS_411_A-2-1-12-arr-right,BWSS_411_A-2-1-12-dep-left
BWSS_431_B-1-1-12-arr-right,BWSS_431_B-1-1-12-dep-right,BWSS_431_B-82-1-1-arr-right,BWSS_431_B-82-1-1-dep-right
BWSS_431_B-1-1-12-arr-right,BWSS_431_B-1-1-12-dep-right,BWSS_431_B-1-1-12-arr-right,BWSS_431_B-1-1-12-dep-left
BWSS_431_B-1-1-12-arr-right,BWSS_431_B-1-1-12-dep-right,BWSS_431_B-2-1-12-arr-left,BWSS_431_B-2-1-12-dep-left
BWSS_431_B-1-1-12-arr-right,BWSS_431_B-1-1-12-dep-right,BWSS_431_B-1-1-12-arr-left,BWSS_431_B-1-1-12-dep-left
BWSS_431_B-1-1-12-arr-right,BWSS_431_B-1-1-12-dep-right,BWSS_431_B-2-1-12-arr-right,BWSS_431_B-2-1-12-dep-right
BWSS_431_B-1-1-12-arr-right,BWSS_431_B-1-1-12-dep-right,BWSS_431_B-82-2-1-arr-right,BWSS_431_B-82-2-1-dep-right
BWSS_431_B-1-1-12-arr-right,BWSS_431_B-1-1-12-dep-right,BWSS_431_B-2-1-12-arr-right,BWSS_431_B-2-1-12-dep-left
BWSS_431_B-82-1-1-arr-right,BWSS_431_B-82-1-1-dep-right,BWSS_431_B-1-1-12-arr-right,BWSS_431_B-1-1-12-dep-left
BWSS_431_B-82-1-1-arr-right,BWSS_431_B-82-1-1-dep-right,BWSS_431_B-2-1-12-arr-left,BWSS_431_B-2-1-12-dep-left
BWSS_431_B-82-1-1-arr-right,BWSS_431_B-82-1-1-dep-right,BWSS_431_B-1-1-12-arr-left,BWSS_431_B-1-1-12-dep-left
BWSS_431_B-82-1-1-arr-right,BWSS_431_B-82-1-1-dep-right,BWSS_431_B-2-1-12-arr-right,BWSS_431_B-2-1-12-dep-right
BWSS_431_B-82-1-1-arr-right,BWSS_431_B-82-1-1-dep-right,BWSS_431_B-82-2-1-arr-right,BWSS_431_B-82-2-1-dep-right
BWSS_431_B-82-1-1-arr-right,BWSS_431_B-82-1-1-dep-right,BWSS_431_B-2-1-12-arr-right,BWSS_431_B-2-1-12-dep-left
BWSS_431_B-1-1-12-arr-right,BWSS_431_B-1-1-12-dep-left,BWSS_431_B-2-1-12-arr-left,BWSS_431_B-2-1-12-dep-left
BWSS_431_B-1-1-12-arr-right,BWSS_431_B-1-1-12-dep-left,BWSS_431_B-1-1-12-arr-left,BWSS_431_B-1-1-12-dep-left
BWSS_431_B-1-1-12-arr-right,BWSS_431_B-1-1-12-dep-left,BWSS_431_B-2-1-12-arr-right,BWSS_431_B-2-1-12-dep-right
BWSS_431_B-1-1-12-arr-right,BWSS_431_B-1-1-12-dep-left,BWSS_431_B-82-2-1-arr-right,BWSS_431_B-82-2-1-dep-right
BWSS_431_B-1-1-12-arr-right,BWSS_431_B-1-1-12-dep-left,BWSS_431_B-2-1-12-arr-right,BWSS_431_B-2-1-12-dep-left
BWSS_431_B-2-1-12-arr-left,BWSS_431_B-2-1-12-dep-left,BWSS_431_B-1-1-12-arr-left,BWSS_431_B-1-1-12-dep-left
BWSS_431_B-2-1-12-arr-left,BWSS_431_B-2-1-12-dep-left,BWSS_431_B-2-1-12-arr-right,BWSS_431_B-2-1-12-dep-right
BWSS_431_B-2-1-12-arr-left,BWSS_431_B-2-1-12-dep-left,BWSS_431_B-82-2-1-arr-right,BWSS_431_B-82-2-1-dep-right
BWSS_431_B-2-1-12-arr-left,BWSS_431_B-2-1-12-dep-left,BWSS_431_B-2-1-12-arr-right,BWSS_431_B-2-1-12-dep-left
BWSS_431_B-1-1-12-arr-left,BWSS_431_B-1-1-12-dep-left,BWSS_431_B-2-1-12-arr-right,BWSS_431_B-2-1-12-dep-right
BWSS_431_B-1-1-12-arr-left,BWSS_431_B-1-1-12-dep-left,BWSS_431_B-82-2-1-arr-right,BWSS_431_B-82-2-1-dep-right
BWSS_431_B-1-1-12-arr-left,BWSS_431_B-1-1-12-dep-left,BWSS_431_B-2-1-12-arr-right,BWSS_431_B-2-1-12-dep-left
BWSS_431_B-2-1-12-arr-right,BWSS_431_B-2-1-12-dep-right,BWSS_431_B-82-2-1-arr-right,BWSS_431_B-82-2-1-dep-right
BWSS_431_B-2-1-12-arr-right,BWSS_431_B-2-1-12-dep-right,BWSS_431_B-2-1-12-arr-right,BWSS_431_B-2-1-12-dep-left
BWSS_431_B-82-2-1-arr-right,BWSS_431_B-82-2-1-dep-right,BWSS_431_B-2-1-12-arr-right,BWSS_431_B-2-1-12-dep-left
BWSS_432_B-2-1-12-arr-right,BWSS_432_B-2-1-12-dep-right,BWSS_432_B-2-1-12-arr-right,BWSS_432_B-2-1-12-dep-left
BWSS_432_B-2-1-12-arr-right,BWSS_432_B-2-1-12-dep-right,BWSS_432_B-82-1-1-arr-right,BWSS_432_B-82-1-1-dep-right
BWSS_432_B-2-1-12-arr-right,BWSS_432_B-2-1-12-dep-right,BWSS_432_B-1-1-12-arr-right,BWSS_432_B-1-1-12-dep-left
BWSS_432_B-2-1-12-arr-right,BWSS_432_B-2-1-12-dep-right,BWSS_432_B-2-1-12-arr-left,BWSS_432_B-2-1-12-dep-left
BWSS_432_B-2-1-12-arr-right,BWSS_432_B-2-1-12-dep-right,BWSS_432_B-1-1-12-arr-right,BWSS_432_B-1-1-12-dep-right
BWSS_432_B-2-1-12-arr-right,BWSS_432_B-2-1-12-dep-right,BWSS_432_B-1-1-12-arr-left,BWSS_432_B-1-1-12-dep-left
BWSS_432_B-2-1-12-arr-right,BWSS_432_B-2-1-12-dep-right,BWSS_432_B-82-2-1-arr-right,BWSS_432_B-82-2-1-dep-right
BWSS_432_B-2-1-12-arr-right,BWSS_432_B-2-1-12-dep-left,BWSS_432_B-82-1-1-arr-right,BWSS_432_B-82-1-1-dep-right
BWSS_432_B-2-1-12-arr-right,BWSS_432_B-2-1-12-dep-left,BWSS_432_B-1-1-12-arr-right,BWSS_432_B-1-1-12-dep-left
BWSS_432_B-2-1-12-arr-right,BWSS_432_B-2-1-12-dep-left,BWSS_432_B-2-1-12-arr-left,BWSS_432_B-2-1-12-dep-left
BWSS_432_B-2-1-12-arr-right,BWSS_432_B-2-1-12-dep-left,BWSS_432_B-1-1-12-arr-right,BWSS_432_B-1-1-12-dep-right
BWSS_432_B-2-1-12-arr-right,BWSS_432_B-2-1-12-dep-left,BWSS_432_B-1-1-12-arr-left,BWSS_432_B-1-1-12-dep-left
BWSS_432_B-2-1-12-arr-right,BWSS_432_B-2-1-12-dep-left,BWSS_432_B-82-2-1-arr-right,BWSS_432_B-82-2-1-dep-right
