Model;iteration;len lambda;lambda not 0;len L;L not 0;norm;step;objective;gap;obj wo L; penalty;c_k
BBKS_BWT;0;467;467;467;207;207.0;0;407.0;0.0;0.0;407.0;2
BBKS_BWT;1;467;467;467;24;24.0;72.46759703973092;5867.222328953537;0.02341871219727553;4079.9999999999955;1787.2223289535416;2
BBKS_BWT;2;467;467;467;18;18.0;170.0144970548844;9126.677693703077;0.07639003951461114;4726.000000000002;4400.677693703075;2
BBKS_BWT;3;467;467;467;18;18.0;-135.47571112121418;6688.114893521223;0.04022155528966833;4726.000000000004;1962.11489352122;2
BBKS_BWT;4;467;467;467;9;9.0;135.47571112121406;21847.152847760794;0.5833716586690081;7453.999999999991;14393.152847760803;2
BBKS_BWT;5;467;458;467;9;9.0;-3097.7236786996987;7432.999999999999;0.0897349656935301;7432.999999999999;0.0;2
BBKS_BWT;6;467;467;467;8;8.0;105.42139858047793;17122.08307508205;0.46789918316790746;7844.999999999991;9277.083075082059;2
BBKS_BWT;7;467;459;467;8;8.0;-2303.671695367475;7844.999999999991;0.08823736640014986;7844.999999999991;0.0;2
BBKS_BWT;8;467;467;467;8;8.0;15.59907340303971;9217.718459467485;0.07534527713437253;7844.999999999991;1372.7184594674945;2
BBKS_BWT;9;467;467;467;8;8.0;-327.5805414638339;-18361.44331710672;0.03708510415093199;7844.999999999996;-26206.443317106718;2
BBKS_BWT;10;467;467;467;8;8.0;6567.209902679718;559553.0281187084;0.983708425221731;7845.000000000116;551708.0281187083;2
BBKS_BWT;11;467;467;467;8;8.0;-137911.40795627405;-11025067.636501925;6.920592463519762e-05;7844.999999998137;-11032912.636501923;2
BBKS_BWT;12;467;467;467;8;8.0;2758243.7581988843;231700383.08499986;0.9999606311670537;7845.0;231692538.08499986;2
BBKS_BWT;13;467;467;467;8;8.0;-57923118.92217656;-4633841668.774125;1.6465819348862253e-07;7845.0;-4633849513.774125;2
BBKS_BWT;14;467;467;467;8;8.0;1158462394.0426047;97310849006.97511;0.9999999064734174;7845.000030517578;97310841161.97508;2
BBKS_BWT;15;467;467;467;8;8.0;-24327710274.894707;-1946216814146.5764;3.920383863055488e-10;7845.0;-1946216821991.5764;2
BBKS_BWT;16;467;467;467;6;6.0;486554205513.49316;30652914956166.863;0.9999999997030756;8770.0;30652914947396.863;2
BBKS_BWT;17;467;461;467;6;6.0;-10217638316086.49;8647.998336183557;0.09042738301044995;8647.998336183557;0.0;2
BBKS_BWT;18;467;467;467;6;6.0;-246.8673475238023;-6169.042162449041;0.12822363304673803;8642.998688979098;-14812.040851428139;2
BBKS_BWT;19;467;467;467;2;2.0;4692.146152020397;107868.86723373283;0.9151904751756813;9578.998839760156;98289.86839397268;2
BBKS_BWT;20;467;465;467;8;2.000000000554736;-99961.47094012068;9578.998880331705;0.09736635674861614;9578.998880357583;-2.587913813878038e-08;2
BBKS_BWT;21;467;465;467;4;4.0;-1671.602586255906;9030.999664701036;0.04655471328959137;9026.999665038355;3.999999662680399;2
BBKS_BWT;22;467;463;467;4;4.0;-561.801685544443;9026.999665038356;0.045776820522317706;9026.999665038356;0.0;2
BBKS_BWT;23;467;467;467;4;4.0;-559.8016857131033;-13365.067763485777;0.03150135789825216;9026.999665038356;-22392.067428524133;2
BBKS_BWT;24;467;467;467;0;0.0;10636.232028548962;9871.000193529151;0.07174630179660166;9871.000193529151;0.0;2
