Model;iteration;len lambda;lambda not 0;len L;L not 0;norm;step;objective;gap;obj wo L; penalty;c_k
BBUP_W;0;590;590;590;455;455.0;0;897.0;0.0;0.0;897.0;2
BBUP_W;1;590;590;590;38;38.0;51.88300782290166;10761.554297270077;0.0469213885334549;8714.999999999814;2046.554297270262;2
BBUP_W;2;590;590;590;21;21.0;102.04368328631847;13045.460513293445;0.12311717870546693;9771.999999999822;3273.460513293622;2
BBUP_W;3;590;590;590;19;19.0;-32.86440319841114;12115.18347030525;0.08019877548609389;9777.999999999878;2337.1834703053723;2
BBUP_W;4;590;590;590;18;18.0;61.60008520051346;13169.922716003615;0.11247492761853398;9845.999999999813;3323.922716003803;2
BBUP_W;5;590;590;590;18;18.0;-52.17093736594305;12226.84584341667;0.08165825712489201;9841.99999999984;2384.84584341683;2
BBUP_W;6;590;590;590;14;14.0;52.61538181038426;21225.648899234253;0.40062694916504327;11267.999999999765;9957.648899234488;2
BBUP_W;7;590;576;590;14;14.0;-1217.8949456463035;10833.999999999956;0.053535167066625644;10833.999999999956;0.0;2
BBUP_W;8;590;590;590;8;8.0;266.62632567288165;35600.11665921339;0.6423045429345626;12136.999999999804;23463.116659213585;2
BBUP_W;9;590;582;590;8;8.0;-5724.933094875815;12102.999999999975;0.0533751962323114;12102.999999999975;0.0;2
BBUP_W;10;590;590;590;7;7.0;149.34606992753834;23716.647384420314;0.463017469769288;12216.999999999862;11499.647384420452;2
BBUP_W;11;590;583;590;7;7.0;-3147.50374420291;12120.999999999905;0.052223413909710366;12120.999999999905;0.0;2
BBUP_W;12;590;590;590;6;6.0;165.53836563149213;23510.532131678272;0.45803013183050956;12584.999999999793;10925.53213167848;2
BBUP_W;13;590;584;590;6;6.0;-3603.382617322715;12512.999999999913;0.04834971629502252;12512.999999999913;0.0;2
BBUP_W;14;590;590;590;6;6.0;62.46142657007173;16634.454153624632;0.23399951195730564;12511.999999999898;4122.454153624733;2
BBUP_W;15;590;590;590;6;6.0;-1311.3566246381681;-66171.39747829006;0.009097586312835798;12510.00000000003;-78681.39747829009;2
BBUP_W;16;590;590;590;6;6.0;26290.593919333394;1669007.8011977067;0.9923650436245134;12509.999999993015;1656497.8011977137;2
BBUP_W;17;590;590;590;6;6.0;-552102.4723059988;-33113638.338359885;4.356925010285507e-05;12510.000000044703;-33126148.33835993;2
BBUP_W;18;590;590;590;6;5.999999999999898;11042112.907546531;695665810.559711;0.9999816837340162;12507.00001180172;695653303.5596992;2
BBUP_W;19;590;584;590;6;6.0;-231884370.05848104;12396.99999999989;0.03944502702263411;12396.99999999989;0.0;2
BBUP_W;20;590;590;590;6;6.0;101.12809323674567;12993.768559420372;0.05020747266095248;12386.999999999898;606.768559420474;2
BBUP_W;21;590;590;590;6;6.0;-97.79475990341477;6533.314405795077;0.07239816892634054;12380.999999999978;-5847.6855942049015;2
BBUP_W;22;590;590;590;4;4.0;2055.6899579716837;99744.90108795163;0.8722549116494029;13193.0000000008;86551.90108795083;2
BBUP_W;23;590;586;590;4;4.0;-43522.25840412075;13094.000000000462;0.08141133343518828;13094.000000000462;0.0;2
BBUP_W;24;590;590;590;4;4.0;-196.80786014516707;5216.685594193453;0.20338584352896627;13089.000000000135;-7872.314405806683;2
BBUP_W;25;590;590;590;1;1.0;3741.8493427583376;53818.26416888994;0.7627465106055837;14625.999999999898;39192.26416889004;2
BBUP_W;26;590;589;590;1;1.0;-82235.75977835961;14625.999999999896;0.14275946943807868;14625.999999999896;0.0;2
BBUP_W;27;590;590;590;1;1.0;-3851.231440579537;-23886.314405795467;0.08741407169514358;14625.999999999902;-38512.31440579537;2
BBUP_W;28;590;590;590;0;0.0;73173.39737101119;15108.999999999942;0.15427890661201923;15108.999999999942;0.0;2
