Model;iteration;len lambda;lambda not 0;len L;L not 0;norm;step;objective;gap;obj wo L; penalty;c_k
BGB_BWES;0;1137;1137;1137;749;749.0;0;1463.0;0.0;0.0;1463.0;2
BGB_BWES;1;1137;1137;1137;127;127.0;57.80732924452137;20760.530814054426;0.12520203411399952;13170.000000000202;7590.530814054224;2
BGB_BWES;2;1137;1137;1137;75;75.0;37.02856674045399;22947.69219887318;0.15117524573772648;15690.000000000022;7257.692198873159;2
BGB_BWES;3;1137;1137;1137;68;68.0;4.377402752001944;22705.50431411445;0.1370574510876684;15827.000000000004;6878.504314114445;2
BGB_BWES;4;1137;1137;1137;68;68.0;11.951190822317798;23514.185290032066;0.15392419450322634;15822.999999999995;7691.185290032072;2
BGB_BWES;5;1137;1137;1137;68;68.0;-11.833543763494484;14594.694554938407;0.023912799180988546;15755.000000000215;-1160.3054450618067;2
BGB_BWES;6;1137;1137;1137;36;36.0;250.50441903337784;121042.58823100915;0.8071092138625346;22458.00000000067;98584.58823100849;2
BGB_BWES;7;1137;1101;1137;36;36.0;-5440.596857163106;22278.999999999956;0.1269011510363805;22278.999999999956;0.0;2
BGB_BWES;8;1137;1137;1137;27;27.0;46.269155670738755;37501.939234209254;0.37708587214043954;23759.999999999847;13741.939234209407;2
BGB_BWES;9;1137;1110;1137;27;27.0;-1065.932920898963;23438.999999999636;0.12215145960079217;23438.999999999636;0.0;2
BGB_BWES;10;1137;1137;1137;27;27.0;-24.233718364917202;16455.896041472333;0.14665668881858682;22998.99999999998;-6543.103958527648;2
BGB_BWES;11;1137;1137;1137;25;25.0;493.03324152599413;153362.71182842055;0.8467141414210937;23837.000000001528;129525.71182841902;2
BGB_BWES;12;1137;1112;1137;25;25.0;-10420.069362107783;23425.99999999995;0.08679354512202853;23425.99999999995;0.0;2
BGB_BWES;13;1137;1137;1137;25;25.0;-25.13241583413561;17142.896041466138;0.11768713272868037;23426.000000000044;-6283.103958533904;2
BGB_BWES;14;1137;1137;1137;17;17.0;477.5159008485693;109304.96276688093;0.7864000880573162;24282.000000001543;85022.96276687938;2
BGB_BWES;15;1137;1120;1137;17;17.0;-10140.366819389137;24119.999999999705;0.08788796152979254;24119.999999999705;0.0;2
BGB_BWES;16;1137;1137;1137;17;17.0;-118.60649387370016;3956.896041470814;0.5328370148749267;24119.999999999844;-20163.10395852903;2
BGB_BWES;17;1137;1137;1137;15;15.0;2253.523383600287;378469.3842129914;0.938188364219703;24428.999999999127;354040.38421299227;2
BGB_BWES;18;1137;1122;1137;15;15.0;-47381.00525478909;24372.99999999869;0.09394366696625522;24372.99999999869;0.0;2
BGB_BWES;19;1137;1137;1137;15;15.0;-168.1540263900582;-850.1039585107569;2.68089129834237;24372.999999997966;-25223.103958508724;2
BGB_BWES;20;1137;1137;1137;15;15.0;3194.9265014112016;526312.7687743347;0.9555526186915919;24372.999999994994;501939.7687743397;2
BGB_BWES;21;1137;1137;1137;15;15.0;-67093.45652963486;-10039656.479445212;0.00022654209182688088;24362.0000000149;-10064018.479445226;2
BGB_BWES;22;1137;1137;1137;15;15.0;1341702.4432329715;211341246.65399328;0.9998892653546564;24361.99999821186;211316884.65399507;2
BGB_BWES;23;1137;1137;1137;15;15.0;-28175751.30789216;-4226338334.1838384;1.7447603575334248e-05;24361.9999833107;-4226362696.1838217;2
BGB_BWES;24;1137;1137;1137;14;14.0;563514859.4704853;82836707675.34961;0.999999718026887;24499.999755859375;82836683175.34985;2
BGB_BWES;25;1137;1123;1137;14;14.0;-11833812080.500687;24139.000006640585;0.08460278676176246;24139.000006640585;0.0;2
BGB_BWES;26;1137;1137;1137;14;14.0;-146.73645779533294;3595.895915145139;0.5640266846925526;24139.000006491748;-20543.10409134661;2
BGB_BWES;27;1137;1137;1137;12;12.0;2787.992698132588;374602.6612241499;0.9375455111406271;24196.00000608829;350406.66121806164;2
BGB_BWES;28;1137;1125;1137;12;12.0;-58581.802737012775;24196.00000568691;0.08504239328008346;24196.00000568691;0.0;2
BGB_BWES;29;1137;1137;1137;12;12.0;-180.6925339356094;2512.895932653974;0.7953206671318858;24196.0000049271;-21683.104072273127;2
BGB_BWES;30;1137;1137;1137;12;12.0;3433.1581449032133;455689.77106154547;0.9486468669278807;24196.000006594404;431493.77105495107;2
BGB_BWES;31;1137;1137;1137;12;12.0;-72096.32104324536;-8627380.525182705;0.0002385904812198914;24178.000006740913;-8651558.525189446;2
BGB_BWES;32;1137;1137;1137;11;11.0;1441748.7283307966;166545329.81327537;0.9998595477449165;24329.000005960464;166521000.8132694;2
BGB_BWES;33;1137;1126;1137;11;11.0;-30276766.90335878;24287.000005601138;0.08905103508021424;24287.000005601138;0.0;2
BGB_BWES;34;1137;1137;1137;11;11.0;-213.66458245961522;783.8959358623601;2.6785534591905504;24287.00000642003;-23503.104070557667;2
BGB_BWES;35;1137;1137;1137;11;11.0;4059.6270665837988;491997.7709931129;0.952443922817317;24286.000007030845;467711.77098608203;2
BGB_BWES;36;1137;1137;1137;11;11.0;-85251.98658018903;-9353432.523814797;0.0002296290482095142;24286.000005993992;-9377718.523820791;2
BGB_BWES;37;1137;1137;1137;11;10.99999999999993;1704826.2488394312;196930529.5857566;0.9998812182362254;24272.00000742078;196906257.58574918;2
BGB_BWES;38;1137;1126;1137;11;11.0;-35801348.68017378;24272.00000502116;0.08795189088293658;24272.00000502116;0.0;2
BGB_BWES;39;1137;1126;1137;11;11.0;-210.93730962689204;24272.00000502116;0.08795189088293658;24272.00000502116;0.0;2
