Model;iteration;len lambda;lambda not 0;len L;L not 0;norm;step;objective;gap;obj wo L; penalty;c_k
BNB_BSNH_BSAL_BPHD;0;950;950;950;643;643.0;0;1235.0;0.0;0.0;1235.0;2
BNB_BSNH_BSAL_BPHD;1;950;950;950;97;97.0;58.29851322147307;17134.955782483088;0.12989944234426476;11294.00000000019;5840.9557824829;2
BNB_BSNH_BSAL_BPHD;2;950;950;950;67;67.0;58.618891097330014;20526.46608935992;0.18947199366849915;12561.00000000011;7965.466089359811;2
BNB_BSNH_BSAL_BPHD;3;950;950;950;46;46.0;-16.372957870338126;18407.044536629634;0.11856028696941234;13691.000000000244;4716.044536629389;2
BNB_BSNH_BSAL_BPHD;4;950;950;950;35;35.0;68.30119409017219;20673.59741885246;0.1366064951951148;14695.00000000016;5978.597418852299;2
BNB_BSNH_BSAL_BPHD;5;950;950;950;33;33.0;-39.750023894220895;19085.15534926598;0.112196457355854;14759.000000000246;4326.155349265735;2
BNB_BSNH_BSAL_BPHD;6;950;950;950;33;33.0;54.11010008712809;20615.788652141135;0.11915472370367156;14504.000000000173;6111.788652140962;2
BNB_BSNH_BSAL_BPHD;7;950;950;950;33;33.0;-38.65555463257822;6251.8223205152135;0.14011914528115377;14172.000000000147;-7920.177679484934;2
BNB_BSNH_BSAL_BPHD;8;950;950;950;17;17.0;831.8878594053564;171324.93817694593;0.8784977416301843;19842.000000000175;151482.93817694575;2
BNB_BSNH_BSAL_BPHD;9;950;933;950;17;17.0;-17805.525432499096;19805.0000000007;0.079418127836304;19805.0000000007;0.0;2
BNB_BSNH_BSAL_BPHD;10;950;950;950;15;15.0;20.349647141517114;23424.69177835086;0.13029987440526164;20067.00000000054;3357.691778350325;2
BNB_BSNH_BSAL_BPHD;11;950;935;950;15;15.0;-459.5626370196357;20042.000000000575;0.08083025646140726;20042.000000000575;0.0;2
BNB_BSNH_BSAL_BPHD;12;950;950;950;15;15.0;-8.53706657293078;18714.440014061056;0.08405274209742436;19995.000000000673;-1280.559985939617;2
BNB_BSNH_BSAL_BPHD;13;950;950;950;15;15.0;168.47093155233839;46448.14372019642;0.5518906410097127;19931.000000000207;26517.143720196214;2
BNB_BSNH_BSAL_BPHD;14;950;950;950;15;15.0;-3529.35622926571;-509472.43438985577;0.0029872015134632863;19931.000000000757;-529403.4343898565;2
BNB_BSNH_BSAL_BPHD;15;950;950;950;9;9.0;70593.38751874125;6692865.303721459;0.9968895730619192;21761.999999990687;6671103.303721468;2
BNB_BSNH_BSAL_BPHD;16;950;941;950;9;9.0;-1482863.851493501;21675.999999962318;0.08765454880988882;21675.999999962318;0.0;2
BNB_BSNH_BSAL_BPHD;17;950;950;950;9;9.0;-377.3395553908275;-12352.559985211037;0.1483093384847454;21607.99999996344;-33960.55998517448;2
BNB_BSNH_BSAL_BPHD;18;950;950;950;8;8.0;7184.562663536585;624171.3499599178;0.9665989155040401;22116.999999964493;602054.3499599533;2
BNB_BSNH_BSAL_BPHD;19;950;942;950;8;8.0;-151048.34448980357;22098.999999962547;0.09353364405645428;22098.999999962547;0.0;2
BNB_BSNH_BSAL_BPHD;20;950;950;950;8;8.0;-530.2569998147383;-20339.559985216853;0.10073964242534833;22080.9999999622;-42420.559985179054;2
BNB_BSNH_BSAL_BPHD;21;950;950;950;8;8.0;10079.382996480112;866646.1437050307;0.9759348147436487;22080.999999959837;844565.1437050708;2
BNB_BSNH_BSAL_BPHD;22;950;950;950;8;8.0;-211667.04292608178;-16911282.434086666;0.00012116171600815861;22080.999999877065;-16933363.434086543;2
BNB_BSNH_BSAL_BPHD;23;950;950;950;8;7.999999999999587;4232815.101521842;355576424.4998275;0.9999413459426485;22059.000010311604;355554365.4998172;2
BNB_BSNH_BSAL_BPHD;24;950;942;950;8;8.0;-88889111.63196129;22050.999999962318;0.09192326878614641;22050.999999962318;0.0;2
BNB_BSNH_BSAL_BPHD;25;950;942;950;8;8.0;-518.256999814681;22018.999999962318;0.09024024705950548;22018.999999962318;0.0;2
BNB_BSNH_BSAL_BPHD;26;950;950;950;8;8.0;-510.25699981468097;-18802.559985212087;0.10534039950780187;22017.99999996239;-40820.55998517448;2
BNB_BSNH_BSAL_BPHD;27;950;950;950;7;7.0;9695.13299647892;732907.2507418089;0.9715652970019449;22099.99999995972;710807.2507418492;2
BNB_BSNH_BSAL_BPHD;28;950;943;950;7;7.0;-203694.07964031582;22096.99999996511;0.09101981185735408;22096.99999996511;0.0;2
BNB_BSNH_BSAL_BPHD;29;950;950;950;7;7.0;-605.4365712175766;-20328.55998526826;0.09612092550655392;22051.999999962096;-42380.55998523036;2
BNB_BSNH_BSAL_BPHD;30;950;950;950;7;7.0;11516.151995991959;866385.1437061101;0.9758721624535894;22021.999999959487;844363.1437061506;2
BNB_BSNH_BSAL_BPHD;31;950;950;950;7;7.0;-241830.620487259;-16906130.43410825;0.00011327252011193777;22012.99999988079;-16928143.43410813;2
BNB_BSNH_BSAL_BPHD;32;950;950;950;7;7.0;4836030.973173986;355468254.50029033;0.9999411930608968;22013.00000154972;355446241.5002888;2
BNB_BSNH_BSAL_BPHD;33;950;950;950;7;7.0;-101556650.43665418;-7108943517.565772;5.528004279436778e-07;22013.000020980835;-7108965530.565793;2
BNB_BSNH_BSAL_BPHD;34;950;950;950;7;7.0;2031132427.2965066;149288253384.26486;0.999999859975621;22012.999633789062;149288231371.26523;2
BNB_BSNH_BSAL_BPHD;35;950;950;950;7;7.0;-42653780973.226524;-2985764646112.8496;1.4997981740080396e-06;22013.0068359375;-2985764668125.8564;2
BNB_BSNH_BSAL_BPHD;36;950;950;950;7;7.0;853075618883.0919;62701058007884.805;0.9999999996666011;22012.5703125;62701057985872.234;2
BNB_BSNH_BSAL_BPHD;37;950;950;950;7;7.0;-17914587996544.81;-1254021159736125.5;3.570948117767233e-09;22011.25;-1254021159758136.8;2
BNB_BSNH_BSAL_BPHD;38;950;950;950;7;7.0;358291759930315.3;2.6334444354898108e+16;0.9999999999992297;21968.0;2.633444435487614e+16;2
BNB_BSNH_BSAL_BPHD;39;950;950;950;7;7.0;-7524126958536609.0;-5.2668888709753926e+17;8.502567853060978e-12;23360.0;-5.266888870975626e+17;2
