Model;iteration;len lambda;lambda not 0;len L;L not 0;norm;step;objective;gap;obj wo L; penalty;c_k
BBUP_O;0;623;623;623;482;482.0;0;946.0;0.0;0.0;946.0;2
BBUP_O;1;623;623;623;36;36.0;50.993382270145695;10875.761761725267;0.008455526668900116;8968.000000000022;1907.7617617252458;2
BBUP_O;2;623;623;623;14;14.0;131.09129807665806;13092.1855248553;0.06550417123249276;10515.000000000047;2577.1855248552524;2
BBUP_O;3;623;623;623;12;12.0;20.459943178544563;13260.535482304222;0.06656768264032717;10806.000000000042;2454.53548230418;2
BBUP_O;4;623;623;623;12;12.0;-4.188392533184924;13182.274771905944;0.06325017262861178;10777.999999999984;2404.2747719059607;2
BBUP_O;5;623;623;623;12;12.0;8.855059199861293;14351.142586287639;0.09856854843707474;10777.999999999987;3573.1425862876513;2
BBUP_O;6;623;623;623;12;12.0;-185.95624319708773;-10195.081515727938;0.03433027970007026;10777.99999999999;-20973.08151572793;2
BBUP_O;7;623;623;623;5;5.0;3905.0811071388416;219291.67692775006;0.9393045988364284;13251.000000000407;206040.67692774965;2
BBUP_O;8;623;618;623;5;5.0;-82422.50872025799;13250.00000000012;0.07939622641544754;13250.00000000012;0.0;2
BBUP_O;9;623;623;623;5;5.0;-5.837949158003175;12903.102542099923;0.0772682381428553;13195.000000000082;-291.89745790015877;2
BBUP_O;10;623;623;623;0;0.0;132.9210340020756;14578.000000000085;0.08764245931962697;14578.000000000085;0.0;2
