Model;iteration;len lambda;lambda not 0;len L;L not 0;norm;step;objective;gap;obj wo L; penalty;c_k
BGB_BWES;0;1137;1137;1137;749;749.0;0;1463.0;0.0;0.0;1463.0;2
BGB_BWES;1;1137;1137;1137;71;71.0;57.80732924452137;18893.320376361207;0.038746511197083326;14650.000000000187;4243.32037636102;2
BGB_BWES;2;1137;1137;1137;39;39.0;118.83167396371962;24141.92112512135;0.11632906173032127;17175.999999999956;6965.921125121395;2
BGB_BWES;3;1137;1137;1137;37;37.0;-52.82442682297924;21732.139326254746;0.07115747079372868;17078.000000000062;4654.139326254684;2
BGB_BWES;4;1137;1137;1137;34;34.0;74.57867436856799;24276.370525630155;0.10443455743863726;17463.99999999995;6812.3705256302055;2
BGB_BWES;5;1137;1137;1137;32;32.0;-68.50151315040591;21701.535603309676;0.06340683275060992;17482.000000000116;4219.53560330956;2
BGB_BWES;6;1137;1137;1137;26;26.0;88.14432492272363;24122.937625679773;0.08401346636423275;18402.99999999994;5719.937625679832;2
BGB_BWES;7;1137;1137;1137;26;26.0;-77.77637104665533;21958.751978466822;0.057906667470145605;18261.000000000025;3697.751978466796;2
BGB_BWES;8;1137;1137;1137;14;14.0;88.69944796972553;38289.35066804998;0.38907355076668065;22638.99999999936;15650.350668050616;2
BGB_BWES;9;1137;1123;1137;14;14.0;-2168.2151237109606;22449.999999999596;0.09069018041905239;22449.999999999596;0.0;2
BGB_BWES;10;1137;1137;1137;6;6.0;94.54925743909396;31518.25099097955;0.25208418300660135;25277.999999999352;6240.250990980201;2
BGB_BWES;11;1137;1131;1137;6;6.0;-2802.1353963020993;25229.999999999523;0.08973510996207144;25229.999999999523;0.0;2
BGB_BWES;12;1137;1137;1137;6;6.0;-706.0517326420899;-17184.103958525593;0.1292310435284922;25178.999999999804;-42363.1039585254;2
BGB_BWES;13;1137;1137;1137;2;2.0;13431.982920199616;307871.5895915377;0.9232439731404835;26488.99999998801;281382.5895915497;2
BGB_BWES;14;1137;1135;1137;2;2.0;-284759.74478946446;25905.99999998799;0.09842796187201473;25905.99999998799;0.0;2
BGB_BWES;15;1137;1137;1137;2;2.0;-2794.155197914737;-30007.103958306645;0.08421681722374458;25875.999999988097;-55883.10395829474;2
BGB_BWES;16;1137;1137;1137;1;1.0;53118.9487603799;582015.8843850199;0.9594174054769802;25648.99999998836;556366.8843850315;2
BGB_BWES;17;1137;1136;1137;1;1.0;-1117808.0791658934;25530.999999988635;0.08005846676139995;25530.999999988635;0.0;2
BGB_BWES;18;1137;1137;1137;2;1.0;-4838.310395830762;-22874.116216982642;0.08848352345665009;25508.987741324978;-48383.10395830762;2
BGB_BWES;19;1137;1137;1137;1;1.0;91971.92203811179;988817.0384609104;0.9761017311468795;25508.99999998836;963308.0384609221;2
BGB_BWES;20;1137;1137;1137;1;1.0;-1931410.3873176745;-19288594.873176757;0.00010494836298357759;25508.999999988824;-19314103.873176746;2
BGB_BWES;21;1137;1137;1137;0;0.0;38623413.43595766;25608.99999996241;0.07751872076009625;25608.99999996241;0.0;2
