Model;iteration;len lambda;lambda not 0;len L;L not 0;norm;step;objective;gap;obj wo L; penalty;c_k
BNB_BSNH_BSAL_BPHD;0;950;950;950;643;643.0;0;1235.0;0.0;0.0;1235.0;2
BNB_BSNH_BSAL_BPHD;1;950;950;950;48;48.0;58.29851322147307;15017.328634630909;0.007204613784396495;12123.000000000202;2894.3286346307073;2
BNB_BSNH_BSAL_BPHD;2;950;950;950;25;25.0;206.69347358636188;21244.799670196135;0.07190906789957531;14570.00000000026;6674.799670195875;2
BNB_BSNH_BSAL_BPHD;3;950;950;950;23;23.0;-101.34621355940325;18437.852784714174;0.029919935310844886;14628.000000000244;3809.8527847139303;2
BNB_BSNH_BSAL_BPHD;4;950;950;950;18;18.0;133.9234100860365;21409.245300020768;0.05584447816097018;16017.000000000342;5392.245300020427;2
BNB_BSNH_BSAL_BPHD;5;950;950;950;18;18.0;-159.03036659079712;18532.698701386274;0.02535451749684364;16003.000000000195;2529.6987013860803;2
BNB_BSNH_BSAL_BPHD;6;950;950;950;2;2.0;160.58592214636883;25462.967920707466;0.17601756082228176;21649.00000000001;3813.9679207074564;2
BNB_BSNH_BSAL_BPHD;7;950;948;950;2;2.0;-5484.995920003872;21628.00000000001;0.04651377843537769;21628.00000000001;0.0;2
BNB_BSNH_BSAL_BPHD;8;950;950;950;2;2.0;-1650.027999296417;-11372.55998592868;0.08075125074107574;21627.999999999658;-33000.55998592834;2
BNB_BSNH_BSAL_BPHD;9;950;950;950;2;2.0;31350.531986632275;678339.1437199889;0.9689167830559514;21628.000000007218;656711.1437199817;2
BNB_BSNH_BSAL_BPHD;10;950;950;950;2;2.0;-658361.1717192853;-13145595.43438571;8.976390650587084e-05;21627.999999996275;-13167223.434385706;2
BNB_BSNH_BSAL_BPHD;11;950;950;950;2;2.0;13165573.406386413;276497019.50611925;0.9999237668868602;21628.000003874302;276475391.5061154;2
BNB_BSNH_BSAL_BPHD;12;950;950;950;2;2.0;-276477041.53411853;-5529519202.682314;4.3620142539222874e-06;21628.00005722046;-5529540830.682371;2
BNB_BSNH_BSAL_BPHD;13;950;950;950;2;1.9999999999999978;5529539180.654315;116120342762.71323;0.9999998185977654;21619.00079345703;116120321143.71243;2
BNB_BSNH_BSAL_BPHD;14;950;948;950;2;2.0;-116120322784.74135;21586.00000000001;0.04062818493469604;21586.00000000001;0.0;2
BNB_BSNH_BSAL_BPHD;15;950;948;950;2;2.0;-1608.027999296417;21566.000000000062;0.0436013479215768;21566.000000000062;0.0;2
BNB_BSNH_BSAL_BPHD;16;950;950;950;2;2.0;-1588.027999296468;-10194.559985929636;0.08393827684832934;21565.999999999724;-31760.559985929358;2
BNB_BSNH_BSAL_BPHD;17;950;950;950;0;0.0;30172.53198663323;22058.999999999505;0.04440538089491495;22058.999999999505;0.0;2
