Model;comment;filename;date;time;timeout;gap in %;objective;fixed integer values ratio;solvable;relaxed;feasibility check;first_sol_time;first_sol_obj;first_sol_gap;plateau_time;plateau_time_obj;plateau_time_gap
BBER_BBU;not enough variables fixed;BBER_BBU_subMBP_202403282027;28.03.24 20:27;7.88E-06;False;-;-;0.2;False;False;False;-1;-1;-1;-1;-1;-1
BBKS_BWT; ;BBKS_BWT_subMBP_202403282027;28.03.24 20:27;65.83483042;False;0;9871;0.876126126;True;False;True;3;10655;13.5;8;9871;4.2
BBOS_BWIN_BTG; ;BBOS_BWIN_BTG_subMBP_202403282027;28.03.24 20:27;0.674508042;False;0;10220;0.74;True;False;True;0;10633;5.88;0;10220;1.04
BGAS_BKW; ;BGAS_BKW_subMBP_202403282027;28.03.24 20:27;0.453853875;False;0;4914;0.52;True;False;True;0;5063;10.3;0;4914;7.61
BNB_BSNH_BSAL_BPHD; ;BNB_BSNH_BSAL_BPHD_subMBP_202403282027;28.03.24 20:27;3485.48705;False;7.1;23427.99;0.616766467;True;False;False;44;23530;9.92;2270;23427.99;7.14
BBUP_O; ;BBUP_O_subMBP_202403282027;28.03.24 20:27;0.259299125;False;-;-;0.647058824;False;False;False;-1;-1;-1;-1;-1;-1
BBUP_W; ;BBUP_W_subMBP_202403282027;28.03.24 20:27;0.498136625;False;-;-;0.525423729;False;False;False;-1;-1;-1;-1;-1;-1
BPKW_BKRW_BSNF_O; ;BPKW_BKRW_BSNF_O_subMBP_202403282027;28.03.24 20:27;195.5714332;False;0;9793;0.515151515;True;False;True;0;10753;14.6;33;9793;3.22
BWKS_medium_september; ;BWKS_medium_september_subMBP_202403282027;28.03.24 20:27;1211.126439;False;1.53;8776;0.943030303;True;False;False;0;11319;27.9;10;8776;3.71
BGB_BWES; ;BGB_BWES_subMBP_202403282027;28.03.24 20:27;3169.972897;False;9.27;27139;0.626556017;True;False;True;363;29342;16.3;1952;27139;9.33
