
Gurobi 10.0.1 (mac64[arm]) logging started Sun Mar 31 09:35:34 2024

Set parameter LogFile to value "/Users/deniserings/Documents/zib/s-bahn-data/scripts/DeniseMA/processed/BNB_BSNH_BSAL_BPHD/RENS/BNB_BSNH_BSAL_BPHD_subMBP_random4_0.9_202403301837.log"
Gurobi Optimizer version 10.0.1 build v10.0.1rc0 (mac64[arm])

CPU model: Apple M2
Thread count: 8 physical cores, 8 logical processors, using up to 8 threads

Optimize a model with 21339 rows, 8010 columns and 78947 nonzeros
Model fingerprint: 0x15e42aff
Variable types: 2735 continuous, 5275 integer (1117 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+02]
  Objective range  [1e+00, 4e+02]
  Bounds range     [1e+00, 2e+02]
  RHS range        [1e+00, 5e+02]
Presolve removed 10203 rows and 2837 columns
Presolve time: 2.77s
Presolved: 11136 rows, 5173 columns, 45538 nonzeros
Variable types: 1398 continuous, 3775 integer (3775 binary)

Root relaxation: objective 2.090300e+04, 3170 iterations, 0.04 seconds (0.04 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 20903.0000    0  223          - 20903.0000      -     -    3s
     0     0 20955.3979    0  632          - 20955.3979      -     -    3s
     0     0 20955.3979    0  585          - 20955.3979      -     -    3s
     0     0 20958.4426    0  702          - 20958.4426      -     -    3s
     0     0 20958.4426    0  713          - 20958.4426      -     -    3s
     0     0 20966.1625    0  635          - 20966.1625      -     -    3s
     0     0 20966.1625    0  542          - 20966.1625      -     -    3s
     0     0 20966.2048    0  698          - 20966.2048      -     -    4s
     0     0 20966.2895    0  736          - 20966.2895      -     -    4s
     0     0 20966.3054    0  637          - 20966.3054      -     -    4s
     0     0 20966.3054    0  685          - 20966.3054      -     -    4s
     0     0 20966.3054    0  261          - 20966.3054      -     -    4s
     3     4 21057.0000    2   26          - 21057.0000      -  4338    6s
  2175  1775 21145.4212   15  132          - 21145.4212      -  42.1   12s
  4034  3248 21145.9201   31  167          - 21145.4212      -  36.9   15s
 10672  9019 21160.7080   45  178          - 21145.4212      -  30.3   20s
 16551 16553 21148.1355   46  220          - 21145.4212      -  31.6   31s
H24520 16526                    26743.000000 21145.4212  20.9%  34.6   31s
H29844 18515                    26720.000000 21202.6262  20.6%  32.6   34s
 29844 18764 21653.4105   55  294 26720.0000 21202.6262  20.6%  32.6   35s
H35383 22117                    26641.000000 21202.6262  20.4%  33.2   38s
 36871 22936 21312.6262   31   59 26641.0000 21218.5824  20.4%  33.0   40s
H42543 25358                    26631.000000 21230.6262  20.3%  31.0   42s
 42758 29250 21360.5000   48  270 26631.0000 21230.6262  20.3%  31.3   47s
 47892 18120 21250.0000   26  161 26631.0000 21250.0000  20.2%  33.5   76s
 48636 18564 21286.0340   67  306 26631.0000 21250.0000  20.2%  33.8   80s
H49976 19034                    23430.000000 21250.0000  9.30%  34.3   84s
 49976 19303 21290.0000   29   39 23430.0000 21250.0000  9.30%  34.5   85s
 59562 23321 21407.8861   41  307 23430.0000 21250.0000  9.30%  32.2   90s
 62250 24054 21464.1166   77  287 23430.0000 21250.0000  9.30%  33.7   95s
 64250 24942 21250.0000   37  582 23430.0000 21250.0000  9.30%  35.1  100s
 66616 25451 22668.2483   67  329 23430.0000 21250.0000  9.30%  36.6  105s
 68280 26395 21462.7166   50  321 23430.0000 21250.0000  9.30%  37.9  110s
 76340 29046 21268.0000   27  139 23430.0000 21268.0000  9.23%  36.5  130s
 79967 29268 21648.2759   42   28 23430.0000 21288.3321  9.14%  36.4  135s
 81097 30542 21540.2652   48  334 23430.0000 21300.3900  9.09%  36.8  140s
 83189 30476 21538.0084   49  432 23430.0000 21300.3900  9.09%  38.4  146s
 84798 30805 infeasible   62      23430.0000 21300.3900  9.09%  39.6  150s
 86856 31642 infeasible   37      23430.0000 21300.3900  9.09%  41.4  157s
 88483 32314 infeasible   42      23430.0000 21300.3900  9.09%  42.9  162s
 89807 32925 infeasible   57      23430.0000 21300.4245  9.09%  43.8  167s
 90608 33624 21317.5300   37  337 23430.0000 21300.4275  9.09%  44.3  170s
 95484 33156 21390.8583   35   84 23430.0000 21347.4445  8.89%  45.6  175s
 101530 32275 21619.4390   38   65 23430.0000 21403.7851  8.65%  45.0  180s
 107025 31125 21639.2113   37   31 23430.0000 21421.6446  8.57%  44.5  185s
 108440 32446 21588.2147   59  234 23430.0000 21424.6314  8.56%  45.0  193s
 110667 32136 21992.6837   55  371 23430.0000 21424.6620  8.56%  46.4  196s
 113234 32777 21611.9508   45  443 23430.0000 21424.6989  8.56%  47.6  202s
 113616 33200 22773.6715   58  235 23430.0000 21424.7122  8.56%  47.8  205s
 116137 33783 22682.1187   93  220 23430.0000 21424.7316  8.56%  48.6  210s
 116995 34383 22144.2220   74  198 23430.0000 21424.7364  8.56%  49.3  215s
 119759 34748 22827.6743   43  447 23430.0000 21424.9461  8.56%  50.5  222s
 120761 35409 22342.4833   53  229 23430.0000 21425.1095  8.56%  51.1  227s
 122716 36543 22871.4694   63  200 23430.0000 21425.4463  8.56%  51.8  231s
H123899 36543                    23415.000000 21425.7571  8.50%  52.2  231s
 128274 35459 21462.7670   40   55 23415.0000 21440.0991  8.43%  51.6  235s
 134305 33697 21529.4519   52   33 23415.0000 21459.9651  8.35%  50.8  240s
 141051 31858 infeasible   40      23415.0000 21481.6758  8.26%  50.0  245s
 144240 32732 21712.3422   49  552 23415.0000 21496.4509  8.19%  50.0  254s
 145421 34457 21783.3282   47  388 23415.0000 21496.8212  8.19%  50.7  259s
 147976 34804 21677.4238   50  345 23415.0000 21497.6094  8.19%  51.4  262s
 149321 35742 21709.5121   42  570 23415.0000 21497.8210  8.19%  52.0  266s
 151480 36976 infeasible  122      23415.0000 21498.0748  8.19%  52.7  272s
 152513 38109 21769.0187   62  361 23415.0000 21498.3955  8.19%  53.1  276s
 154189 39065 22260.9379   72  304 23415.0000 21498.6857  8.18%  53.7  281s
 155643 40202 21602.4951   53  586 23415.0000 21498.8707  8.18%  54.3  286s
 157297 40641 22223.6398   71  171 23415.0000 21499.1651  8.18%  54.7  290s
 158720 41565 23003.0202   56  358 23415.0000 21499.4658  8.18%  55.3  295s
 159710 42546 21729.8073   47  397 23415.0000 21499.6721  8.18%  55.8  300s
 162517 43965 22623.9743   54  338 23415.0000 21500.2231  8.18%  56.7  307s
 163837 44400     cutoff   43      23415.0000 21500.5532  8.18%  57.3  310s
 171005 43981 21716.6352   43   21 23415.0000 21541.5492  8.00%  56.1  315s
 178019 43207     cutoff   45      23415.0000 21590.9775  7.79%  55.0  320s
 186321 41428     cutoff   43      23415.0000 21642.3777  7.57%  53.8  325s
 190028 42674 22676.1609   72  148 23415.0000 21672.8570  7.44%  53.4  333s
 192592 42942 22352.4261   50  362 23415.0000 21673.2532  7.44%  54.0  335s
 193405 43531     cutoff   83      23415.0000 21673.3506  7.44%  54.3  340s
 195419 45416 22107.5128   46  510 23415.0000 21673.9516  7.44%  54.8  347s
 197254 46291 22872.1182   57  211 23415.0000 21674.5376  7.43%  55.3  351s
 198679 47343 22220.6800   49  374 23415.0000 21675.5814  7.43%  55.6  356s
 200311 48471 22941.1801   55  239 23415.0000 21676.3617  7.43%  56.1  361s
 201917 49089 22188.4975   62  228 23415.0000 21677.4552  7.42%  56.4  365s
 203543 50142 21898.8388   42  507 23415.0000 21678.4708  7.42%  56.8  370s
 206015 51532 22172.9377   57  277 23415.0000 21680.4258  7.41%  57.3  376s
 206882 52140 21907.2928   46  420 23415.0000 21681.3254  7.40%  57.6  381s
 208565 53218 21849.8067   41  483 23415.0000 21683.1483  7.40%  57.9  386s
 210198 54258 infeasible   47      23415.0000 21684.2186  7.39%  58.4  391s
 211462 55083 22749.3960   64  241 23415.0000 21685.0153  7.39%  58.7  396s
 213712 56419 23220.5181   52  321 23415.0000 21686.1516  7.38%  59.0  400s
 218393 56403 22100.1841   41  465 23415.0000 21742.3421  7.14%  58.8  406s
 218889 57515 22801.1172   95  146 23415.0000 21742.9019  7.14%  59.0  410s
 221462 58428 22242.8060   53  310 23415.0000 21746.0878  7.13%  59.5  416s
 223998 59617 infeasible   75      23415.0000 21748.6266  7.12%  59.9  422s
 226070 60706 infeasible  106      23415.0000 21751.0000  7.11%  60.3  426s
 226901 61209 22839.3208   58  311 23415.0000 21752.1443  7.10%  60.6  431s
 228673 62142 22599.3295   58  402 23415.0000 21754.6366  7.09%  61.0  436s
 229959 63425 23255.7849   64  191 23415.0000 21755.4204  7.09%  61.3  440s
 231857 64171 infeasible   54      23415.0000 21757.6510  7.08%  61.5  445s
 234867 65729 21980.9060   47  541 23415.0000 21761.1753  7.06%  62.0  451s
 236765 66851 22309.5942   55  418 23415.0000 21765.5811  7.04%  62.2  456s
 238377 68044 21953.7422   55  446 23415.0000 21767.0000  7.04%  62.4  461s
 239777 68575 22316.4703   59  308 23415.0000 21768.9600  7.03%  62.7  465s
 241476 69623 22165.8086   50  359 23415.0000 21772.8218  7.01%  62.9  470s
 243355 71178 21944.1756   45  494 23415.0000 21776.3367  7.00%  63.3  476s
 244798 72356 22690.5849   71  166 23415.0000 21779.3911  6.99%  63.5  480s
 247065 73570 infeasible   64      23415.0000 21782.7422  6.97%  63.9  486s
 248784 74548 22626.0241   53  312 23415.0000 21783.6701  6.97%  64.1  490s
 250500 76204 21975.0267   48  328 23415.0000 21786.5885  6.95%  64.4  496s
 252980 77146 23343.7315   54  314 23415.0000 21791.5595  6.93%  64.6  502s
 254106 78376 22338.5548   51  272 23415.0000 21793.8928  6.92%  64.9  506s
 256728 79543 22711.2875   83  204 23415.0000 21799.0000  6.90%  65.1  510s
 258608 80364 22851.1468   70  209 23415.0000 21800.5212  6.90%  65.3  515s
 261105 81699 22925.1700   78  172 23415.0000 21809.6763  6.86%  65.7  521s
 262908 82837 22048.1311   42  566 23415.0000 21814.3163  6.84%  65.9  525s
 264907 84125 23241.0000   67  204 23415.0000 21816.7564  6.83%  66.1  530s
 267328 85575 22010.6908   40  521 23415.0000 21823.6529  6.80%  66.3  535s
 269464 86858 infeasible   45      23415.0000 21830.0000  6.77%  66.6  541s
 271129 87873 23183.2210   58  294 23415.0000 21831.8991  6.76%  66.9  545s
 273540 89860 22814.8778   59  245 23415.0000 21836.6509  6.74%  67.1  551s
 275433 90893     cutoff   83      23415.0000 21839.3250  6.73%  67.3  555s
 277997 92062 infeasible   54      23415.0000 21844.9204  6.71%  67.6  561s
 279071 92741 22218.2070   72  340 23415.0000 21847.3224  6.70%  67.8  565s
 281744 94945 22049.4375   44  401 23415.0000 21850.0000  6.68%  68.0  571s
 283918 96510 22264.3333   61  232 23415.0000 21850.0000  6.68%  68.2  576s
 286147 97861 21982.1100   42  489 23415.0000 21850.0000  6.68%  68.3  580s
 288345 98918 22720.6711   49  410 23415.0000 21850.0000  6.68%  68.4  585s
 291692 100769 22038.1124   45  523 23415.0000 21850.0000  6.68%  68.7  592s
 293666 102012 23099.2275   79  275 23415.0000 21850.0000  6.68%  68.8  597s
 294339 103157 22386.4576   50  435 23415.0000 21850.0000  6.68%  68.9  600s
