Model;comment;filename;date;time;timeout;gap in %;objective;fixed integer values ratio;solvable;relaxed;ratio;type;feasibility check;first_sol_time;first_sol_obj;first_sol_gap;plateau_time;plateau_time_obj;plateau_time_gap
BBOS_BWIN_BTG; ;BBOS_BWIN_BTG_subMBP_202403301837;30.03.24 18:37;39.629074;False;0;10220;0.74;True;False;0.9;random3;True;0;11273;11.2;0;10220;1.62
BBKS_BWT; ;BBKS_BWT_subMBP_202403301837;30.03.24 18:37;31791.90267;True;0.8;9868;0.876126126;True;False;0.6;random3;True;0;10658;14.5;288;9868;1.88
BBOS_BWIN_BTG; ;BBOS_BWIN_BTG_subMBP_202403301837;30.03.24 18:37;387.1889534;False;0;10215;0.74;True;False;0.6;random4;True;0;10990;8.94;0;10215;1.56
BGAS_BKW; ;BGAS_BKW_subMBP_202403301837;30.03.24 18:37;6.11367;False;0;4914;0.52;True;False;0.6;random4;True;0;5063;10.3;0;4914;5.19
BGAS_BKW; ;BGAS_BKW_subMBP_202403301837;30.03.24 18:37;0.52986825;False;0;4914;0.52;True;False;0.9;random0;True;0;5063;10.3;0;4914;7.61
BNB_BSNH_BSAL_BPHD; ;BNB_BSNH_BSAL_BPHD_subMBP_202403301837;30.03.24 18:37;32457.3669;True;8.35;23321;0.616766467;True;False;0.6;random3;True;5;25277;17.4;66;23321;9.34
BNB_BSNH_BSAL_BPHD; ;BNB_BSNH_BSAL_BPHD_subMBP_202403301837;30.03.24 18:37;18031.45365;True;6.33;23415;0.616766467;True;False;0.9;random4;True;31;26743;20.9;231;23415;8.5
BBUP_O; ;BBUP_O_subMBP_202403312233;31.03.24 22:33;6614.751001;False;7.69;14531;0.647058824;True;False;0.6;random3;True;0;16192;17.8;438;14531;7.69
BBUP_O; ;BBUP_O_subMBP_202403301837;30.03.24 18:37;3602.102728;False;-;-;0.647058824;False;False;0.9;random1;False;-1;-1;-1;-1;-1;-1
BBUP_W; ;BBUP_W_subMBP_202403312233;31.03.24 22:33;783.3741923;False;-;-;0.525423729;False;False;0.9;random1;False;-1;-1;-1;-1;-1;-1
BPKW_BKRW_BSNF_O; ;BPKW_BKRW_BSNF_O_subMBP_202403312233;31.03.24 22:33;782.8683371;False;0;9793;0.515151515;True;False;0.9;random4;True;0;10961;16.2;22;9793;3.17
BWKS_medium_september; ;BWKS_medium_september_subMBP_202403312233;31.03.24 22:33;3228.65627;False;1.8;8766;0.943030303;True;False;0.9;random4;True;0;11590;29.6;93;8766;2.85
BGB_BWES; ;BGB_BWES_subMBP_202403312233;31.03.24 22:33;6303.630255;True;9.93;27207;0.626556017;True;False;0.9;random1;False;3448;32681;25;3594;27207;9.94
BBOS_BWIN_BTG; ;BBOS_BWIN_BTG_subMBP_202403301837;30.03.24 18:37;44.50992992;False;0;10215;0.74;True;False;0.9;random4;True;0;10934;8.51;0;10215;1.63
BGAS_BKW; ;BGAS_BKW_subMBP_202403301837;30.03.24 18:37;1.047432875;False;0;4914;0.52;True;False;0.9;random1;True;0;5063;10.3;0;4914;5.33
BBUP_W; ;BBUP_W_subMBP_202403312233;31.03.24 22:33;3728.543627;False;8.11;13993;0.525423729;True;False;0.6;random1;True;10;16194;21.1;216;13993;8.54
BPKW_BKRW_BSNF_O; ;BPKW_BKRW_BSNF_O_subMBP_202403312233;31.03.24 22:33;1391.618094;False;1.37;9771;0.515151515;True;False;0.6;random0;True;0;10867;15.5;8;9771;4.92
BWKS_medium_september; ;BWKS_medium_september_subMBP_202403312233;31.03.24 22:33;6121.634364;False;3;8762;0.943030303;True;False;0.6;random2;True;0;10433;21.8;356;8762;3.22
BGB_BWES; ;BGB_BWES_subMBP_202403312233;31.03.24 22:33;21531.70487;False;15.52;28812;0.626556017;True;False;0.6;random2;True;474;33439;27.3;1320;28812;15.6
BBKS_BWT; ;BBKS_BWT_subMBP_202403301837;30.03.24 18:37;20507.48901;True;1.95;9868;0.876126126;True;False;0.6;random0;True;0;10861;16.3;1119;9868;3.43
BNB_BSNH_BSAL_BPHD; ;BNB_BSNH_BSAL_BPHD_subMBP_202403301837;30.03.24 18:37;10806.9938;True;7.09;23323;0.616766467;True;False;0.9;random2;True;3;24786;15.7;161;23323;8.54
BBUP_O; ;BBUP_O_subMBP_202403301837;30.03.24 18:37;14411.75523;True;7.76;14573;0.647058824;True;False;0.9;random4;True;8;15917;16.2;2995;14573;7.8
BBUP_W; ;BBUP_W_subMBP_202403312233;31.03.24 22:33;1945.083232;False;7.29;13993;0.525423729;True;False;0.9;random2;True;3;15289;16.4;557;13993;8.28
BPKW_BKRW_BSNF_O; ;BPKW_BKRW_BSNF_O_subMBP_202403312233;31.03.24 22:33;336.5650538;False;0;9793;0.515151515;True;False;0.9;random1;True;0;10124;9.32;19;9793;3.21
BWKS_medium_september; ;BWKS_medium_september_subMBP_202403312233;31.03.24 22:33;2533.187359;False;2.61;8771;0.943030303;True;False;0.9;random3;True;0;10440;21.9;56;8771;3.41
BBKS_BWT; ;BBKS_BWT_subMBP_202403301837;30.03.24 18:37;28191.24126;True;2.07;9868;0.876126126;True;False;0.6;random2;True;0;10679;14.8;25;9868;6.89
BBKS_BWT; ;BBKS_BWT_subMBP_202403301837;30.03.24 18:37;35500.30326;True;1;9868;0.876126126;True;False;0.6;random4;True;4;11188;18.3;65;9868;5.67
BBKS_BWT; ;BBKS_BWT_subMBP_202403301837;30.03.24 18:37;24163.29599;True;1.51;9868;0.876126126;True;False;0.6;random1;True;7;10768;15.1;40;9868;6.84
BBOS_BWIN_BTG; ;BBOS_BWIN_BTG_subMBP_202403301837;30.03.24 18:37;109.9679251;False;0;10215;0.74;True;False;0.6;random0;True;0;12297;21.2;2;10215;3.09
BBOS_BWIN_BTG; ;BBOS_BWIN_BTG_subMBP_202403301837;30.03.24 18:37;194.4047425;False;0;10215;0.74;True;False;0.6;random1;True;0;11260;11.1;0;10215;0.98
BGB_BWES; ;BGB_BWES_subMBP_202403312233;31.03.24 22:33;14002.51035;False;9.21;27121;0.626556017;True;False;0.9;random4;True;176;30031;18.3;2314;27121;9.22
BBKS_BWT; ;BBKS_BWT_subMBP_202403301837;30.03.24 18:37;16801.45308;True;0.68;9871;0.876126126;True;False;0.9;random4;True;0;10676;14.7;10;9871;7
BBKS_BWT; ;BBKS_BWT_subMBP_202403301837;30.03.24 18:37;13200.88855;True;1.59;9868;0.876126126;True;False;0.9;random3;True;1;10530;13.4;187;9868;3.98
BBKS_BWT; ;BBKS_BWT_subMBP_202403301837;30.03.24 18:37;9574.294233;True;0.85;9871;0.876126126;True;False;0.9;random2;True;6;10304;10.9;30;9871;6
BBKS_BWT; ;BBKS_BWT_subMBP_202403301837;30.03.24 18:37;5958.826703;True;0.53;9871;0.876126126;True;False;0.9;random1;True;9;10397;11.2;74;9871;3.8
BBOS_BWIN_BTG; ;BBOS_BWIN_BTG_subMBP_202403301837;30.03.24 18:37;271.9519847;False;0;10210;0.74;True;False;0.6;random2;True;0;11707;15.9;2;10210;0.99
BBOS_BWIN_BTG; ;BBOS_BWIN_BTG_subMBP_202403301837;30.03.24 18:37;321.7678581;False;0;10215;0.74;True;False;0.6;random3;True;0;11342;14.5;1;10215;2.89
BGAS_BKW; ;BGAS_BKW_subMBP_202403301837;30.03.24 18:37;3.1063765;False;0;4914;0.52;True;False;0.6;random0;True;0;5069;10.4;0;4914;7.61
