Model;comment;filename;date;time;timeout;gap in %;objective;fixed integer values ratio;solvable;relaxed;ratio;type;feasibility check;first_sol_time;first_sol_obj;first_sol_gap;plateau_time;plateau_time_obj;plateau_time_gap
BBKS_BWT; ;BBKS_BWT_subMBP_202403291815;29.03.24 18:15;684.8499136;False;6.1;9871;0.876126126;True;False;0.9;other alternatives;True;0;11766;22.7;83;9871;6.5
BBKS_BWT; ;BBKS_BWT_subMBP_202403291815;29.03.24 18:15;1303.882421;False;3.23;9868;0.876126126;True;False;0.9;slack;True;0;10907;16.6;17;9868;7.29
BBKS_BWT; ;BBKS_BWT_subMBP_202403291815;29.03.24 18:15;2057.858878;False;6.9;9868;0.876126126;True;False;0.6;other alternatives;True;10;10557;13.3;152;9868;7.17
BBKS_BWT; ;BBKS_BWT_subMBP_202403291815;29.03.24 18:15;2685.326723;False;2.63;9868;0.876126126;True;False;0.6;slack;False;0;10608;14.3;26;9868;7.04
BBOS_BWIN_BTG; ;BBOS_BWIN_BTG_subMBP_202403291815;29.03.24 18:15;9.134783752;False;0;10220;0.74;True;False;0.9;other alternatives;True;0;10976;10.2;0;10220;1.62
BBOS_BWIN_BTG; ;BBOS_BWIN_BTG_subMBP_202403291815;29.03.24 18:15;613.0042965;False;0.56;10210;0.74;True;False;0.9;slack;True;0;12133;20.5;2;10210;2.07
BBOS_BWIN_BTG; ;BBOS_BWIN_BTG_subMBP_202403291815;29.03.24 18:15;817.571547;False;0;10210;0.74;True;False;0.6;other alternatives;False;0;11409;18.6;4;10210;3.14
BBOS_BWIN_BTG; ;BBOS_BWIN_BTG_subMBP_202403291815;29.03.24 18:15;1422.110802;False;0.98;10210;0.74;True;False;0.6;slack;True;0;12155;20.6;2;10210;2.56
BGAS_BKW; ;BGAS_BKW_subMBP_202403291815;29.03.24 18:15;0.723798048;False;0;4914;0.52;True;False;0.9;other alternatives;True;0;5063;10.3;0;4914;6.66
BGAS_BKW; ;BGAS_BKW_subMBP_202403291815;29.03.24 18:15;2.642020526;False;0;4914;0.52;True;False;0.9;slack;True;0;5079;15.6;0;4914;12.7
BGAS_BKW; ;BGAS_BKW_subMBP_202403291815;29.03.24 18:15;20.44431186;False;0;4914;0.52;True;False;0.6;other alternatives;True;0;5063;10.3;0;4914;7.61
BGAS_BKW; ;BGAS_BKW_subMBP_202403291815;29.03.24 18:15;22.40482303;False;0;4914;0.52;True;False;0.6;slack;True;0;5079;15.6;0;4914;12.7
BNB_BSNH_BSAL_BPHD; ;BNB_BSNH_BSAL_BPHD_subMBP_202403291815;29.03.24 18:15;706.6621188;False;7.39;23470;0.616766467;True;False;0.9;other alternatives;False;3;25467;17.7;103;23470;9.11
BNB_BSNH_BSAL_BPHD; ;BNB_BSNH_BSAL_BPHD_subMBP_202403291815;29.03.24 18:15;1470.584818;False;9.29;23317;0.616766467;True;False;0.9;slack;False;39;24997;16.2;160;23317;9.64
BNB_BSNH_BSAL_BPHD; ;BNB_BSNH_BSAL_BPHD_subMBP_202403291815;29.03.24 18:15;2468.014871;False;3.27;22168;0.616766467;True;False;0.6;other alternatives;False;70;24681;14.7;395;22168;4.07
BNB_BSNH_BSAL_BPHD; ;BNB_BSNH_BSAL_BPHD_subMBP_202403291815;29.03.24 18:15;3642.870703;False;9.31;23332;0.616766467;True;False;0.6;slack;True;21;24924;15.7;572;23332;9.44
BBUP_O; ;BBUP_O_subMBP_202403291815;29.03.24 18:15;0.477474994;False;-;-;0.647058824;False;False;0.9;other alternatives;False;-1;-1;-1;-1;-1;-1
BBUP_O; ;BBUP_O_subMBP_202403291815;29.03.24 18:15;902.2023879;False;8.23;14531;0.647058824;True;False;0.9;slack;True;60;17046;21.8;292;14531;8.28
BBUP_O; ;BBUP_O_subMBP_202403291815;29.03.24 18:15;902.7949779;False;-;-;0.647058824;False;False;0.6;other alternatives;False;-1;-1;-1;-1;-1;-1
BBUP_O; ;BBUP_O_subMBP_202403291815;29.03.24 18:15;1649.55072;False;8.2;14526;0.647058824;True;False;0.6;slack;True;63;17248;22.7;145;14526;8.25
BBUP_W; ;BBUP_W_subMBP_202403291815;29.03.24 18:15;0.992506225;False;-;-;0.525423729;False;False;0.9;other alternatives;False;-1;-1;-1;-1;-1;-1
BBUP_W; ;BBUP_W_subMBP_202403291815;29.03.24 18:15;944.8728581;False;8.52;14005;0.525423729;True;False;0.9;slack;True;14;15195;15.9;342;14005;8.74
BBUP_W; ;BBUP_W_subMBP_202403291815;29.03.24 18:15;945.7284145;False;-;-;0.525423729;False;False;0.6;other alternatives;False;-1;-1;-1;-1;-1;-1
BBUP_W; ;BBUP_W_subMBP_202403291815;29.03.24 18:15;1566.736303;False;13.87;14952;0.525423729;True;False;0.6;slack;True;4;15378;16.9;19;14952;14.5
BPKW_BKRW_BSNF_O; ;BPKW_BKRW_BSNF_O_subMBP_202403291815;29.03.24 18:15;154.8464423;False;0;9793;0.515151515;True;False;0.9;other alternatives;True;0;10378;11.5;31;9793;3.17
BPKW_BKRW_BSNF_O; ;BPKW_BKRW_BSNF_O_subMBP_202403291815;29.03.24 18:15;762.8854322;False;1.5;9771;0.515151515;True;False;0.9;slack;True;0;10815;15.1;7;9771;5.58
BPKW_BKRW_BSNF_O; ;BPKW_BKRW_BSNF_O_subMBP_202403291815;29.03.24 18:15;1365.239006;False;4.27;9793;0.515151515;True;False;0.6;other alternatives;True;0;10989;16.5;1;9793;5.76
BPKW_BKRW_BSNF_O; ;BPKW_BKRW_BSNF_O_subMBP_202403291815;29.03.24 18:15;1970.450551;False;2.26;9771;0.515151515;True;False;0.6;slack;True;0;10988;16.5;4;9771;5.6
BWKS_medium_september; ;BWKS_medium_september_subMBP_202403291815;29.03.24 18:15;765.676473;False;2.56;8771;0.943030303;True;False;0.9;other alternatives;True;0;12150;32.9;161;8771;3.23
BWKS_medium_september; ;BWKS_medium_september_subMBP_202403291815;29.03.24 18:15;1692.7526;False;4.04;8761;0.943030303;True;False;0.9;slack;True;0;11149;26.8;325;8761;4.06
BWKS_medium_september; ;BWKS_medium_september_subMBP_202403291815;29.03.24 18:15;2513.52376;False;3.59;8766;0.943030303;True;False;0.6;other alternatives;True;0;10525;22.5;218;8766;3.59
BWKS_medium_september; ;BWKS_medium_september_subMBP_202403291815;29.03.24 18:15;3459.198225;False;4.04;8761;0.943030303;True;False;0.6;slack;True;0;11149;26.8;343;8761;4.06
BGB_BWES; ;BGB_BWES_subMBP_202404051142;05.04.24 11:42;3603.514651;True;13.21;27230;0.626556017;True;False;0.9;other alternatives;True;2314;31957;26;3544;27230;13.2
