Model;filename;date;time;timeout;gap in %;objective;solvable;type;level;feasibility check;prev time;postprocessing;first_sol_time;first_sol_obj;first_sol_gap;plateau_time;plateau_obj;plateau_gap;fixed sheaves;# activated alternatives;stopping_type
BBKS_BWT;/Users/deniserings/Documents/zib/s-bahn-data/scripts/DeniseMA/processed/BBKS_BWT/Branching/BBKS_BWT_other alternatives_subMBP202404061926;06.04.24 19:26;642.31;False;3.83;9867.998432;True;other alternatives;03. Mai;True;1626.280443;0.012040833;0;10495;10.1;1129.722355;9868;7.17;21;47;plateau stop
BBKS_BWT;/Users/deniserings/Documents/zib/s-bahn-data/scripts/DeniseMA/processed/BBKS_BWT/Branching/BBKS_BWT_slack_subMBP202404061926;06.04.24 19:26;611.18;False;2.1;9867.997971;True;slack;01. Mai;False;361.4467926;0.007683791;0;10495;10.1;230.3317827;9868;4.66;21;47;plateau stop
BBOS_BWIN_BTG;/Users/deniserings/Documents/zib/s-bahn-data/scripts/DeniseMA/processed/BBOS_BWIN_BTG/Branching/BBOS_BWIN_BTG_other alternatives_subMBP202404061926;06.04.24 19:26;180.59;False;1.98;10209.99807;True;other alternatives;03. Apr;False;1626.865253;0.002553167;0;10210;3.14;1084.43617;10210;3.14;13;28;no improvement
BBOS_BWIN_BTG;/Users/deniserings/Documents/zib/s-bahn-data/scripts/DeniseMA/processed/BBOS_BWIN_BTG/Branching/BBOS_BWIN_BTG_slack_subMBP202404061926;06.04.24 19:26;180.38;False;2.34;10209.99803;True;slack;03. Apr;True;1624.525906;0.00375625;0;10210;3.14;1082.820216;10210;3.14;13;28;no improvement
BGAS_BKW;/Users/deniserings/Documents/zib/s-bahn-data/scripts/DeniseMA/processed/BGAS_BKW/Branching/BGAS_BKW_other alternatives_subMBP202404061926;06.04.24 19:26;2.24;False;0;4914;True;other alternatives;02. MŠr;True;238.0739968;0.004696417;0;4914;7.61;237.3758505;4914;7.61;6;15;False
BGAS_BKW;/Users/deniserings/Documents/zib/s-bahn-data/scripts/DeniseMA/processed/BGAS_BKW/Branching/BGAS_BKW_slack_subMBP202404061926;06.04.24 19:26;1.24;False;0;4913.999843;True;slack;02. MŠr;True;239.5815743;0.008959625;0;4914;7.61;238.4076026;4914;7.61;6;15;False
BNB_BSNH_BSAL_BPHD;/Users/deniserings/Documents/zib/s-bahn-data/scripts/DeniseMA/processed/BNB_BSNH_BSAL_BPHD/Branching/BNB_BSNH_BSAL_BPHD_other alternatives_subMBP202404061926;06.04.24 19:26;650.7;False;7.04;23316.9988;True;other alternatives;0/5;False;0.371145875;0.021640833;2;24675;15.4;49;23317;8.4;32;78;plateau stop
BNB_BSNH_BSAL_BPHD;/Users/deniserings/Documents/zib/s-bahn-data/scripts/DeniseMA/processed/BNB_BSNH_BSAL_BPHD/Branching/BNB_BSNH_BSAL_BPHD_slack_subMBP202404061926;06.04.24 19:26;655.67;False;7.06;23316.99947;True;slack;0/5;False;0.415126208;0.014290167;2;24675;15.4;54;23317;8.4;32;78;plateau stop
BBUP_O;/Users/deniserings/Documents/zib/s-bahn-data/scripts/DeniseMA/processed/BBUP_O/Branching/BBUP_O_other alternatives_subMBP202404061926;06.04.24 19:26;648.59;False;2.46;14529.99981;True;other alternatives;0/5;True;0.27202;0.015784416;0;15761;16;66;14530;8.27;22;49;plateau stop
BBUP_O;/Users/deniserings/Documents/zib/s-bahn-data/scripts/DeniseMA/processed/BBUP_O/Branching/BBUP_O_slack_subMBP202404061926;06.04.24 19:26;653.18;False;2.47;14529.99981;True;slack;0/5;True;0.268562542;0.00944025;0;15761;16;75;14530;8.27;22;49;plateau stop
BBUP_W;/Users/deniserings/Documents/zib/s-bahn-data/scripts/DeniseMA/processed/BBUP_W/Branching/BBUP_W_other alternatives_subMBP202404061926;06.04.24 19:26;775.61;False;5.73;14004.99974;True;other alternatives;01. Apr;True;370.79246;0.012347041;0;15083;15.8;403.2665246;14005;5.92;13;25;plateau stop
BBUP_W;/Users/deniserings/Documents/zib/s-bahn-data/scripts/DeniseMA/processed/BBUP_W/Branching/BBUP_W_slack_subMBP202404061926;06.04.24 19:26;182.1;False;14.43;14932.99978;True;slack;03. Apr;True;1644.12533;0.009013458;0;15083;15.8;1121.213285;14933;14.4;13;25;no improvement
