Model;comment;filename;date;feasibility check;surplus edges;post processing;time first sol;ojective first sol;gap first sol;time last sol;ojective final sol;gap final sol;improvement ratio
BBER_BBU;coupling constraint as inequality;BBER_BBU_202403031439;03.03.24 14:39;True;0;0.000222167;0;982;10;-599.9647026;982;0;1
BBKS_BWT;coupling constraint as inequality;BBKS_BWT_202403031439;03.03.24 14:39;True;0;0.013742333;7;12847;28.9;-171.3734894;9867.999964;6.97;0.768117067
BBER_BBU;coupling constraint as inequality;BBER_BBU_202403031448;03.03.24 14:48;True;0;0.000312459;0;982;10;-599.9526195;982;0;1
BBER_BBU;coupling constraint as inequality;BBER_BBU_202403031448;03.03.24 14:48;True;0;0.000195458;0;982;10;-599.9886242;982;0;1
BBKS_BWT;coupling constraint as inequality;BBKS_BWT_202403031448;03.03.24 14:48;True;0;0.011081334;9;12847;28.9;755.9939282;9867.999964;6.93;0.768117067
BBOS_BWIN_BTG;coupling constraint as inequality;BBOS_BWIN_BTG_202403031448;03.03.24 14:48;True;0;0.004502833;0;11324;18;603.330303;10209.99893;1.72;0.901624773
BGAS_BKW;coupling constraint as inequality;BGAS_BKW_202403031448;03.03.24 14:48;True;0;0.001511833;0;5079;15.6;-592.575531;4914;0;0.96751329
BNB_BSNH_BSAL_BPHD;coupling constraint as inequality;BNB_BSNH_BSAL_BPHD_202403031448;03.03.24 14:48;True;1;0.013583333;16;24703;15.2;1282.822283;22056.99998;3.81;0.892887503
BBUP_O;coupling constraint as inequality;BBUP_O_202403031448;03.03.24 14:48;True;0;0.015001167;8;15780;15.5;934.3371523;14563.99961;8.44;0.922940406
BBUP_W;coupling constraint as inequality;BBUP_W_202403031448;03.03.24 14:48;True;0;0.014419958;44;15115;15.5;1416.26119;13982.99923;8.45;0.925107458
BPKW_BKRW_BSNF_O;coupling constraint as inequality;BPKW_BKRW_BSNF_O_202403031448;03.03.24 14:48;True;0;0.01397275;0;11211;18.1;608.2698194;9770.999896;3.38;0.871554714
BWKS_medium_september;coupling constraint as inequality;BWKS_medium_september_202403031448;03.03.24 14:48;True;0;0.026408042;0;11236;27.4;1228.116841;8760.999978;3.44;0.779725879
BGB_BWES;coupling constraint as inequality;BGB_BWES_202403031754;03.03.24 17:54;True;3;0.034601333;467;33572;29.6;1909.45929;25336.9996;6.72;0.754706291
